,MAMA_monthly_10
2022-04-04,46.4349
2022-03-31,45.8802
2022-02-28,45.3356
2022-01-31,44.8322
2021-12-31,44.2718
2021-11-30,43.7431
2021-10-29,43.3215
2021-09-30,42.9518
2021-08-31,42.5738
2021-07-30,42.1393
2021-06-30,41.7216
2021-05-28,41.2616
2021-04-30,40.7895
2021-03-31,40.2997
2021-02-26,39.8204
2021-01-29,39.3847
2020-12-31,38.8924
2020-11-30,38.3348
2020-10-30,37.7992
2020-09-30,37.2901
2020-08-31,36.7119
2020-07-31,36.0683
2020-06-30,35.4738
2020-05-29,34.9525
2020-04-30,34.4468
2020-03-31,34.0258
2020-02-28,33.6799
2020-01-31,33.3062
2019-12-31,32.8449
2019-11-29,32.3478
2019-10-31,31.8511
2019-09-30,31.3910
2019-08-30,30.9501
2019-07-31,30.4730
2019-06-28,30.0120
2019-05-31,29.5661
2019-04-30,29.1108
2019-03-29,28.6608
2019-02-28,28.2252
2019-01-31,27.8557
2018-12-31,27.5418
2018-11-30,27.1497
2018-10-31,26.7048
2018-09-28,26.2842
2018-08-31,25.9204
2018-07-31,25.5858
2018-06-29,25.2829
2018-05-31,24.9862
2018-04-30,24.7583
2018-03-29,24.5071
2018-02-28,24.2512
2018-01-31,23.9909
2017-12-29,23.7186
2017-11-30,23.4760
2017-10-31,23.2321
2017-09-29,22.9982
2017-08-31,22.7496
2017-07-31,22.5336
2017-06-30,22.3147
2017-05-31,22.0855
2017-04-28,21.8230
2017-03-31,21.5776
2017-02-28,21.3429
2017-01-31,21.1017
2016-12-30,20.8715
2016-11-30,20.6492
2016-10-31,20.4366
2016-09-30,20.2004
2016-08-31,19.9452
2016-07-29,19.6780
2016-06-30,19.4067
2016-05-31,19.1144
2016-04-29,18.8631
2016-03-31,18.6243
2016-02-29,18.3590
2016-01-29,18.1194
2015-12-31,17.9014
2015-11-30,17.6922
2015-10-30,17.4812
2015-09-30,17.2769
2015-08-31,17.0804
2015-07-31,16.8951
2015-06-30,16.6955
2015-05-29,16.5006
2015-04-30,16.3147
2015-03-31,16.1412
2015-02-27,15.9598
2015-01-30,15.7842
2014-12-31,15.6246
2014-11-28,15.4505
2014-10-31,15.2762
2014-09-30,15.1162
2014-08-29,14.9731
2014-07-31,14.8163
2014-06-30,14.6752
2014-05-30,14.5086
2014-04-30,14.3371
2014-03-31,14.1688
2014-02-28,13.9981
2014-01-31,13.8490
2013-12-31,13.7081
2013-11-29,13.5450
2013-10-31,13.3816
2013-09-30,13.2159
2013-08-30,13.0693
2013-07-31,12.9085
2013-06-28,12.7289
2013-05-31,12.5544
2013-04-30,12.3837
2013-03-28,12.1989
2013-02-28,12.0068
2013-01-31,11.8397
2012-12-31,11.6920
2012-11-30,11.5378
2012-10-31,11.3790
2012-09-28,11.2312
2012-08-31,11.0814
2012-07-31,10.9327
2012-06-29,10.7848
2012-05-31,10.6377
2012-04-30,10.5072
2012-03-30,10.3773
2012-02-29,10.2536
2012-01-31,10.1454
2011-12-30,10.0357
2011-11-30,9.9254
2011-10-31,9.8225
2011-09-30,9.7191
2011-08-31,9.6259
2011-07-29,9.5249
2011-06-30,9.4194
2011-05-31,9.3101
2011-04-29,9.1972
2011-03-31,9.0876
2011-02-28,8.9833
2011-01-31,8.8787
2010-12-31,8.7872
2010-11-30,8.6852
2010-10-29,8.5936
2010-09-30,8.5002
2010-08-31,8.4158
2010-07-30,8.3394
2010-06-30,8.2644
2010-05-28,8.1952
2010-04-30,8.1228
2010-03-31,8.0457
2010-02-26,7.9737
2010-01-29,7.9060
2009-12-31,7.8409
2009-11-30,7.7757
2009-10-30,7.7127
2009-09-30,7.6518
2009-08-31,7.5944
2009-07-31,7.5429
2009-06-30,7.4922
2009-05-29,7.4406
2009-04-30,7.3964
2009-03-31,7.3560
2009-02-27,7.3156
2009-01-30,7.2679
2008-12-31,7.2170
2008-11-28,7.1663
2008-10-31,7.1241
2008-09-30,7.0666
2008-08-29,6.9908
2008-07-31,6.9066
2008-06-30,6.8228
2008-05-30,6.7561
2008-04-30,6.6814
2008-03-31,6.6051
2008-02-29,6.5321
2008-01-31,6.4678
2007-12-31,6.4060
2007-11-30,6.3274
2007-10-31,6.2476
2007-09-28,6.1790
2007-08-31,6.1069
2007-07-31,6.0346
2007-06-29,5.9678
2007-05-31,5.8861
2007-04-30,5.8069
2007-03-30,5.7275
2007-02-28,5.6428
2007-01-31,5.5582
2006-12-29,5.4699
2006-11-30,5.3825
2006-10-31,5.2943
2006-09-29,5.2101
2006-08-31,5.1236
2006-07-31,5.0419
2006-06-30,4.9644
2006-05-31,4.8923
2006-04-28,4.8162
2006-03-31,4.7379
2006-02-28,4.6624
2006-01-31,4.5905
2005-12-30,4.5274
2005-11-30,4.4610
2005-10-31,4.3936
2005-09-30,4.3288
2005-08-31,4.2556
2005-07-29,4.1770
2005-06-30,4.0944
2005-05-31,4.0192
2005-04-29,3.9391
2005-03-31,3.8554
2005-02-28,3.7715
2005-01-31,3.6747
2004-12-31,3.5798
2004-11-30,3.4789
2004-10-29,3.3851
2004-09-30,3.2940
2004-08-31,3.2063
2004-07-30,3.1206
2004-06-30,3.0261
2004-05-28,2.9369
2004-04-30,2.8422
2004-03-31,2.7511
2004-02-27,2.6618
2004-01-30,2.5794
2003-12-31,2.5018
2003-11-28,2.4219
2003-10-31,2.3466
2003-09-30,2.2673
2003-08-29,2.1952
2003-07-31,2.1250
2003-06-30,2.0579
2003-05-30,1.9850
2003-04-30,1.9123
2003-03-31,1.8462
2003-02-28,1.7820
2003-01-31,1.7207
2002-12-31,1.6612
2002-11-29,1.5984
2002-10-31,1.5333
2002-09-30,1.4729
2002-08-30,1.4099
