,MAMA_monthly_10
2022-04-04,24.4727
2022-03-31,24.2991
2022-02-28,24.1366
2022-01-31,24.0302
2021-12-31,23.9551
2021-11-30,23.9344
2021-10-29,23.9089
2021-09-30,23.8717
2021-08-31,23.8628
2021-07-30,23.8910
2021-06-30,23.9162
2021-05-28,23.9260
2021-04-30,23.9518
2021-03-31,24.0262
2021-02-26,24.1065
2021-01-29,24.1884
2020-12-31,24.3114
2020-11-30,24.4383
2020-10-30,24.5865
2020-09-30,24.7602
2020-08-31,24.9240
2020-07-31,25.0429
2020-06-30,25.1692
2020-05-29,25.2910
2020-04-30,25.4319
2020-03-31,25.5763
2020-02-28,25.7765
2020-01-31,25.8580
2019-12-31,25.9226
2019-11-29,25.9330
2019-10-31,25.9792
2019-09-30,26.0500
2019-08-30,26.1079
2019-07-31,26.2023
2019-06-28,26.2467
2019-05-31,26.2859
2019-04-30,26.3237
2019-03-29,26.3423
2019-02-28,26.3424
2019-01-31,26.3461
2018-12-31,26.3660
2018-11-30,26.4218
2018-10-31,26.4015
2018-09-28,26.3837
2018-08-31,26.3525
2018-07-31,26.3434
2018-06-29,26.3149
2018-05-31,26.2816
2018-04-30,26.2746
2018-03-29,26.2755
2018-02-28,26.3139
2018-01-31,26.3570
2017-12-29,26.3439
2017-11-30,26.3398
2017-10-31,26.3626
2017-09-29,26.3981
2017-08-31,26.4355
2017-07-31,26.5070
2017-06-30,26.5476
2017-05-31,26.5967
2017-04-28,26.6568
2017-03-31,26.7044
2017-02-28,26.7321
2017-01-31,26.7625
2016-12-30,26.7902
2016-11-30,26.7996
2016-10-31,26.7857
2016-09-30,26.8410
2016-08-31,26.8593
2016-07-29,26.9083
2016-06-30,26.9539
2016-05-31,26.9644
2016-04-29,26.9818
2016-03-31,26.9630
2016-02-29,27.0300
2016-01-29,27.1630
2015-12-31,27.2809
2015-11-30,27.3774
2015-10-30,27.4259
2015-09-30,27.4789
2015-08-31,27.5658
2015-07-31,27.5999
2015-06-30,27.6230
2015-05-29,27.5778
2015-04-30,27.5175
2015-03-31,27.4270
2015-02-27,27.3435
2015-01-30,27.2259
2014-12-31,27.1558
2014-11-28,27.0418
2014-10-31,26.9429
2014-09-30,26.8074
2014-08-29,26.6438
2014-07-31,26.4360
2014-06-30,26.2315
2014-05-30,25.9919
2014-04-30,25.7863
2014-03-31,25.5679
2014-02-28,25.3515
2014-01-31,25.1592
2013-12-31,24.9882
2013-11-29,24.7534
2013-10-31,24.5158
2013-09-30,24.3127
2013-08-30,24.1076
2013-07-31,23.9148
2013-06-28,23.7201
2013-05-31,23.5674
2013-04-30,23.3975
2013-03-28,23.2357
2013-02-28,23.0618
2013-01-31,22.9045
2012-12-31,22.7562
2012-11-30,22.6062
2012-10-31,22.4727
2012-09-28,22.3356
2012-08-31,22.2354
2012-07-31,22.1486
2012-06-29,22.0486
2012-05-31,21.9679
2012-04-30,21.9085
2012-03-30,21.8001
2012-02-29,21.6828
2012-01-31,21.5183
2011-12-30,21.3798
2011-11-30,21.2629
2011-10-31,21.1438
2011-09-30,21.0284
2011-08-31,20.9784
2011-07-29,20.8720
2011-06-30,20.7033
2011-05-31,20.5244
2011-04-29,20.3245
2011-03-31,20.0738
2011-02-28,19.8444
2011-01-31,19.6121
2010-12-31,19.4215
2010-11-30,19.1806
2010-10-29,18.9785
2010-09-30,18.7898
2010-08-31,18.6181
2010-07-30,18.4934
2010-06-30,18.3622
2010-05-28,18.2599
2010-04-30,18.1342
2010-03-31,17.9695
2010-02-26,17.8260
2010-01-29,17.7059
2009-12-31,17.5908
2009-11-30,17.4565
2009-10-30,17.3082
2009-09-30,17.1326
2009-08-31,16.9756
2009-07-31,16.8203
2009-06-30,16.6580
2009-05-29,16.5162
2009-04-30,16.3462
2009-03-31,16.2402
2009-02-27,16.1498
2009-01-30,16.0754
2008-12-31,15.9881
2008-11-28,15.8990
2008-10-31,15.8107
2008-09-30,15.6859
