,MAMA_monthly_10
2019-02-14,31.0353
2019-01-31,31.1764
2018-12-31,31.3067
2018-11-30,31.4748
2018-10-31,31.6215
2018-09-28,31.7369
2018-08-31,31.7662
2018-07-31,31.8116
2018-06-29,31.8428
2018-05-31,31.8589
2018-04-30,31.8853
2018-03-29,31.9064
2018-02-28,31.9820
2018-01-31,32.0694
2017-12-29,32.0735
2017-11-30,32.0790
2017-10-31,32.0906
2017-09-29,32.1038
2017-08-31,32.1284
2017-07-31,32.1890
2017-06-30,32.2239
2017-05-31,32.2619
2017-04-28,32.2597
2017-03-31,32.2359
2017-02-28,32.1887
2017-01-31,32.1455
2016-12-30,32.0654
2016-11-30,31.9802
2016-10-31,31.8464
2016-09-30,31.7581
2016-08-31,31.6399
2016-07-29,31.5215
2016-06-30,31.4025
2016-05-31,31.2735
2016-04-29,31.1776
2016-03-31,31.1263
2016-02-29,31.1049
2016-01-29,31.1440
2015-12-31,31.1650
2015-11-30,31.1509
2015-10-30,31.0791
2015-09-30,30.9870
2015-08-31,30.9677
2015-07-31,30.9440
2015-06-30,30.9254
2015-05-29,30.8729
2015-04-30,30.8029
2015-03-31,30.7176
2015-02-27,30.6735
2015-01-30,30.6497
2014-12-31,30.6585
2014-11-28,30.6942
2014-10-31,30.7292
2014-09-30,30.7102
2014-08-29,30.6459
2014-07-31,30.5028
2014-06-30,30.4038
2014-05-30,30.2645
2014-04-30,30.2017
2014-03-31,30.1648
2014-02-28,30.1528
2014-01-31,30.1726
2013-12-31,30.2271
2013-11-29,30.2837
2013-10-31,30.3057
2013-09-30,30.3043
2013-08-30,30.3339
2013-07-31,30.3997
2013-06-28,30.4583
2013-05-31,30.5247
2013-04-30,30.5927
2013-03-28,30.6816
2013-02-28,30.7650
2013-01-31,30.8423
2012-12-31,30.8558
2012-11-30,30.8970
2012-10-31,30.9632
2012-09-28,31.0020
2012-08-31,30.9988
2012-07-31,30.9824
2012-06-29,30.9869
2012-05-31,31.0039
2012-04-30,31.0144
2012-03-30,30.9651
2012-02-29,30.9275
2012-01-31,30.8763
2011-12-30,30.8063
2011-11-30,30.7363
2011-10-31,30.5842
2011-09-30,30.4864
2011-08-31,30.3935
2011-07-29,30.1848
2011-06-30,29.8087
2011-05-31,29.4227
2011-04-29,28.9665
2011-03-31,28.5439
2011-02-28,28.0645
2011-01-31,27.6127
2010-12-31,27.1525
2010-11-30,26.6984
2010-10-29,26.2930
2010-09-30,25.9564
2010-08-31,25.6384
2010-07-30,25.4124
2010-06-30,25.1291
2010-05-28,24.8894
2010-04-30,24.6150
2010-03-31,24.2758
2010-02-26,23.9953
2010-01-29,23.7218
2009-12-31,23.4671
2009-11-30,23.2169
2009-10-30,23.0244
2009-09-30,22.8426
2009-08-31,22.6434
2009-07-31,22.4813
2009-06-30,22.3112
2009-05-29,22.2065
2009-04-30,22.0660
2009-03-31,21.9739
2009-02-27,21.9666
2009-01-30,21.9932
2008-12-31,22.0215
2008-11-28,22.0445
2008-10-31,22.0391
2008-09-30,22.0296
2008-08-29,21.9289
2008-07-31,21.6937
2008-06-30,21.4181
2008-05-30,20.9753
2008-04-30,20.5484
2008-03-31,20.1422
2008-02-29,19.8118
2008-01-31,19.4526
2007-12-31,19.1448
2007-11-30,18.8059
2007-10-31,18.4923
2007-09-28,18.1353
2007-08-31,17.8320
2007-07-31,17.5728
2007-06-29,17.2649
2007-05-31,16.9792
2007-04-30,16.6655
2007-03-30,16.3919
2007-02-28,16.1362
2007-01-31,15.8630
2006-12-29,15.5908
2006-11-30,15.2842
2006-10-31,14.9358
2006-09-29,14.6747
2006-08-31,14.4336
2006-07-31,14.1426
2006-06-30,13.8170
2006-05-31,13.4622
2006-04-28,13.1666
2006-03-31,12.8491
2006-02-28,12.5556
2006-01-31,12.2920
2005-12-30,11.8869
2005-11-30,11.5012
2005-10-31,11.1501
2005-09-30,10.8049
2005-08-31,10.4181
2005-07-29,10.0463
2005-06-30,9.7186
2005-05-31,9.4138
2005-04-29,9.1206
2005-03-31,8.8539
2005-02-28,8.5683
2005-01-31,8.2799
2004-12-31,8.0544
2004-11-30,7.8375
2004-10-29,7.5993
2004-09-30,7.3821
2004-08-31,7.1474
2004-07-30,6.9400
2004-06-30,6.7118
2004-05-28,6.4981
2004-04-30,6.3125
2004-03-31,6.1102
2004-02-27,5.9298
2004-01-30,5.7529
2003-12-31,5.5727
2003-11-28,5.4041
2003-10-31,5.2521
2003-09-30,5.1045
2003-08-29,4.9612
2003-07-31,4.8129
2003-06-30,4.6791
2003-05-30,4.5367
2003-04-30,4.3933
2003-03-31,4.2640
2003-02-28,4.1359
2003-01-31,4.0055
2002-12-31,3.8789
2002-11-29,3.7360
2002-10-31,3.5911
2002-09-30,3.4506
2002-08-30,3.3158
