,MAMA_monthly_10
2022-04-04,51.4587
2022-03-31,51.1822
2022-02-28,50.9103
2022-01-31,50.7091
2021-12-31,50.5182
2021-11-30,50.3241
2021-10-29,50.1832
2021-09-30,50.0548
2021-08-31,49.8475
2021-07-30,49.5934
2021-06-30,49.2712
2021-05-28,48.9692
2021-04-30,48.6388
2021-03-31,48.3043
2021-02-26,48.0063
2021-01-29,47.8157
2020-12-31,47.5717
2020-11-30,47.2883
2020-10-30,46.9839
2020-09-30,46.6790
2020-08-31,46.4454
2020-07-31,46.2207
2020-06-30,45.9018
2020-05-29,45.6787
2020-04-30,45.4101
2020-03-31,45.1549
2020-02-28,44.9082
2020-01-31,44.5320
2019-12-31,44.0760
2019-11-29,43.6939
2019-10-31,43.3314
2019-09-30,42.9104
2019-08-30,42.4583
2019-07-31,42.0177
2019-06-28,41.6100
2019-05-31,41.1788
2019-04-30,40.7449
2019-03-29,40.2943
2019-02-28,39.8431
2019-01-31,39.4037
2018-12-31,39.0104
2018-11-30,38.6457
2018-10-31,38.2403
2018-09-28,37.8941
2018-08-31,37.5780
2018-07-31,37.2643
2018-06-29,36.9308
2018-05-31,36.5989
2018-04-30,36.2719
2018-03-29,35.9339
2018-02-28,35.6045
2018-01-31,35.2964
2017-12-29,34.9593
2017-11-30,34.5798
2017-10-31,34.1395
2017-09-29,33.7299
2017-08-31,33.3490
2017-07-31,32.9181
2017-06-30,32.5106
2017-05-31,32.1177
2017-04-28,31.6939
2017-03-31,31.2934
2017-02-28,30.9087
2017-01-31,30.5301
2016-12-30,30.1860
2016-11-30,29.8406
2016-10-31,29.5259
2016-09-30,29.1897
2016-08-31,28.8568
2016-07-29,28.5284
2016-06-30,28.1650
2016-05-31,27.7851
2016-04-29,27.4627
2016-03-31,27.1446
2016-02-29,26.8089
2016-01-29,26.5205
2015-12-31,26.2496
2015-11-30,25.9958
2015-10-30,25.7486
2015-09-30,25.4976
2015-08-31,25.2440
2015-07-31,25.0247
2015-06-30,24.7857
2015-05-29,24.5871
2015-04-30,24.3547
2015-03-31,24.1178
2015-02-27,23.8631
2015-01-30,23.6033
2014-12-31,23.2932
2014-11-28,22.9991
2014-10-31,22.7413
2014-09-30,22.4945
2014-08-29,22.3023
2014-07-31,22.0905
2014-06-30,21.9030
2014-05-30,21.6849
2014-04-30,21.4829
2014-03-31,21.2791
2014-02-28,21.0829
2014-01-31,20.8774
2013-12-31,20.6924
2013-11-29,20.5077
2013-10-31,20.3179
2013-09-30,20.1063
2013-08-30,19.9062
2013-07-31,19.7075
2013-06-28,19.4728
2013-05-31,19.2647
2013-04-30,19.0471
2013-03-28,18.7950
2013-02-28,18.5661
2013-01-31,18.3490
2012-12-31,18.1482
2012-11-30,17.9665
2012-10-31,17.7795
2012-09-28,17.5799
2012-08-31,17.3832
2012-07-31,17.1947
2012-06-29,16.9890
2012-05-31,16.7974
2012-04-30,16.6205
2012-03-30,16.4490
2012-02-29,16.2826
2012-01-31,16.1205
2011-12-30,15.9552
2011-11-30,15.7855
2011-10-31,15.6194
2011-09-30,15.4641
2011-08-31,15.3287
2011-07-29,15.1832
2011-06-30,15.0490
2011-05-31,14.9019
2011-04-29,14.7489
2011-03-31,14.6068
2011-02-28,14.4708
2011-01-31,14.3371
2010-12-31,14.2122
2010-11-30,14.0846
2010-10-29,13.9624
2010-09-30,13.8341
2010-08-31,13.7072
2010-07-30,13.5883
2010-06-30,13.4794
2010-05-28,13.3839
2010-04-30,13.2953
2010-03-31,13.1917
2010-02-26,13.0878
2010-01-29,12.9912
2009-12-31,12.8973
2009-11-30,12.8009
2009-10-30,12.7128
2009-09-30,12.6472
2009-08-31,12.5750
2009-07-31,12.5014
2009-06-30,12.4329
2009-05-29,12.3777
2009-04-30,12.3369
2009-03-31,12.2973
2009-02-27,12.2652
2009-01-30,12.2346
2008-12-31,12.1612
2008-11-28,12.0978
2008-10-31,12.0439
2008-09-30,11.9821
2008-08-29,11.9069
2008-07-31,11.8266
2008-06-30,11.7546
2008-05-30,11.7007
2008-04-30,11.6294
2008-03-31,11.5564
2008-02-29,11.4793
2008-01-31,11.3988
2007-12-31,11.3023
2007-11-30,11.1854
2007-10-31,11.0648
2007-09-28,10.9564
2007-08-31,10.8544
2007-07-31,10.7497
2007-06-29,10.6566
2007-05-31,10.5528
2007-04-30,10.4130
2007-03-30,10.2619
2007-02-28,10.1122
2007-01-31,9.9654
2006-12-29,9.8099
2006-11-30,9.6456
2006-10-31,9.4867
2006-09-29,9.3342
2006-08-31,9.1970
2006-07-31,9.0538
2006-06-30,8.9242
2006-05-31,8.8116
2006-04-28,8.7005
2006-03-31,8.5847
2006-02-28,8.4752
2006-01-31,8.3549
2005-12-30,8.2255
2005-11-30,8.1036
2005-10-31,7.9797
2005-09-30,7.8532
2005-08-31,7.7166
2005-07-29,7.5744
2005-06-30,7.4266
2005-05-31,7.2861
2005-04-29,7.1458
2005-03-31,7.0149
2005-02-28,6.8820
2005-01-31,6.7514
2004-12-31,6.6197
2004-11-30,6.4761
2004-10-29,6.3320
2004-09-30,6.1940
2004-08-31,6.0620
2004-07-30,5.9254
2004-06-30,5.7954
2004-05-28,5.6667
2004-04-30,5.5372
2004-03-31,5.4121
2004-02-27,5.2865
2004-01-30,5.1608
2003-12-31,5.0330
2003-11-28,4.9026
2003-10-31,4.7738
2003-09-30,4.6564
2003-08-29,4.5445
2003-07-31,4.4369
2003-06-30,4.3282
2003-05-30,4.2063
2003-04-30,4.0815
2003-03-31,3.9758
2003-02-28,3.8709
2003-01-31,3.7767
2002-12-31,3.6788
2002-11-29,3.5692
2002-10-31,3.4670
2002-09-30,3.3793
2002-08-30,3.2957
