,MAMA_monthly_10
2022-04-04,68.7681
2022-03-31,68.2318
2022-02-28,67.7529
2022-01-31,67.3066
2021-12-31,66.2497
2021-11-30,65.0141
2021-10-29,63.8032
2021-09-30,62.0983
2021-08-31,60.0971
2021-07-30,57.7884
2021-06-30,55.5890
2021-05-28,53.2063
2021-04-30,51.1172
2021-03-31,48.9842
2021-02-26,47.0261
2021-01-29,44.8763
2020-12-31,42.9628
2020-11-30,41.0312
2020-10-30,39.2828
2020-09-30,37.7995
2020-08-31,36.1911
2020-07-31,34.4946
2020-06-30,32.8626
2020-05-29,31.4346
2020-04-30,30.1864
2020-03-31,29.2489
2020-02-28,28.5772
2020-01-31,27.7751
2019-12-31,26.9052
2019-11-29,26.0844
2019-10-31,25.2568
2019-09-30,24.4605
2019-08-30,23.6612
2019-07-31,22.7986
2019-06-28,21.9138
2019-05-31,20.9790
2019-04-30,20.0823
2019-03-29,19.1461
2019-02-28,18.2906
2019-01-31,17.4847
2018-12-31,16.7648
2018-11-30,16.0847
2018-10-31,15.3804
2018-09-28,14.6854
2018-08-31,13.9464
2018-07-31,13.1547
2018-06-29,12.4579
2018-05-31,11.7426
2018-04-30,11.0322
