,MAMA_monthly_10
2022-04-04,61.9661
2022-03-31,61.7494
2022-02-28,61.5269
2022-01-31,61.3330
2021-12-31,61.1666
2021-11-30,61.0076
2021-10-29,60.9186
2021-09-30,60.6811
2021-08-31,60.3956
2021-07-30,60.1700
2021-06-30,60.0013
2021-05-28,59.7460
2021-04-30,59.4073
2021-03-31,59.1291
2021-02-26,58.8616
2021-01-29,58.5141
2020-12-31,58.4486
2020-11-30,58.2845
2020-10-30,58.0772
2020-09-30,58.0939
2020-08-31,58.0269
2020-07-31,57.9177
2020-06-30,58.0107
2020-05-29,58.0886
2020-04-30,58.1514
2020-03-31,58.2663
2020-02-28,58.5299
2020-01-31,58.3184
2019-12-31,57.7387
2019-11-29,56.9892
2019-10-31,56.3740
2019-09-30,55.8637
2019-08-30,55.3532
2019-07-31,54.8848
2019-06-28,54.2929
2019-05-31,53.6469
2019-04-30,52.9960
2019-03-29,52.3465
2019-02-28,51.7524
2019-01-31,51.1214
2018-12-31,50.4687
2018-11-30,50.0262
2018-10-31,49.4379
2018-09-28,48.9243
2018-08-31,48.1618
2018-07-31,47.4689
2018-06-29,46.8635
2018-05-31,46.3402
2018-04-30,45.8039
2018-03-29,45.2316
2018-02-28,44.5620
2018-01-31,43.8068
2017-12-29,42.9778
2017-11-30,42.2763
2017-10-31,41.5296
2017-09-29,40.7764
2017-08-31,40.0652
2017-07-31,39.2967
2017-06-30,38.6278
2017-05-31,37.9884
2017-04-28,37.3336
2017-03-31,36.7102
2017-02-28,36.1603
2017-01-31,35.6281
2016-12-30,35.1136
2016-11-30,34.7022
2016-10-31,34.3010
2016-09-30,33.9338
2016-08-31,33.5807
2016-07-29,33.2639
2016-06-30,32.9317
2016-05-31,32.6449
2016-04-29,32.2608
2016-03-31,31.8762
2016-02-29,31.4441
2016-01-29,31.0791
2015-12-31,30.6447
2015-11-30,30.0302
2015-10-30,29.4914
2015-09-30,28.8949
2015-08-31,28.3766
2015-07-31,27.8646
2015-06-30,27.3321
2015-05-29,26.8954
2015-04-30,26.4788
2015-03-31,26.1322
2015-02-27,25.6577
2015-01-30,25.2273
2014-12-31,24.8032
2014-11-28,24.3130
2014-10-31,23.8984
2014-09-30,23.5313
2014-08-29,23.1665
2014-07-31,22.8322
2014-06-30,22.5311
2014-05-30,22.2631
2014-04-30,21.9951
2014-03-31,21.7460
2014-02-28,21.4816
2014-01-31,21.2291
2013-12-31,21.0056
2013-11-29,20.7991
2013-10-31,20.6225
2013-09-30,20.4618
2013-08-30,20.3325
2013-07-31,20.2179
2013-06-28,20.0898
2013-05-31,20.0020
2013-04-30,19.8986
2013-03-28,19.7820
2013-02-28,19.6930
2013-01-31,19.5888
2012-12-31,19.4730
2012-11-30,19.3750
2012-10-31,19.2664
2012-09-28,19.1702
2012-08-31,19.1030
2012-07-31,19.0635
2012-06-29,19.0412
2012-05-31,19.0097
2012-04-30,18.9991
2012-03-30,18.9566
2012-02-29,18.8960
2012-01-31,18.8428
2011-12-30,18.8012
2011-11-30,18.7797
2011-10-31,18.7338
2011-09-30,18.6704
2011-08-31,18.6751
2011-07-29,18.6430
2011-06-30,18.5722
2011-05-31,18.4411
2011-04-29,18.2973
2011-03-31,18.1451
2011-02-28,17.9791
2011-01-31,17.7900
2010-12-31,17.5896
2010-11-30,17.3695
2010-10-29,17.2042
2010-09-30,17.0433
2010-08-31,16.9486
2010-07-30,16.9119
2010-06-30,16.8384
2010-05-28,16.8157
2010-04-30,16.7401
2010-03-31,16.6058
2010-02-26,16.4943
2010-01-29,16.4216
2009-12-31,16.3667
2009-11-30,16.3180
2009-10-30,16.2748
2009-09-30,16.2680
2009-08-31,16.2285
2009-07-31,16.2309
2009-06-30,16.2719
2009-05-29,16.3217
2009-04-30,16.3591
2009-03-31,16.3996
2009-02-27,16.4975
2009-01-30,16.6133
2008-12-31,16.7262
2008-11-28,16.7788
2008-10-31,16.8685
2008-09-30,16.9241
2008-08-29,16.9194
2008-07-31,16.8615
2008-06-30,16.8173
2008-05-30,16.7980
