,MAMA_monthly_10
2022-04-04,15.9222
2022-03-31,15.7286
2022-02-28,15.5334
2022-01-31,15.3607
2021-12-31,15.2052
2021-11-30,15.0144
2021-10-29,14.8309
2021-09-30,14.6278
2021-08-31,14.4216
2021-07-30,14.1774
2021-06-30,13.9374
2021-05-28,13.7363
2021-04-30,13.5343
2021-03-31,13.2991
2021-02-26,13.0901
2021-01-29,12.8914
2020-12-31,12.6631
2020-11-30,12.4021
2020-10-30,12.1479
2020-09-30,11.8881
2020-08-31,11.6499
2020-07-31,11.4030
2020-06-30,11.1722
2020-05-29,11.0052
2020-04-30,10.8404
2020-03-31,10.6863
2020-02-28,10.5561
2020-01-31,10.4160
2019-12-31,10.2719
2019-11-29,10.1578
2019-10-31,10.0249
2019-09-30,9.8768
2019-08-30,9.7537
2019-07-31,9.6375
2019-06-28,9.5162
2019-05-31,9.3783
2019-04-30,9.2280
2019-03-29,9.0697
2019-02-28,8.8906
2019-01-31,8.7225
2018-12-31,8.5691
2018-11-30,8.4215
2018-10-31,8.2317
2018-09-28,8.0595
2018-08-31,7.8790
2018-07-31,7.6994
2018-06-29,7.5408
2018-05-31,7.3907
2018-04-30,7.2511
2018-03-29,7.1162
2018-02-28,6.9691
2018-01-31,6.8237
2017-12-29,6.6816
2017-11-30,6.5500
2017-10-31,6.4179
2017-09-29,6.2957
2017-08-31,6.1629
2017-07-31,6.0361
2017-06-30,5.9127
2017-05-31,5.7995
2017-04-28,5.6752
2017-03-31,5.5681
2017-02-28,5.4671
2017-01-31,5.3675
2016-12-30,5.2729
2016-11-30,5.1836
2016-10-31,5.1004
2016-09-30,5.0222
2016-08-31,4.9498
2016-07-29,4.8799
2016-06-30,4.8110
2016-05-31,4.7369
2016-04-29,4.6656
2016-03-31,4.6005
2016-02-29,4.5337
2016-01-29,4.4646
2015-12-31,4.3950
2015-11-30,4.3317
2015-10-30,4.2625
2015-09-30,4.1947
2015-08-31,4.1261
2015-07-31,4.0524
2015-06-30,3.9738
2015-05-29,3.8964
2015-04-30,3.8334
2015-03-31,3.7703
2015-02-27,3.7068
2015-01-30,3.6524
2014-12-31,3.5991
2014-11-28,3.5451
2014-10-31,3.4922
2014-09-30,3.4410
2014-08-29,3.3964
2014-07-31,3.3500
2014-06-30,3.3074
2014-05-30,3.2598
2014-04-30,3.2098
2014-03-31,3.1613
2014-02-28,3.1118
2014-01-31,3.0628
2013-12-31,3.0165
2013-11-29,2.9657
2013-10-31,2.9202
2013-09-30,2.8758
2013-08-30,2.8340
2013-07-31,2.7964
2013-06-28,2.7568
2013-05-31,2.7156
2013-04-30,2.6758
2013-03-28,2.6382
2013-02-28,2.5997
2013-01-31,2.5609
2012-12-31,2.5214
2012-11-30,2.4886
2012-10-31,2.4535
2012-09-28,2.4189
2012-08-31,2.3820
2012-07-31,2.3450
2012-06-29,2.3071
2012-05-31,2.2720
2012-04-30,2.2394
2012-03-30,2.2067
2012-02-29,2.1736
2012-01-31,2.1428
2011-12-30,2.1090
2011-11-30,2.0727
2011-10-31,2.0361
2011-09-30,2.0003
2011-08-31,1.9722
2011-07-29,1.9380
2011-06-30,1.9085
2011-05-31,1.8753
2011-04-29,1.8424
2011-03-31,1.8072
2011-02-28,1.7734
2011-01-31,1.7410
2010-12-31,1.7100
2010-11-30,1.6768
2010-10-29,1.6477
2010-09-30,1.6201
2010-08-31,1.5967
2010-07-30,1.5781
2010-06-30,1.5571
2010-05-28,1.5378
2010-04-30,1.5174
2010-03-31,1.4961
2010-02-26,1.4747
2010-01-29,1.4538
2009-12-31,1.4355
2009-11-30,1.4177
2009-10-30,1.4022
2009-09-30,1.3862
2009-08-31,1.3687
2009-07-31,1.3527
2009-06-30,1.3359
2009-05-29,1.3205
2009-04-30,1.3061
2009-03-31,1.2895
2009-02-27,1.2741
2009-01-30,1.2607
2008-12-31,1.2477
2008-11-28,1.2305
2008-10-31,1.2143
2008-09-30,1.1977
2008-08-29,1.1786
2008-07-31,1.1613
2008-06-30,1.1451
2008-05-30,1.1323
2008-04-30,1.1177
2008-03-31,1.1030
2008-02-29,1.0853
2008-01-31,1.0675
2007-12-31,1.0495
2007-11-30,1.0289
2007-10-31,1.0073
2007-09-28,0.9847
2007-08-31,0.9658
2007-07-31,0.9468
2007-06-29,0.9307
2007-05-31,0.9155
2007-04-30,0.8999
2007-03-30,0.8842
2007-02-28,0.8684
2007-01-31,0.8524
2006-12-29,0.8377
2006-11-30,0.8224
2006-10-31,0.8073
2006-09-29,0.7923
2006-08-31,0.7778
2006-07-31,0.7629
2006-06-30,0.7481
2006-05-31,0.7348
2006-04-28,0.7212
2006-03-31,0.7070
2006-02-28,0.6926
2006-01-31,0.6791
2005-12-30,0.6632
2005-11-30,0.6490
2005-10-31,0.6340
2005-09-30,0.6203
2005-08-31,0.6060
2005-07-29,0.5913
2005-06-30,0.5753
2005-05-31,0.5600
2005-04-29,0.5442
2005-03-31,0.5289
2005-02-28,0.5147
2005-01-31,0.5021
2004-12-31,0.4898
2004-11-30,0.4764
2004-10-29,0.4640
2004-09-30,0.4504
