,MAMA_monthly_10
2022-04-04,62.6649
2022-03-31,62.4969
2022-02-28,62.3082
2022-01-31,62.1374
2021-12-31,62.0381
2021-11-30,61.9269
2021-10-29,61.8412
2021-09-30,61.7511
2021-08-31,61.6553
2021-07-30,61.5692
2021-06-30,61.4413
2021-05-28,61.2595
2021-04-30,61.0866
2021-03-31,60.9670
2021-02-26,60.8889
2021-01-29,60.8220
2020-12-31,60.7731
2020-11-30,60.7866
2020-10-30,60.8365
2020-09-30,61.0360
2020-08-31,61.2061
2020-07-31,61.3770
2020-06-30,61.5547
2020-05-29,61.7107
2020-04-30,61.9383
2020-03-31,62.0689
2020-02-28,62.2957
2020-01-31,62.2015
2019-12-31,61.9809
2019-11-29,61.7596
2019-10-31,61.6039
2019-09-30,61.4624
2019-08-30,61.3365
2019-07-31,61.2307
2019-06-28,61.1162
2019-05-31,61.0069
2019-04-30,60.8538
2019-03-29,60.6782
2019-02-28,60.4867
2019-01-31,60.2937
2018-12-31,60.0836
2018-11-30,59.9898
2018-10-31,59.7503
2018-09-28,59.5537
2018-08-31,59.3002
2018-07-31,58.9915
2018-06-29,58.6909
2018-05-31,58.4097
2018-04-30,58.1586
2018-03-29,57.9031
2018-02-28,57.6528
2018-01-31,57.4062
2017-12-29,57.1263
2017-11-30,56.8401
2017-10-31,56.5469
2017-09-29,56.3062
2017-08-31,56.0153
2017-07-31,55.7696
2017-06-30,55.4633
2017-05-31,55.1327
2017-04-28,54.8451
2017-03-31,54.5219
2017-02-28,54.1814
2017-01-31,53.7937
2016-12-30,53.4329
2016-11-30,53.0803
2016-10-31,52.7486
2016-09-30,52.4724
2016-08-31,52.1120
2016-07-29,51.6750
2016-06-30,51.2328
2016-05-31,50.8790
2016-04-29,50.5694
2016-03-31,50.2265
2016-02-29,49.9467
2016-01-29,49.7400
2015-12-31,49.4633
2015-11-30,49.0518
2015-10-30,48.6010
2015-09-30,48.1413
2015-08-31,47.7608
2015-07-31,47.4183
2015-06-30,46.9797
2015-05-29,46.5784
2015-04-30,46.1083
2015-03-31,45.6041
2015-02-27,45.0471
2015-01-30,44.5006
2014-12-31,43.9560
2014-11-28,43.4609
2014-10-31,42.9881
2014-09-30,42.5140
2014-08-29,42.1479
2014-07-31,41.7193
2014-06-30,41.2984
2014-05-30,40.8608
2014-04-30,40.4220
2014-03-31,40.0159
2014-02-28,39.6375
2014-01-31,39.2693
2013-12-31,38.9403
2013-11-29,38.6188
2013-10-31,38.3126
2013-09-30,37.9717
2013-08-30,37.6715
2013-07-31,37.3835
2013-06-28,37.0660
2013-05-31,36.7642
2013-04-30,36.4710
2013-03-28,36.1465
2013-02-28,35.8538
2013-01-31,35.5948
2012-12-31,35.3426
2012-11-30,35.1163
2012-10-31,34.8998
2012-09-28,34.6818
2012-08-31,34.4254
2012-07-31,34.1643
2012-06-29,33.9146
2012-05-31,33.6510
2012-04-30,33.4262
2012-03-30,33.1431
2012-02-29,32.8940
2012-01-31,32.6555
2011-12-30,32.4336
2011-11-30,32.2610
2011-10-31,32.0947
2011-09-30,31.9031
2011-08-31,31.7906
2011-07-29,31.5725
2011-06-30,31.2792
2011-05-31,30.9766
2011-04-29,30.6185
2011-03-31,30.3126
2011-02-28,30.0581
2011-01-31,29.7980
2010-12-31,29.5573
2010-11-30,29.3532
2010-10-29,29.1636
2010-09-30,28.9697
2010-08-31,28.7915
2010-07-30,28.6350
2010-06-30,28.4771
2010-05-28,28.3563
2010-04-30,28.1812
2010-03-31,28.0052
2010-02-26,27.8637
2010-01-29,27.7676
2009-12-31,27.7116
2009-11-30,27.6199
2009-10-30,27.5710
2009-09-30,27.5634
2009-08-31,27.5181
2009-07-31,27.5362
2009-06-30,27.6244
2009-05-29,27.7345
2009-04-30,27.8468
2009-03-31,27.9986
2009-02-27,28.2022
2009-01-30,28.4044
2008-12-31,28.5795
2008-11-28,28.6839
2008-10-31,28.8407
2008-09-30,28.8374
2008-08-29,28.6744
2008-07-31,28.3679
2008-06-30,28.0767
2008-05-30,27.7869
2008-04-30,27.3829
2008-03-31,27.0221
2008-02-29,26.7356
2008-01-31,26.3832
2007-12-31,26.0194
2007-11-30,25.6464
2007-10-31,25.2045
2007-09-28,24.6450
2007-08-31,24.1062
2007-07-31,23.6020
2007-06-29,23.0263
2007-05-31,22.4283
2007-04-30,21.7208
2007-03-30,21.0007
2007-02-28,20.2981
2007-01-31,19.5356
2006-12-29,18.7606
2006-11-30,18.0694
2006-10-31,17.3597
2006-09-29,16.7364
2006-08-31,16.1685
2006-07-31,15.5997
2006-06-30,15.0072
2006-05-31,14.4404
2006-04-28,13.9390
2006-03-31,13.4338
2006-02-28,12.9073
2006-01-31,12.4739
2005-12-30,12.0547
2005-11-30,11.6809
2005-10-31,11.3236
2005-09-30,11.0002
2005-08-31,10.6725
2005-07-29,10.3582
2005-06-30,10.0179
2005-05-31,9.7073
2005-04-29,9.4133
2005-03-31,9.1222
2005-02-28,8.8585
2005-01-31,8.5946
2004-12-31,8.3477
2004-11-30,8.0524
2004-10-29,7.7757
2004-09-30,7.5137
2004-08-31,7.2677
2004-07-30,7.0335
2004-06-30,6.8025
2004-05-28,6.5833
2004-04-30,6.3729
2004-03-31,6.1889
2004-02-27,5.9611
2004-01-30,5.7563
2003-12-31,5.5556
2003-11-28,5.3645
2003-10-31,5.1963
2003-09-30,5.0337
2003-08-29,4.8697
2003-07-31,4.7122
2003-06-30,4.5495
2003-05-30,4.3905
2003-04-30,4.2346
2003-03-31,4.0905
2003-02-28,3.9546
2003-01-31,3.8263
2002-12-31,3.6923
2002-11-29,3.5491
2002-10-31,3.4064
2002-09-30,3.2765
2002-08-30,3.1365
