,MAMA_monthly_10
2022-04-04,70.6113
2022-03-31,69.9681
2022-02-28,69.3286
2022-01-31,68.6333
2021-12-31,67.8526
2021-11-30,66.9773
2021-10-29,66.1282
2021-09-30,65.1208
2021-08-31,64.1269
2021-07-30,62.9356
2021-06-30,61.7275
2021-05-28,60.4348
2021-04-30,59.3465
2021-03-31,58.1394
2021-02-26,56.8987
2021-01-29,55.7018
2020-12-31,54.5827
2020-11-30,53.6150
2020-10-30,52.7538
2020-09-30,51.8878
2020-08-31,50.9714
2020-07-31,50.0522
2020-06-30,49.1214
2020-05-29,48.3561
2020-04-30,47.6750
2020-03-31,47.1355
2020-02-28,46.7331
2020-01-31,46.2204
2019-12-31,45.5793
2019-11-29,44.8560
2019-10-31,44.3508
2019-09-30,43.9111
2019-08-30,43.5821
2019-07-31,43.2885
2019-06-28,42.8993
2019-05-31,42.5838
2019-04-30,42.3683
2019-03-29,41.9464
2019-02-28,41.5753
2019-01-31,41.2083
2018-12-31,40.9239
2018-11-30,40.6943
2018-10-31,40.4073
2018-09-28,39.9876
2018-08-31,39.5260
2018-07-31,39.0541
2018-06-29,38.5498
2018-05-31,38.0206
2018-04-30,37.4675
2018-03-29,37.0241
2018-02-28,36.4483
2018-01-31,35.7815
2017-12-29,35.2249
2017-11-30,34.6839
2017-10-31,34.0450
2017-09-29,33.3167
2017-08-31,32.6936
2017-07-31,32.0317
2017-06-30,31.3708
2017-05-31,30.7869
2017-04-28,30.0987
2017-03-31,29.4690
2017-02-28,28.8493
2017-01-31,28.2531
2016-12-30,27.6796
2016-11-30,27.2623
2016-10-31,26.8204
2016-09-30,26.3758
2016-08-31,25.9342
2016-07-29,25.5000
2016-06-30,25.1463
2016-05-31,24.8143
2016-04-29,24.4468
2016-03-31,24.0775
2016-02-29,23.6023
2016-01-29,23.2278
2015-12-31,22.8297
2015-11-30,22.3549
2015-10-30,21.8185
2015-09-30,21.3321
2015-08-31,20.7783
2015-07-31,20.1889
2015-06-30,19.5199
2015-05-29,18.7674
2015-04-30,17.9592
2015-03-31,17.3000
2015-02-27,16.5792
2015-01-30,15.9472
2014-12-31,15.3527
2014-11-28,14.8464
2014-10-31,14.3826
2014-09-30,13.9991
2014-08-29,13.6135
2014-07-31,13.2367
2014-06-30,12.9106
2014-05-30,12.6156
2014-04-30,12.3506
2014-03-31,12.1045
2014-02-28,11.8878
2014-01-31,11.6875
2013-12-31,11.5322
2013-11-29,11.3907
2013-10-31,11.2655
2013-09-30,11.1462
2013-08-30,11.0343
2013-07-31,10.9167
2013-06-28,10.8098
2013-05-31,10.7212
2013-04-30,10.6139
2013-03-28,10.5217
2013-02-28,10.4290
2013-01-31,10.3419
2012-12-31,10.2301
2012-11-30,10.1500
2012-10-31,10.0479
2012-09-28,9.9380
2012-08-31,9.8256
2012-07-31,9.6496
2012-06-29,9.4857
2012-05-31,9.3347
2012-04-30,9.1863
2012-03-30,9.0339
2012-02-29,8.8753
2012-01-31,8.7213
2011-12-30,8.6144
2011-11-30,8.5549
2011-10-31,8.4939
2011-09-30,8.4007
2011-08-31,8.3233
2011-07-29,8.2210
2011-06-30,8.0754
2011-05-31,7.9493
2011-04-29,7.7995
2011-03-31,7.5940
2011-02-28,7.3780
2011-01-31,7.1278
2010-12-31,6.9128
2010-11-30,6.7239
2010-10-29,6.5619
2010-09-30,6.4211
2010-08-31,6.2992
2010-07-30,6.2018
2010-06-30,6.1061
2010-05-28,6.0161
2010-04-30,5.9329
2010-03-31,5.8408
2010-02-26,5.7588
2010-01-29,5.6790
2009-12-31,5.6217
2009-11-30,5.5503
2009-10-30,5.4952
2009-09-30,5.4564
2009-08-31,5.3919
2009-07-31,5.3413
2009-06-30,5.2861
2009-05-29,5.2511
2009-04-30,5.2180
2009-03-31,5.1909
2009-02-27,5.1705
2009-01-30,5.1640
2008-12-31,5.1771
2008-11-28,5.1793
2008-10-31,5.1830
2008-09-30,5.1709
2008-08-29,5.1476
2008-07-31,5.1119
2008-06-30,5.0781
2008-05-30,5.0402
2008-04-30,4.9978
