,MAMA_monthly_10
2022-04-04,156.0584
2022-03-31,153.2707
2022-02-28,150.4448
2022-01-31,147.7280
2021-12-31,145.4209
2021-11-30,141.6681
2021-10-29,138.3347
2021-09-30,134.4500
2021-08-31,130.9203
2021-07-30,127.2079
2021-06-30,123.6318
2021-05-28,120.3420
2021-04-30,117.3861
2021-03-31,114.2661
2021-02-26,111.5735
2021-01-29,109.0576
2020-12-31,106.8893
2020-11-30,104.7732
2020-10-30,102.7791
2020-09-30,101.2797
2020-08-31,99.8122
2020-07-31,98.2522
2020-06-30,96.4818
2020-05-29,94.8048
2020-04-30,93.1036
2020-03-31,91.7875
2020-02-28,90.8129
2020-01-31,89.8358
2019-12-31,88.6407
2019-11-29,87.3379
2019-10-31,86.0347
2019-09-30,84.8225
2019-08-30,83.7230
2019-07-31,82.6534
2019-06-28,81.3907
2019-05-31,80.1319
2019-04-30,78.9645
2019-03-29,77.7233
2019-02-28,76.5297
2019-01-31,75.3705
2018-12-31,74.3961
2018-11-30,73.7079
2018-10-31,72.8465
2018-09-28,71.9168
2018-08-31,70.6164
2018-07-31,69.4214
2018-06-29,68.5303
2018-05-31,67.7560
2018-04-30,66.9503
2018-03-29,66.1338
2018-02-28,65.3078
2018-01-31,64.5694
2017-12-29,63.8371
2017-11-30,63.2033
2017-10-31,62.5118
2017-09-29,61.8535
2017-08-31,61.2882
2017-07-31,60.6888
2017-06-30,60.1639
2017-05-31,59.6180
2017-04-28,59.1199
2017-03-31,58.6689
2017-02-28,58.2664
2017-01-31,57.8142
2016-12-30,57.4052
2016-11-30,56.9815
2016-10-31,56.5289
2016-09-30,56.0881
2016-08-31,55.5893
2016-07-29,55.1258
2016-06-30,54.5922
2016-05-31,54.0498
2016-04-29,53.5300
2016-03-31,53.1697
2016-02-29,52.7929
2016-01-29,52.4961
2015-12-31,52.2298
2015-11-30,51.8905
2015-10-30,51.5360
2015-09-30,51.2099
2015-08-31,50.8397
2015-07-31,50.4463
2015-06-30,49.9091
2015-05-29,49.4709
2015-04-30,49.0016
2015-03-31,48.5812
2015-02-27,48.1152
2015-01-30,47.6709
2014-12-31,47.2682
2014-11-28,46.8673
2014-10-31,46.4699
2014-09-30,46.0768
2014-08-29,45.6560
2014-07-31,45.2124
2014-06-30,44.7879
2014-05-30,44.3663
