,MAMA_monthly_10
2021-01-08,69.0876
2020-12-31,68.4575
2020-11-30,67.8212
2020-10-30,67.1782
2020-09-30,66.5410
2020-08-31,66.0480
2020-07-31,65.4894
2020-06-30,64.8964
2020-05-29,64.3317
2020-04-30,63.7055
2020-03-31,63.0892
2020-02-28,62.4368
2020-01-31,61.7431
2019-12-31,61.0382
2019-11-29,60.3299
2019-10-31,59.6186
2019-09-30,58.9918
2019-08-30,58.6734
2019-07-31,58.4337
2019-06-28,58.1027
2019-05-31,57.7712
2019-04-30,57.4862
2019-03-29,57.0159
2019-02-28,56.5630
2019-01-31,56.2132
2018-12-31,55.9210
2018-11-30,55.7055
2018-10-31,55.3924
2018-09-28,54.8808
2018-08-31,54.1939
2018-07-31,53.5661
2018-06-29,52.7890
2018-05-31,52.0613
2018-04-30,51.3391
2018-03-29,50.8763
2018-02-28,50.4582
2018-01-31,50.0085
2017-12-29,49.5011
2017-11-30,49.0141
2017-10-31,48.6164
2017-09-29,48.2230
2017-08-31,47.8430
2017-07-31,47.4674
2017-06-30,47.0495
2017-05-31,46.6428
2017-04-28,46.3013
2017-03-31,45.9125
2017-02-28,45.4857
2017-01-31,45.0909
2016-12-30,44.8144
2016-11-30,44.5471
2016-10-31,44.2345
2016-09-30,44.0024
2016-08-31,43.7753
2016-07-29,43.5616
2016-06-30,43.4088
2016-05-31,43.2900
2016-04-29,43.1621
2016-03-31,42.9472
2016-02-29,42.7117
2016-01-29,42.5538
2015-12-31,42.4046
2015-11-30,42.1409
2015-10-30,41.8478
2015-09-30,41.5269
2015-08-31,41.2498
2015-07-31,40.9282
2015-06-30,40.4826
2015-05-29,40.0675
2015-04-30,39.6345
2015-03-31,39.2529
2015-02-27,38.8628
2015-01-30,38.4704
2014-12-31,38.0880
2014-11-28,37.5219
2014-10-31,36.9441
2014-09-30,36.4651
2014-08-29,35.9796
2014-07-31,35.4515
2014-06-30,34.9475
2014-05-30,34.4151
2014-04-30,33.8881
2014-03-31,33.4606
2014-02-28,33.0406
2014-01-31,32.5568
2013-12-31,32.1564
2013-11-29,31.6679
2013-10-31,31.2092
2013-09-30,30.8330
2013-08-30,30.4752
2013-07-31,30.1124
2013-06-28,29.7251
2013-05-31,29.3918
2013-04-30,29.0152
2013-03-28,28.6703
2013-02-28,28.3578
2013-01-31,28.0654
2012-12-31,27.7822
2012-11-30,27.5687
2012-10-31,27.3415
2012-09-28,27.0757
2012-08-31,26.8187
2012-07-31,26.5612
2012-06-29,26.3609
2012-05-31,26.1755
2012-04-30,25.9702
2012-03-30,25.6520
2012-02-29,25.3249
2012-01-31,25.0318
2011-12-30,24.7459
2011-11-30,24.4364
2011-10-31,24.1198
2011-09-30,23.6933
2011-08-31,23.4214
2011-07-29,23.0555
2011-06-30,22.6220
2011-05-31,22.1931
2011-04-29,21.7864
2011-03-31,21.4274
2011-02-28,21.1314
2011-01-31,20.8339
2010-12-31,20.5617
2010-11-30,20.2524
2010-10-29,19.9433
2010-09-30,19.7064
2010-08-31,19.5169
2010-07-30,19.3881
2010-06-30,19.2379
2010-05-28,19.1205
2010-04-30,18.9421
2010-03-31,18.7370
2010-02-26,18.5379
2010-01-29,18.3636
2009-12-31,18.2184
2009-11-30,18.0523
2009-10-30,17.8885
2009-09-30,17.7505
2009-08-31,17.6173
2009-07-31,17.5014
2009-06-30,17.4373
2009-05-29,17.4087
2009-04-30,17.3569
2009-03-31,17.3001
2009-02-27,17.3018
2009-01-30,17.3251
2008-12-31,17.3349
2008-11-28,17.3220
2008-10-31,17.3405
2008-09-30,17.2987
2008-08-29,17.1927
2008-07-31,17.0188
2008-06-30,16.8933
2008-05-30,16.7433
2008-04-30,16.5280
2008-03-31,16.3536
2008-02-29,16.1907
2008-01-31,16.0604
2007-12-31,15.9119
2007-11-30,15.7132
2007-10-31,15.5106
2007-09-28,15.2455
2007-08-31,14.9921
2007-07-31,14.7451
2007-06-29,14.5195
2007-05-31,14.2544
2007-04-30,13.9913
2007-03-30,13.7634
2007-02-28,13.5503
2007-01-31,13.3509
2006-12-29,13.1825
2006-11-30,13.0125
2006-10-31,12.8479
2006-09-29,12.7025
2006-08-31,12.5750
2006-07-31,12.4593
2006-06-30,12.3425
2006-05-31,12.2135
2006-04-28,12.0750
2006-03-31,11.9298
2006-02-28,11.7628
2006-01-31,11.5978
2005-12-30,11.4269
2005-11-30,11.2497
2005-10-31,11.0529
2005-09-30,10.8640
2005-08-31,10.6704
2005-07-29,10.4934
2005-06-30,10.3404
2005-05-31,10.1955
2005-04-29,10.0621
2005-03-31,9.9348
2005-02-28,9.7731
2005-01-31,9.6433
2004-12-31,9.5025
2004-11-30,9.3563
2004-10-29,9.2193
2004-09-30,9.0906
2004-08-31,8.9499
2004-07-30,8.8067
2004-06-30,8.6257
2004-05-28,8.4347
2004-04-30,8.2533
2004-03-31,8.0427
2004-02-27,7.8362
2004-01-30,7.5988
2003-12-31,7.3772
2003-11-28,7.1115
2003-10-31,6.8423
2003-09-30,6.5547
2003-08-29,6.3402
2003-07-31,6.1120
2003-06-30,5.9157
2003-05-30,5.7301
2003-04-30,5.5423
2003-03-31,5.3903
2003-02-28,5.2573
2003-01-31,5.1309
2002-12-31,5.0087
2002-11-29,4.8803
2002-10-31,4.7175
2002-09-30,4.5694
2002-08-30,4.4554
