,MAMA_monthly_10
2016-05-26,67.7433
2016-04-29,66.3108
2016-03-31,64.8381
2016-02-29,63.4261
2016-01-29,62.1459
2015-12-31,60.9418
2015-11-30,59.6896
2015-10-30,58.4404
2015-09-30,57.1322
2015-08-31,55.9113
2015-07-31,54.6194
2015-06-30,53.2747
2015-05-29,52.0345
2015-04-30,50.7623
2015-03-31,49.7294
2015-02-27,48.7422
2015-01-30,47.7111
2014-12-31,46.8534
2014-11-28,45.8302
2014-10-31,44.8240
2014-09-30,43.8353
2014-08-29,42.8730
2014-07-31,41.8576
2014-06-30,40.8667
2014-05-30,39.8445
2014-04-30,38.8717
2014-03-31,37.8935
2014-02-28,36.9469
2014-01-31,35.9601
2013-12-31,35.0388
2013-11-29,34.0868
2013-10-31,33.0989
2013-09-30,32.2807
2013-08-30,31.5363
2013-07-31,30.8251
2013-06-28,30.0488
2013-05-31,29.2798
2013-04-30,28.6648
2013-03-28,28.0651
2013-02-28,27.4388
2013-01-31,26.8978
2012-12-31,26.3297
2012-11-30,25.6820
2012-10-31,25.0494
2012-09-28,24.3760
2012-08-31,23.7340
2012-07-31,23.1438
2012-06-29,22.5890
2012-05-31,22.0548
2012-04-30,21.5774
2012-03-30,21.0538
2012-02-29,20.5152
2012-01-31,19.9910
2011-12-30,19.5181
2011-11-30,19.1334
2011-10-31,18.7730
2011-09-30,18.3845
2011-08-31,18.0013
2011-07-29,17.5886
2011-06-30,17.1056
2011-05-31,16.5752
2011-04-29,16.0468
2011-03-31,15.5092
2011-02-28,15.0270
2011-01-31,14.5325
2010-12-31,14.0759
2010-11-30,13.6308
2010-10-29,13.2211
2010-09-30,12.8433
2010-08-31,12.4959
2010-07-30,12.1664
2010-06-30,11.7880
2010-05-28,11.4504
2010-04-30,11.0861
2010-03-31,10.7085
2010-02-26,10.3527
2010-01-29,10.0509
2009-12-31,9.7763
