,MAMA_monthly_10
2022-04-04,180.6061
2022-03-31,177.9429
2022-02-28,175.2465
2022-01-31,172.6908
2021-12-31,169.6493
2021-11-30,165.9290
2021-10-29,162.3629
2021-09-30,158.5158
2021-08-31,155.4842
2021-07-30,152.1487
2021-06-30,148.7094
2021-05-28,145.6421
2021-04-30,143.0409
2021-03-31,140.1942
2021-02-26,137.3221
2021-01-29,134.0282
2020-12-31,131.1114
2020-11-30,128.0265
2020-10-30,125.0005
2020-09-30,122.3805
2020-08-31,120.0959
2020-07-31,117.8210
2020-06-30,115.4025
2020-05-29,113.0644
2020-04-30,110.4154
2020-03-31,108.2914
2020-02-28,106.3897
2020-01-31,104.2992
2019-12-31,102.0832
2019-11-29,100.0839
2019-10-31,98.1638
2019-09-30,96.4431
2019-08-30,94.7657
2019-07-31,93.1316
2019-06-28,91.7153
2019-05-31,90.4597
2019-04-30,89.2184
2019-03-29,87.7770
2019-02-28,86.5990
2019-01-31,85.4052
2018-12-31,84.3568
2018-11-30,83.3320
2018-10-31,82.2266
2018-09-28,80.9192
2018-08-31,79.2612
2018-07-31,77.5674
2018-06-29,76.0783
2018-05-31,74.6033
2018-04-30,73.0173
2018-03-29,71.5435
2018-02-28,70.1353
2018-01-31,68.7921
2017-12-29,67.4515
2017-11-30,66.3445
2017-10-31,65.1669
2017-09-29,64.0344
2017-08-31,62.9204
2017-07-31,61.8105
2017-06-30,60.6994
2017-05-31,59.5381
2017-04-28,58.4134
2017-03-31,57.3510
2017-02-28,56.3691
2017-01-31,55.4067
2016-12-30,54.4914
2016-11-30,53.5997
2016-10-31,52.6370
2016-09-30,51.5485
2016-08-31,50.3396
2016-07-29,49.1920
2016-06-30,48.0423
2016-05-31,46.8436
2016-04-29,45.7684
2016-03-31,44.7518
2016-02-29,43.9048
2016-01-29,43.1329
2015-12-31,41.9821
2015-11-30,40.6454
2015-10-30,39.2535
2015-09-30,37.9292
2015-08-31,36.8041
2015-07-31,35.7815
2015-06-30,34.7335
2015-05-29,33.7774
2015-04-30,32.8916
2015-03-31,31.9920
2015-02-27,31.0977
2015-01-30,30.2060
2014-12-31,29.4396
2014-11-28,28.6315
2014-10-31,27.8240
2014-09-30,26.9745
2014-08-29,26.3541
2014-07-31,25.7207
2014-06-30,25.0640
2014-05-30,24.3959
2014-04-30,23.8531
2014-03-31,23.2693
2014-02-28,22.6591
2014-01-31,21.9407
2013-12-31,21.0972
2013-11-29,20.2786
2013-10-31,19.4470
2013-09-30,18.6666
2013-08-30,17.9716
2013-07-31,17.4068
2013-06-28,16.8289
2013-05-31,16.3064
2013-04-30,15.7741
2013-03-28,15.2946
2013-02-28,14.8303
2013-01-31,14.4104
2012-12-31,14.0100
2012-11-30,13.6622
2012-10-31,13.3263
2012-09-28,12.9780
2012-08-31,12.6644
2012-07-31,12.3857
2012-06-29,12.1166
2012-05-31,11.8315
2012-04-30,11.5742
2012-03-30,11.2876
2012-02-29,11.0136
2012-01-31,10.7433
2011-12-30,10.4970
2011-11-30,10.2989
2011-10-31,10.0792
2011-09-30,9.8621
2011-08-31,9.7064
2011-07-29,9.5496
2011-06-30,9.3886
2011-05-31,9.2129
2011-04-29,9.0493
2011-03-31,8.8903
2011-02-28,8.7406
2011-01-31,8.6054
2010-12-31,8.4828
2010-11-30,8.3588
2010-10-29,8.2370
2010-09-30,8.1141
2010-08-31,7.9924
2010-07-30,7.8983
2010-06-30,7.8121
2010-05-28,7.7342
2010-04-30,7.6484
2010-03-31,7.5536
2010-02-26,7.4406
2010-01-29,7.3323
2009-12-31,7.2172
2009-11-30,7.0890
2009-10-30,6.9587
2009-09-30,6.8369
2009-08-31,6.7333
2009-07-31,6.6475
2009-06-30,6.5591
2009-05-29,6.4676
2009-04-30,6.3632
2009-03-31,6.2608
2009-02-27,6.1763
2009-01-30,6.1012
2008-12-31,6.0357
2008-11-28,5.9756
2008-10-31,5.9084
2008-09-30,5.8308
2008-08-29,5.7365
2008-07-31,5.6307
2008-06-30,5.5261
2008-05-30,5.4449
2008-04-30,5.3407
2008-03-31,5.2485
2008-02-29,5.1603
2008-01-31,5.0725
2007-12-31,4.9879
2007-11-30,4.9081
2007-10-31,4.8055
2007-09-28,4.6912
2007-08-31,4.6038
2007-07-31,4.5005
2007-06-29,4.4244
2007-05-31,4.3438
2007-04-30,4.2651
2007-03-30,4.1875
2007-02-28,4.1015
2007-01-31,4.0053
2006-12-29,3.9053
2006-11-30,3.8027
2006-10-31,3.6952
2006-09-29,3.5892
2006-08-31,3.4948
2006-07-31,3.3980
2006-06-30,3.3109
2006-05-31,3.2312
2006-04-28,3.1565
2006-03-31,3.0770
2006-02-28,2.9969
2006-01-31,2.9271
2005-12-30,2.8688
2005-11-30,2.8091
2005-10-31,2.7491
2005-09-30,2.6946
2005-08-31,2.6382
2005-07-29,2.5828
2005-06-30,2.5287
2005-05-31,2.4779
2005-04-29,2.4372
2005-03-31,2.4034
2005-02-28,2.3508
2005-01-31,2.3034
2004-12-31,2.2494
2004-11-30,2.1877
2004-10-29,2.1306
2004-09-30,2.0641
2004-08-31,1.9956
2004-07-30,1.9239
2004-06-30,1.8504
2004-05-28,1.7735
2004-04-30,1.7015
2004-03-31,1.6233
2004-02-27,1.5417
2004-01-30,1.4632
2003-12-31,1.3770
2003-11-28,1.2936
2003-10-31,1.2218
2003-09-30,1.1542
2003-08-29,1.0943
2003-07-31,1.0414
2003-06-30,1.0019
2003-05-30,0.9691
2003-04-30,0.9330
2003-03-31,0.9026
2003-02-28,0.8760
2003-01-31,0.8467
2002-12-31,0.8159
2002-11-29,0.7820
2002-10-31,0.7449
2002-09-30,0.7121
2002-08-30,0.6748
