,MAMA_monthly_10
2022-04-04,174.1483
2022-03-31,171.8809
2022-02-28,169.5947
2022-01-31,167.5249
2021-12-31,165.5429
2021-11-30,163.0500
2021-10-29,160.8187
2021-09-30,158.7324
2021-08-31,156.6901
2021-07-30,154.3607
2021-06-30,152.5279
2021-05-28,150.5760
2021-04-30,148.6085
2021-03-31,146.7828
2021-02-26,145.1425
2021-01-29,143.3528
2020-12-31,141.9749
2020-11-30,140.5084
2020-10-30,139.1459
2020-09-30,138.4628
2020-08-31,137.5990
2020-07-31,136.6436
2020-06-30,136.0744
2020-05-29,135.3942
2020-04-30,134.2971
2020-03-31,133.4524
2020-02-28,133.0256
2020-01-31,131.7725
2019-12-31,130.3973
2019-11-29,129.1575
2019-10-31,128.0999
2019-09-30,127.0388
2019-08-30,125.7902
2019-07-31,124.6595
2019-06-28,122.3909
2019-05-31,120.1232
2019-04-30,117.9691
2019-03-29,115.6357
2019-02-28,113.2812
2019-01-31,111.2690
2018-12-31,109.4442
2018-11-30,108.0766
2018-10-31,106.1603
2018-09-28,104.4597
2018-08-31,102.6652
2018-07-31,101.0759
2018-06-29,99.6283
2018-05-31,98.2765
2018-04-30,96.7751
2018-03-29,95.2182
2018-02-28,94.1167
2018-01-31,93.0133
2017-12-29,91.7094
2017-11-30,90.3765
2017-10-31,89.0499
2017-09-29,87.9112
2017-08-31,86.5157
2017-07-31,85.1572
2017-06-30,83.4799
2017-05-31,81.4207
2017-04-28,79.1639
2017-03-31,77.1207
2017-02-28,75.0186
2017-01-31,73.0145
2016-12-30,71.0017
2016-11-30,69.1437
2016-10-31,67.2209
2016-09-30,65.4420
2016-08-31,63.6991
2016-07-29,61.8455
2016-06-30,59.8317
2016-05-31,57.9751
2016-04-29,56.2070
2016-03-31,54.6710
2016-02-29,53.2662
2016-01-29,52.1357
2015-12-31,50.8323
2015-11-30,49.4771
2015-10-30,48.2900
2015-09-30,47.0206
2015-08-31,45.8455
2015-07-31,44.7117
2015-06-30,43.4863
2015-05-29,42.3655
2015-04-30,41.2518
2015-03-31,40.1423
2015-02-27,39.0240
2015-01-30,37.9964
2014-12-31,37.0475
2014-11-28,36.1304
2014-10-31,35.2177
2014-09-30,34.3531
2014-08-29,33.5065
2014-07-31,32.8620
2014-06-30,32.2613
2014-05-30,31.6638
2014-04-30,31.1261
2014-03-31,30.5545
2014-02-28,29.8789
2014-01-31,29.2748
2013-12-31,28.7047
2013-11-29,28.0197
2013-10-31,27.0205
2013-09-30,25.9919
2013-08-30,25.0478
2013-07-31,24.2984
2013-06-28,23.5246
2013-05-31,22.7510
2013-04-30,22.0640
2013-03-28,21.4015
2013-02-28,20.7966
2013-01-31,20.1121
2012-12-31,19.3272
2012-11-30,18.5299
2012-10-31,17.7041
2012-09-28,16.9517
2012-08-31,16.1502
2012-07-31,15.3638
2012-06-29,14.6616
2012-05-31,13.8665
2012-04-30,13.1038
2012-03-30,12.3455
2012-02-29,11.5319
2012-01-31,10.8170
2011-12-30,10.1656
2011-11-30,9.6199
2011-10-31,9.0216
2011-09-30,8.4406
2011-08-31,7.9043
2011-07-29,7.3940
2011-06-30,6.8391
2011-05-31,6.2632
2011-04-29,5.7673
2011-03-31,5.2943
2011-02-28,4.8670
2011-01-31,4.4994
2010-12-31,4.1749
2010-11-30,3.8774
2010-10-29,3.5675
2010-09-30,3.2970
2010-08-31,3.0386
2010-07-30,2.8426
