,MAMA_monthly_10
2022-04-04,153.9544
2022-03-31,152.3750
2022-02-28,150.7789
2022-01-31,149.1026
2021-12-31,147.3752
2021-11-30,145.1002
2021-10-29,143.2520
2021-09-30,140.9864
2021-08-31,138.8014
2021-07-30,136.0214
2021-06-30,133.4579
2021-05-28,131.3149
2021-04-30,129.3863
2021-03-31,127.6642
2021-02-26,126.0834
2021-01-29,124.5905
2020-12-31,123.1755
2020-11-30,121.9205
2020-10-30,120.8085
2020-09-30,119.7781
2020-08-31,119.0114
2020-07-31,118.0291
2020-06-30,117.0683
2020-05-29,116.4286
2020-04-30,115.5859
2020-03-31,114.8646
2020-02-28,114.1859
2020-01-31,113.3707
2019-12-31,112.2554
2019-11-29,111.0292
2019-10-31,109.9076
2019-09-30,108.8802
2019-08-30,107.7251
2019-07-31,106.6729
2019-06-28,105.6236
2019-05-31,104.5163
2019-04-30,103.5447
2019-03-29,102.4336
2019-02-28,100.9258
2019-01-31,99.4986
2018-12-31,98.1681
2018-11-30,97.2541
2018-10-31,96.2306
2018-09-28,95.2866
2018-08-31,94.2826
2018-07-31,93.3210
2018-06-29,92.2710
2018-05-31,91.2476
2018-04-30,90.2236
2018-03-29,89.2318
2018-02-28,88.1266
2018-01-31,86.9497
2017-12-29,85.6501
2017-11-30,84.5638
2017-10-31,83.4264
2017-09-29,82.2888
2017-08-31,81.3067
2017-07-31,80.2746
2017-06-30,79.3335
2017-05-31,78.2779
2017-04-28,77.2543
2017-03-31,76.3186
2017-02-28,75.5106
2017-01-31,74.7077
2016-12-30,74.0316
2016-11-30,73.4219
2016-10-31,72.8042
2016-09-30,72.1342
2016-08-31,71.2619
2016-07-29,70.3927
2016-06-30,69.4984
2016-05-31,68.7797
2016-04-29,68.0850
2016-03-31,67.4580
2016-02-29,66.8069
2016-01-29,66.2664
2015-12-31,65.7115
2015-11-30,65.0158
2015-10-30,64.3309
2015-09-30,63.6898
2015-08-31,63.1391
2015-07-31,62.5508
2015-06-30,61.8343
2015-05-29,61.1621
2015-04-30,60.4302
2015-03-31,59.7761
2015-02-27,59.1241
2015-01-30,58.5053
2014-12-31,57.8938
2014-11-28,57.3400
2014-10-31,56.7485
2014-09-30,56.2025
2014-08-29,55.7690
2014-07-31,55.2876
2014-06-30,54.8012
2014-05-30,54.2998
2014-04-30,53.8365
2014-03-31,53.3850
2014-02-28,52.8292
2014-01-31,52.2376
2013-12-31,51.6716
2013-11-29,51.1834
2013-10-31,50.6951
2013-09-30,50.1877
2013-08-30,49.6218
2013-07-31,49.1246
2013-06-28,48.6012
2013-05-31,48.0815
2013-04-30,47.5903
2013-03-28,47.1377
2013-02-28,46.6653
2013-01-31,46.2001
2012-12-31,45.7418
2012-11-30,45.3238
2012-10-31,44.9276
2012-09-28,44.5550
2012-08-31,44.1634
2012-07-31,43.7995
2012-06-29,43.4593
2012-05-31,43.0955
2012-04-30,42.7250
2012-03-30,42.3069
2012-02-29,41.7983
2012-01-31,41.3155
2011-12-30,40.8584
2011-11-30,40.5231
2011-10-31,40.1243
2011-09-30,39.7203
2011-08-31,39.3590
2011-07-29,38.9498
2011-06-30,38.4555
2011-05-31,37.8768
2011-04-29,37.2639
2011-03-31,36.6504
2011-02-28,36.1428
2011-01-31,35.6690
2010-12-31,35.2577
2010-11-30,34.8289
2010-10-29,34.4042
2010-09-30,34.0029
2010-08-31,33.6315
2010-07-30,33.3599
2010-06-30,33.0487
2010-05-28,32.7290
2010-04-30,32.3683
2010-03-31,31.9681
2010-02-26,31.6088
2010-01-29,31.3254
2009-12-31,31.0663
2009-11-30,30.7542
2009-10-30,30.4712
2009-09-30,30.1988
2009-08-31,29.9396
2009-07-31,29.7342
2009-06-30,29.5270
2009-05-29,29.3053
2009-04-30,29.1637
2009-03-31,29.0122
2009-02-27,28.9320
2009-01-30,28.8685
2008-12-31,28.7947
2008-11-28,28.7154
2008-10-31,28.5890
2008-09-30,28.4353
2008-08-29,28.1349
2008-07-31,27.7297
2008-06-30,27.3235
2008-05-30,26.9480
2008-04-30,26.5988
2008-03-31,26.2466
2008-02-29,25.9491
2008-01-31,25.6091
2007-12-31,25.2890
2007-11-30,24.7458
2007-10-31,24.2074
2007-09-28,23.6744
2007-08-31,23.2375
2007-07-31,22.8504
2007-06-29,22.4927
2007-05-31,22.1203
2007-04-30,21.7346
2007-03-30,21.3539
2007-02-28,20.9837
2007-01-31,20.6478
2006-12-29,20.2837
2006-11-30,19.9940
2006-10-31,19.6905
2006-09-29,19.3863
2006-08-31,19.1248
2006-07-31,18.8871
2006-06-30,18.6670
2006-05-31,18.4071
2006-04-28,18.1723
2006-03-31,17.8981
2006-02-28,17.6430
2006-01-31,17.3896
2005-12-30,17.1415
2005-11-30,16.9329
2005-10-31,16.7076
2005-09-30,16.5107
2005-08-31,16.2573
2005-07-29,15.9622
2005-06-30,15.6661
2005-05-31,15.4489
2005-04-29,15.2125
2005-03-31,14.9659
2005-02-28,14.7555
2005-01-31,14.4111
2004-12-31,14.0609
2004-11-30,13.7304
2004-10-29,13.3977
2004-09-30,13.1160
2004-08-31,12.8030
2004-07-30,12.4949
2004-06-30,12.1778
2004-05-28,11.8182
2004-04-30,11.4722
2004-03-31,11.1522
2004-02-27,10.8523
2004-01-30,10.5888
2003-12-31,10.3128
2003-11-28,10.0820
2003-10-31,9.8608
2003-09-30,9.6430
2003-08-29,9.4633
2003-07-31,9.2508
2003-06-30,9.0240
2003-05-30,8.8209
2003-04-30,8.6235
2003-03-31,8.4681
2003-02-28,8.3399
2003-01-31,8.1901
2002-12-31,8.0400
2002-11-29,7.9012
2002-10-31,7.7103
2002-09-30,7.5338
2002-08-30,7.3650
