,MAMA_monthly_10
2022-04-04,44.8696
2022-03-31,44.8244
2022-02-28,44.7757
2022-01-31,44.7134
2021-12-31,44.6424
2021-11-30,44.4347
2021-10-29,44.2993
2021-09-30,44.2185
2021-08-31,44.0951
2021-07-30,43.9021
2021-06-30,43.6897
2021-05-28,43.4121
2021-04-30,43.0907
2021-03-31,42.8126
2021-02-26,42.5708
2021-01-29,42.3086
2020-12-31,42.1659
2020-11-30,42.0323
2020-10-30,42.0036
2020-09-30,42.0467
2020-08-31,42.1023
2020-07-31,42.1395
2020-06-30,42.1298
2020-05-29,42.1094
2020-04-30,42.0865
2020-03-31,42.0462
2020-02-28,42.0559
2020-01-31,41.9267
2019-12-31,41.6971
2019-11-29,41.4902
2019-10-31,41.4112
2019-09-30,41.3184
2019-08-30,41.1506
2019-07-31,41.0044
2019-06-28,40.8899
2019-05-31,40.8364
2019-04-30,40.8878
2019-03-29,40.8049
2019-02-28,40.7508
2019-01-31,40.6796
2018-12-31,40.6588
2018-11-30,40.7147
2018-10-31,40.6961
2018-09-28,40.6994
2018-08-31,40.5562
2018-07-31,40.3721
2018-06-29,40.1214
2018-05-31,39.7999
2018-04-30,39.4230
2018-03-29,39.0862
2018-02-28,38.6204
2018-01-31,38.2031
2017-12-29,37.7635
2017-11-30,37.4072
2017-10-31,37.0580
2017-09-29,36.6094
2017-08-31,36.1826
2017-07-31,35.7389
2017-06-30,35.3197
2017-05-31,34.8643
2017-04-28,34.3953
2017-03-31,33.9306
2017-02-28,33.5209
2017-01-31,33.1628
2016-12-30,32.7752
2016-11-30,32.4905
2016-10-31,32.2459
2016-09-30,32.0459
2016-08-31,31.8435
2016-07-29,31.7488
2016-06-30,31.6457
2016-05-31,31.5438
2016-04-29,31.4518
2016-03-31,31.4089
2016-02-29,31.3093
2016-01-29,31.2456
2015-12-31,31.1424
2015-11-30,30.9328
2015-10-30,30.7049
2015-09-30,30.4365
2015-08-31,30.0562
2015-07-31,29.6546
2015-06-30,29.2137
2015-05-29,28.8341
2015-04-30,28.2930
2015-03-31,27.7431
2015-02-27,27.2453
2015-01-30,26.6109
2014-12-31,26.0530
2014-11-28,25.3749
2014-10-31,24.7562
2014-09-30,24.1729
2014-08-29,23.5960
2014-07-31,22.9652
2014-06-30,22.3545
2014-05-30,21.8016
2014-04-30,21.2838
2014-03-31,20.7589
2014-02-28,20.1973
2014-01-31,19.6730
2013-12-31,19.1503
2013-11-29,18.6413
2013-10-31,18.2059
2013-09-30,17.8111
2013-08-30,17.4640
2013-07-31,17.1271
2013-06-28,16.7671
2013-05-31,16.4224
2013-04-30,16.0662
2013-03-28,15.7728
2013-02-28,15.5174
2013-01-31,15.2873
2012-12-31,15.0562
2012-11-30,14.8597
2012-10-31,14.7374
2012-09-28,14.6073
2012-08-31,14.4393
2012-07-31,14.2465
2012-06-29,14.0684
2012-05-31,13.9638
2012-04-30,13.8506
2012-03-30,13.6763
2012-02-29,13.4793
2012-01-31,13.2977
2011-12-30,13.1377
2011-11-30,13.0198
2011-10-31,12.9160
2011-09-30,12.8307
2011-08-31,12.7521
2011-07-29,12.6421
2011-06-30,12.4908
2011-05-31,12.3224
2011-04-29,12.1502
2011-03-31,11.9507
2011-02-28,11.7694
2011-01-31,11.6407
2010-12-31,11.4829
2010-11-30,11.3244
2010-10-29,11.1675
2010-09-30,11.0212
2010-08-31,10.9026
2010-07-30,10.8172
2010-06-30,10.7127
2010-05-28,10.5768
2010-04-30,10.4018
2010-03-31,10.1741
2010-02-26,9.9612
2010-01-29,9.7491
2009-12-31,9.5399
2009-11-30,9.2788
2009-10-30,9.0743
2009-09-30,8.8933
2009-08-31,8.6873
2009-07-31,8.4975
2009-06-30,8.3384
2009-05-29,8.2081
2009-04-30,8.0898
2009-03-31,7.9811
2009-02-27,7.9051
2009-01-30,7.8744
2008-12-31,7.8350
2008-11-28,7.8215
2008-10-31,7.8017
2008-09-30,7.7472
2008-08-29,7.6528
2008-07-31,7.5094
2008-06-30,7.3521
2008-05-30,7.1468
2008-04-30,6.9151
2008-03-31,6.7503
2008-02-29,6.5995
2008-01-31,6.4162
2007-12-31,6.2669
2007-11-30,6.0856
2007-10-31,5.9233
2007-09-28,5.7733
2007-08-31,5.6266
2007-07-31,5.4943
2007-06-29,5.3770
2007-05-31,5.2746
2007-04-30,5.1756
2007-03-30,5.0847
2007-02-28,5.0000
2007-01-31,4.8953
2006-12-29,4.7860
2006-11-30,4.6687
2006-10-31,4.5497
2006-09-29,4.4477
2006-08-31,4.3460
2006-07-31,4.2418
2006-06-30,4.1426
2006-05-31,4.0241
2006-04-28,3.8999
2006-03-31,3.7690
2006-02-28,3.6497
2006-01-31,3.5064
2005-12-30,3.3649
2005-11-30,3.2482
2005-10-31,3.1602
2005-09-30,3.0941
2005-08-31,3.0207
2005-07-29,2.9391
2005-06-30,2.8474
2005-05-31,2.7675
2005-04-29,2.6739
2005-03-31,2.5982
2005-02-28,2.5212
2005-01-31,2.4555
2004-12-31,2.3931
2004-11-30,2.3295
2004-10-29,2.2739
2004-09-30,2.2295
2004-08-31,2.1808
2004-07-30,2.1424
2004-06-30,2.1073
2004-05-28,2.0585
2004-04-30,2.0053
2004-03-31,1.9601
2004-02-27,1.8890
2004-01-30,1.8158
2003-12-31,1.7514
2003-11-28,1.6736
2003-10-31,1.5898
2003-09-30,1.4969
2003-08-29,1.4077
2003-07-31,1.3289
2003-06-30,1.2617
2003-05-30,1.1910
2003-04-30,1.1017
2003-03-31,1.0372
2003-02-28,0.9744
2003-01-31,0.9184
2002-12-31,0.8633
2002-11-29,0.8203
2002-10-31,0.7601
2002-09-30,0.7177
2002-08-30,0.6869
