,MAMA_monthly_10
2022-04-04,33.4819
2022-03-31,33.3306
2022-02-28,33.1778
2022-01-31,32.9738
2021-12-31,32.7659
2021-11-30,32.6144
2021-10-29,32.4634
2021-09-30,32.2789
2021-08-31,32.1401
2021-07-30,32.0070
2021-06-30,31.8722
2021-05-28,31.7424
2021-04-30,31.5971
2021-03-31,31.4679
2021-02-26,31.3969
2021-01-29,31.3541
2020-12-31,31.3744
2020-11-30,31.3918
2020-10-30,31.4376
2020-09-30,31.5432
2020-08-31,31.6296
2020-07-31,31.7106
2020-06-30,31.7923
2020-05-29,31.8616
2020-04-30,31.9230
2020-03-31,31.9654
2020-02-28,32.0115
2020-01-31,31.9410
2019-12-31,31.8158
2019-11-29,31.6239
2019-10-31,31.4238
2019-09-30,31.2532
2019-08-30,31.0922
2019-07-31,30.9661
2019-06-28,30.8263
2019-05-31,30.6953
2019-04-30,30.5906
2019-03-29,30.4513
2019-02-28,30.3115
2019-01-31,30.1557
2018-12-31,30.0074
2018-11-30,29.8878
2018-10-31,29.6916
2018-09-28,29.5071
2018-08-31,29.3268
2018-07-31,29.0907
2018-06-29,28.8670
2018-05-31,28.6577
2018-04-30,28.4593
2018-03-29,28.2809
2018-02-28,28.0966
2018-01-31,27.8566
2017-12-29,27.5516
2017-11-30,27.2891
2017-10-31,27.0614
2017-09-29,26.8378
2017-08-31,26.6206
2017-07-31,26.4374
2017-06-30,26.2304
2017-05-31,26.0083
2017-04-28,25.8216
2017-03-31,25.6125
2017-02-28,25.3853
2017-01-31,25.1366
2016-12-30,24.9021
2016-11-30,24.6759
2016-10-31,24.4663
2016-09-30,24.3179
2016-08-31,24.1828
2016-07-29,23.9904
2016-06-30,23.8236
2016-05-31,23.6605
2016-04-29,23.4669
2016-03-31,23.2809
2016-02-29,23.1068
2016-01-29,22.9431
2015-12-31,22.7531
2015-11-30,22.5264
2015-10-30,22.2913
2015-09-30,22.0649
2015-08-31,21.8595
2015-07-31,21.6355
2015-06-30,21.3746
2015-05-29,21.1245
2015-04-30,20.8741
2015-03-31,20.6315
2015-02-27,20.3922
2015-01-30,20.1473
2014-12-31,19.9263
2014-11-28,19.6794
2014-10-31,19.4327
2014-09-30,19.1978
2014-08-29,18.9704
2014-07-31,18.7441
2014-06-30,18.5229
2014-05-30,18.2860
2014-04-30,18.0611
2014-03-31,17.8459
2014-02-28,17.6278
2014-01-31,17.4341
2013-12-31,17.2494
2013-11-29,17.0625
2013-10-31,16.8846
2013-09-30,16.7179
2013-08-30,16.5604
2013-07-31,16.4031
2013-06-28,16.2275
2013-05-31,16.0677
2013-04-30,15.9118
2013-03-28,15.7769
2013-02-28,15.6483
2013-01-31,15.5333
2012-12-31,15.4190
2012-11-30,15.3106
2012-10-31,15.2101
2012-09-28,15.1051
2012-08-31,14.9925
2012-07-31,14.8827
2012-06-29,14.7751
2012-05-31,14.6692
2012-04-30,14.5729
2012-03-30,14.4668
2012-02-29,14.3542
2012-01-31,14.2628
2011-12-30,14.1870
2011-11-30,14.1229
2011-10-31,14.0709
2011-09-30,14.0190
2011-08-31,13.9799
2011-07-29,13.9256
2011-06-30,13.8579
2011-05-31,13.7886
2011-04-29,13.7163
2011-03-31,13.6387
2011-02-28,13.5410
2011-01-31,13.4387
2010-12-31,13.3346
2010-11-30,13.2400
2010-10-29,13.1724
2010-09-30,13.1130
2010-08-31,13.0599
2010-07-30,13.0179
2010-06-30,12.9450
2010-05-28,12.8870
2010-04-30,12.8057
2010-03-31,12.6914
2010-02-26,12.5905
2010-01-29,12.5164
2009-12-31,12.4340
2009-11-30,12.3613
2009-10-30,12.2801
2009-09-30,12.2023
2009-08-31,12.1189
2009-07-31,12.0395
2009-06-30,11.9820
2009-05-29,11.9255
2009-04-30,11.8592
2009-03-31,11.8328
2009-02-27,11.8483
2009-01-30,11.8795
2008-12-31,11.8641
2008-11-28,11.7726
2008-10-31,11.6845
2008-09-30,11.5610
2008-08-29,11.4117
2008-07-31,11.3123
2008-06-30,11.2143
2008-05-30,11.1610
2008-04-30,11.0804
2008-03-31,10.9858
2008-02-29,10.8948
2008-01-31,10.8020
2007-12-31,10.6769
2007-11-30,10.5774
2007-10-31,10.4614
2007-09-28,10.3358
2007-08-31,10.1979
2007-07-31,10.0524
2007-06-29,9.9263
2007-05-31,9.7894
2007-04-30,9.6450
2007-03-30,9.5024
2007-02-28,9.3680
2007-01-31,9.2305
2006-12-29,9.0835
2006-11-30,8.9392
2006-10-31,8.7956
2006-09-29,8.6454
2006-08-31,8.4945
2006-07-31,8.3514
2006-06-30,8.1994
2006-05-31,8.0630
2006-04-28,7.9275
2006-03-31,7.7849
2006-02-28,7.6564
2006-01-31,7.5255
2005-12-30,7.4010
2005-11-30,7.2737
2005-10-31,7.1451
2005-09-30,7.0253
2005-08-31,6.9096
2005-07-29,6.7893
2005-06-30,6.6640
2005-05-31,6.5366
2005-04-29,6.4117
2005-03-31,6.2885
2005-02-28,6.1644
2005-01-31,6.0405
2004-12-31,5.9107
2004-11-30,5.7770
2004-10-29,5.6432
2004-09-30,5.5158
2004-08-31,5.3874
2004-07-30,5.2605
2004-06-30,5.1379
2004-05-28,5.0146
2004-04-30,4.8852
2004-03-31,4.7630
2004-02-27,4.6390
2004-01-30,4.5117
2003-12-31,4.3843
2003-11-28,4.2511
2003-10-31,4.1212
2003-09-30,3.9945
2003-08-29,3.8809
2003-07-31,3.7702
2003-06-30,3.6586
2003-05-30,3.5462
2003-04-30,3.4389
2003-03-31,3.3316
2003-02-28,3.2328
2003-01-31,3.1319
2002-12-31,3.0250
2002-11-29,2.9184
2002-10-31,2.8127
2002-09-30,2.6944
2002-08-30,2.5815
