,MAMA_monthly_10
2022-04-04,119.2238
2022-03-31,116.2965
2022-02-28,113.3226
2022-01-31,110.5574
2021-12-31,107.7022
2021-11-30,104.0549
2021-10-29,100.6369
2021-09-30,97.3152
2021-08-31,94.0138
2021-07-30,90.4058
2021-06-30,87.1639
2021-05-28,84.4221
2021-04-30,81.7694
2021-03-31,79.2815
2021-02-26,77.2415
2021-01-29,75.1923
2020-12-31,72.9324
2020-11-30,70.8145
2020-10-30,68.7572
2020-09-30,66.7120
2020-08-31,64.6176
2020-07-31,62.4108
2020-06-30,60.3336
2020-05-29,58.6568
2020-04-30,57.0751
2020-03-31,55.7469
2020-02-28,54.7793
2020-01-31,53.8188
2019-12-31,52.7945
2019-11-29,51.8178
2019-10-31,50.8645
2019-09-30,49.9335
2019-08-30,49.0151
2019-07-31,48.0508
2019-06-28,47.1591
2019-05-31,46.3814
2019-04-30,45.7015
2019-03-29,44.9228
2019-02-28,44.2737
2019-01-31,43.6727
2018-12-31,43.0304
2018-11-30,42.4854
2018-10-31,41.8198
2018-09-28,41.1837
2018-08-31,40.3676
2018-07-31,39.6072
2018-06-29,38.9130
2018-05-31,38.3166
2018-04-30,37.7768
2018-03-29,37.2794
2018-02-28,36.7774
2018-01-31,36.2810
2017-12-29,35.6505
2017-11-30,35.0302
2017-10-31,34.3911
2017-09-29,33.7310
2017-08-31,33.1166
2017-07-31,32.5876
2017-06-30,32.0368
2017-05-31,31.4239
2017-04-28,30.7801
2017-03-31,30.1792
2017-02-28,29.6768
2017-01-31,29.1608
2016-12-30,28.6183
2016-11-30,28.0695
2016-10-31,27.5516
2016-09-30,27.0790
2016-08-31,26.6181
2016-07-29,26.0802
2016-06-30,25.5522
2016-05-31,25.0633
2016-04-29,24.5775
2016-03-31,24.1249
2016-02-29,23.6873
2016-01-29,23.3171
2015-12-31,22.9904
2015-11-30,22.6321
2015-10-30,22.2424
2015-09-30,21.8786
2015-08-31,21.5700
2015-07-31,21.2414
2015-06-30,20.8701
2015-05-29,20.5136
2015-04-30,20.1920
2015-03-31,19.8756
2015-02-27,19.4894
2015-01-30,19.1528
2014-12-31,18.8656
2014-11-28,18.5382
2014-10-31,18.2195
2014-09-30,17.9050
2014-08-29,17.6515
2014-07-31,17.4084
2014-06-30,17.1887
2014-05-30,16.9541
2014-04-30,16.7179
2014-03-31,16.4668
