,MAMA_monthly_10
2022-02-14,64.3813
2022-01-31,63.0627
2021-12-31,61.7482
2021-11-30,60.2339
2021-10-29,58.5389
2021-09-30,57.3186
2021-08-31,56.3779
2021-07-30,55.3815
2021-06-30,54.4328
2021-05-28,53.5269
2021-04-30,52.7894
2021-03-31,52.0348
2021-02-26,51.3135
2021-01-29,50.5204
2020-12-31,49.7166
2020-11-30,48.7919
2020-10-30,47.8199
2020-09-30,47.1119
2020-08-31,46.5417
2020-07-31,45.9665
2020-06-30,45.3574
2020-05-29,44.8317
2020-04-30,44.3652
2020-03-31,43.9433
2020-02-28,43.6113
2020-01-31,43.2208
2019-12-31,42.8200
2019-11-29,42.2834
2019-10-31,41.7909
2019-09-30,41.3171
2019-08-30,40.7876
2019-07-31,40.1721
2019-06-28,39.4542
2019-05-31,38.6925
2019-04-30,38.0767
2019-03-29,37.2830
2019-02-28,36.4161
2019-01-31,35.5551
2018-12-31,34.8199
2018-11-30,34.3391
2018-10-31,33.7819
2018-09-28,33.2920
2018-08-31,32.8479
2018-07-31,32.4220
2018-06-29,32.0514
2018-05-31,31.7429
2018-04-30,31.4037
2018-03-29,31.1018
2018-02-28,30.7196
2018-01-31,30.3432
2017-12-29,29.9494
2017-11-30,29.6053
2017-10-31,29.2378
2017-09-29,28.8298
2017-08-31,28.4451
2017-07-31,28.1019
2017-06-30,27.7854
2017-05-31,27.4556
2017-04-28,27.0997
2017-03-31,26.7777
2017-02-28,26.5018
2017-01-31,26.2142
2016-12-30,25.9327
2016-11-30,25.6280
2016-10-31,25.3802
2016-09-30,25.1622
2016-08-31,24.9096
2016-07-29,24.6557
2016-06-30,24.4315
2016-05-31,24.2508
2016-04-29,24.0567
2016-03-31,23.9035
2016-02-29,23.7088
2016-01-29,23.5140
2015-12-31,23.2922
2015-11-30,23.0984
2015-10-30,22.8777
2015-09-30,22.6766
2015-08-31,22.5211
2015-07-31,22.3683
2015-06-30,22.2181
2015-05-29,22.0447
2015-04-30,21.8401
2015-03-31,21.6728
