,SMA_monthly_10
2022-04-04,567.4730
2022-03-31,579.1560
2022-02-28,584.0520
2022-01-31,588.1180
2021-12-31,582.2250
2021-11-30,571.4860
2021-10-29,550.3780
2021-09-30,535.3540
2021-08-31,525.6290
2021-07-30,503.9690
2021-06-30,490.8490
2021-05-28,483.6240
2021-04-30,477.5980
2021-03-31,470.2950
2021-02-26,461.4180
2021-01-29,450.8150
2020-12-31,436.7620
2020-11-30,421.2620
2020-10-30,408.5290
2020-09-30,396.8000
2020-08-31,378.7100
2020-07-31,355.1640
2020-06-30,338.3570
2020-05-29,323.2770
2020-04-30,314.5030
2020-03-31,308.6040
2020-02-28,303.8700
2020-01-31,298.2830
2019-12-31,289.8180
2019-11-29,283.0870
2019-10-31,276.9160
2019-09-30,271.7470
2019-08-30,269.2110
2019-07-31,265.3360
2019-06-28,262.4450
2019-05-31,259.3310
2019-04-30,256.7090
2019-03-29,252.1650
2019-02-28,250.4440
2019-01-31,246.3540
2018-12-31,243.1800
2018-11-30,241.4690
2018-10-31,236.3560
2018-09-28,229.3040
2018-08-31,220.4560
2018-07-31,211.6210
2018-06-29,202.0710
2018-05-31,193.2060
2018-04-30,182.9270
2018-03-29,174.9110
2018-02-28,167.4890
2018-01-31,159.9500
2017-12-29,152.9870
2017-11-30,147.2970
2017-10-31,140.4880
2017-09-29,133.2670
2017-08-31,128.6300
2017-07-31,123.8650
2017-06-30,120.0700
2017-05-31,116.1570
2017-04-28,111.7570
2017-03-31,107.9620
2017-02-28,104.8960
2017-01-31,102.4840
2016-12-30,100.5260
2016-11-30,98.7460
2016-10-31,97.3780
2016-09-30,96.0210
2016-08-31,94.3130
2016-07-29,92.9480
2016-06-30,91.3840
2016-05-31,89.6620
2016-04-29,87.9140
2016-03-31,86.5930
2016-02-29,85.1220
2016-01-29,84.2130
2015-12-31,82.6940
2015-11-30,81.2100
2015-10-30,79.0770
2015-09-30,77.4810
2015-08-31,76.6270
2015-07-31,75.7820
2015-06-30,74.5020
2015-05-29,73.5910
2015-04-30,72.6070
2015-03-31,72.2370
2015-02-27,71.2970
2015-01-30,69.5560
2014-12-31,69.1170
2014-11-28,68.7100
2014-10-31,67.2610
2014-09-30,66.2369
2014-08-29,64.9959
2014-07-31,63.2279
2014-06-30,61.4969
2014-05-30,58.8359
2014-04-30,57.1099
2014-03-31,55.4969
2014-02-28,53.2139
2014-01-31,50.8589
2013-12-31,49.2914
2013-11-29,47.2345
2013-10-31,45.3395
2013-09-30,43.6855
2013-08-30,41.9525
2013-07-31,40.7800
2013-06-28,39.2955
2013-05-31,37.8665
2013-04-30,36.6635
2013-03-28,35.3925
2013-02-28,34.1460
2013-01-31,33.5700
2012-12-31,33.2180
2012-11-30,32.7390
2012-10-31,32.3730
2012-09-28,31.7975
2012-08-31,31.2960
2012-07-31,31.1100
2012-06-29,30.4390
2012-05-31,29.7260
2012-04-30,29.3920
2012-03-30,29.1820
2012-02-29,29.2140
2012-01-31,29.2800
2011-12-30,29.5010
2011-11-30,30.1240
2011-10-31,30.6870
2011-09-30,30.8240
2011-08-31,31.1870
2011-07-29,31.4780
2011-06-30,31.3220
2011-05-31,30.9470
2011-04-29,30.3560
2011-03-31,29.6440
2011-02-28,29.5360
2011-01-31,29.4460
2010-12-31,29.6780
2010-11-30,30.0650
2010-10-29,30.5150
2010-09-30,31.3780
2010-08-31,32.2710
2010-07-30,32.7950
2010-06-30,33.2270
2010-05-28,33.7260
2010-04-30,33.7600
2010-03-31,33.2300
2010-02-26,32.5110
2010-01-29,31.7810
2009-12-31,30.6900
2009-11-30,28.6820
2009-10-30,27.1050
2009-09-30,25.9400
2009-08-31,24.9520
2009-07-31,24.4740
2009-06-30,25.1790
2009-05-29,26.6320
2009-04-30,27.9490
2009-03-31,29.1530
2009-02-27,31.4200
2009-01-30,33.4790
2008-12-31,35.1070
2008-11-28,36.3430
2008-10-31,37.5200
2008-09-30,39.1290
2008-08-29,39.3960
2008-07-31,39.9030
2008-06-30,40.1340
2008-05-30,40.4700
2008-04-30,40.0930
2008-03-31,40.3790
2008-02-29,41.2260
2008-01-31,42.0170
2007-12-31,42.6940
2007-11-30,42.3460
2007-10-31,42.0190
2007-09-28,41.3410
2007-08-31,40.9910
2007-07-31,40.5410
2007-06-29,40.2580
2007-05-31,39.4870
2007-04-30,37.9320
2007-03-30,36.8120
2007-02-28,35.5050
2007-01-31,35.5000
2006-12-29,35.1080
2006-11-30,34.8510
2006-10-31,34.8080
2006-09-29,34.6790
2006-08-31,34.1940
2006-07-31,34.1750
2006-06-30,34.3090
2006-05-31,33.9770
2006-04-28,34.0780
2006-03-31,33.0190
2006-02-28,32.8360
2006-01-31,31.9545
2005-12-30,31.3400
2005-11-30,30.7309
2005-10-31,30.3144
2005-09-30,30.2258
2005-08-31,30.2676
2005-07-29,30.3640
2005-06-30,29.8726
2005-05-31,29.3036
2005-04-29,28.0992
2005-03-31,27.4492
2005-02-28,26.3202
2005-01-31,25.3063
2004-12-31,24.4250
2004-11-30,23.1488
2004-10-29,22.0346
2004-09-30,21.1852
2004-08-31,20.7749
2004-07-30,20.6675
2004-06-30,20.5263
2004-05-28,20.1406
2004-04-30,19.5447
2004-03-31,19.0721
2004-02-27,18.8709
2004-01-30,18.7334
2003-12-31,18.3588
2003-11-28,17.7792
2003-10-31,17.0345
2003-09-30,16.0861
2003-08-29,15.5916
2003-07-31,14.8321
2003-06-30,14.1508
2003-05-30,13.5515
2003-04-30,12.9831
2003-03-31,12.6802
2003-02-28,12.9397
2003-01-31,13.5579
2002-12-31,14.2465
2002-11-29,14.8211
2002-10-31,15.0266
2002-09-30,15.3937
2002-08-30,16.0378
2002-07-31,16.3501
2002-06-28,16.3497
2002-05-31,16.6014
2002-04-30,16.6683
2002-03-28,17.0160
2002-02-28,16.9871
2002-01-31,17.4095
2001-12-31,17.4707
2001-11-30,17.3694
2001-10-31,17.9446
2001-09-28,19.5223
2001-08-31,21.4783
2001-07-31,23.5859
2001-06-29,25.5796
2001-05-31,26.4714
2001-04-30,27.3382
2001-03-30,28.3341
2001-02-28,29.4390
2001-01-31,30.9972
2000-12-29,31.5899
2000-11-30,31.2312
2000-10-31,29.4492
2000-09-29,27.3398
