,SMA_monthly_10
2022-04-04,8.1860
2022-03-31,8.4779
2022-02-28,8.7362
2022-01-31,8.9136
2021-12-31,8.9884
2021-11-30,8.8967
2021-10-29,8.9576
2021-09-30,8.8990
2021-08-31,8.8552
2021-07-30,8.6534
2021-06-30,8.4153
2021-05-28,8.3856
2021-04-30,8.2051
2021-03-31,8.0755
2021-02-26,7.9304
2021-01-29,7.7395
2020-12-31,7.2730
2020-11-30,7.1169
2020-10-30,6.9535
2020-09-30,7.0712
2020-08-31,7.0893
2020-07-31,6.7371
2020-06-30,6.4534
2020-05-29,6.0954
2020-04-30,5.9671
2020-03-31,5.9493
2020-02-28,6.0414
2020-01-31,6.0033
2019-12-31,5.9629
2019-11-29,5.8963
2019-10-31,5.7075
2019-09-30,5.5460
2019-08-30,5.6671
2019-07-31,5.9178
2019-06-28,6.1715
2019-05-31,6.4042
2019-04-30,6.6686
2019-03-29,6.8375
2019-02-28,6.9271
2019-01-31,6.9961
2018-12-31,7.0488
2018-11-30,7.4278
