,SMA_monthly_10
2022-04-04,265.5157
2022-03-31,266.4848
2022-02-28,266.5425
2022-01-31,268.9672
2021-12-31,267.2600
2021-11-30,259.2043
2021-10-29,255.3820
2021-09-30,249.3360
2021-08-31,245.4740
2021-07-30,238.9364
2021-06-30,234.5047
2021-05-28,231.9355
2021-04-30,232.1267
2021-03-31,232.1093
2021-02-26,233.6183
2021-01-29,235.4264
2020-12-31,234.0856
2020-11-30,233.9000
2020-10-30,233.6537
2020-09-30,233.3737
2020-08-31,230.3053
2020-07-31,227.0162
2020-06-30,222.8314
2020-05-29,219.6976
2020-04-30,214.9347
2020-03-31,211.4371
2020-02-28,210.3143
2020-01-31,207.0411
2019-12-31,203.3743
2019-11-29,197.9151
2019-10-31,193.7532
2019-09-30,187.8181
2019-08-30,182.1039
2019-07-31,174.7988
2019-06-28,168.2768
2019-05-31,162.7213
2019-04-30,156.7564
2019-03-29,151.6903
2019-02-28,145.9281
2019-01-31,141.9562
2018-12-31,139.0592
2018-11-30,136.9916
2018-10-31,135.1851
2018-09-28,133.7296
2018-08-31,133.3138
2018-07-31,132.5915
2018-06-29,131.3081
2018-05-31,131.3864
2018-04-30,131.0051
2018-03-29,130.4434
2018-02-28,128.9578
2018-01-31,127.5495
2017-12-29,124.9098
2017-11-30,122.1231
2017-10-31,118.2613
2017-09-29,114.6211
2017-08-31,111.2646
2017-07-31,108.2733
2017-06-30,106.0075
2017-05-31,104.0639
2017-04-28,102.4969
2017-03-31,101.2147
2017-02-28,99.6397
2017-01-31,98.5966
2016-12-30,98.3096
2016-11-30,96.9205
2016-10-31,96.0816
2016-09-30,94.1286
2016-08-31,92.6941
2016-07-29,91.5569
2016-06-30,88.9446
2016-05-31,86.8574
2016-04-29,85.7769
2016-03-31,84.6166
2016-02-29,83.6417
2016-01-29,83.7235
2015-12-31,83.5460
2015-11-30,83.5716
2015-10-30,83.2360
2015-09-30,82.8139
2015-08-31,84.1544
2015-07-31,84.5113
2015-06-30,84.2751
2015-05-29,84.5985
2015-04-30,84.6403
2015-03-31,84.1480
2015-02-27,83.6648
2015-01-30,82.2196
2014-12-31,80.7955
2014-11-28,79.1714
2014-10-31,76.9946
2014-09-30,75.3792
2014-08-29,73.8988
2014-07-31,72.1541
2014-06-30,70.3271
2014-05-30,68.4627
2014-04-30,66.7691
2014-03-31,65.8051
2014-02-28,65.3856
2014-01-31,65.5229
2013-12-31,65.0889
2013-11-29,64.8035
2013-10-31,64.5966
2013-09-30,64.3493
2013-08-30,64.3305
2013-07-31,64.7613
2013-06-28,64.7521
2013-05-31,64.4374
2013-04-30,63.9086
2013-03-28,62.6556
2013-02-28,61.5843
2013-01-31,60.5140
2012-12-31,59.3341
2012-11-30,58.0226
2012-10-31,57.0069
2012-09-28,55.6683
2012-08-31,54.5447
2012-07-31,53.1999
2012-06-29,51.5865
2012-05-31,50.1799
2012-04-30,49.1031
2012-03-30,47.9510
2012-02-29,47.2929
2012-01-31,46.4084
2011-12-30,45.4054
2011-11-30,44.8726
2011-10-31,44.1964
2011-09-30,43.9090
