,SMA_monthly_10
2022-04-04,560.3363
2022-03-31,543.5713
2022-02-28,526.5255
2022-01-31,512.5333
2021-12-31,499.4214
2021-11-30,478.6700
2021-10-29,467.4937
2021-09-30,457.2690
2021-08-31,447.8392
2021-07-30,432.5831
2021-06-30,419.8898
2021-05-28,406.0880
2021-04-30,390.2013
2021-03-31,375.7747
2021-02-26,358.0214
2021-01-29,338.1649
2020-12-31,316.9389
2020-11-30,299.8407
2020-10-30,289.5626
2020-09-30,285.2581
2020-08-31,279.2711
2020-07-31,273.0980
2020-06-30,268.2750
2020-05-29,263.9218
2020-04-30,262.8349
2020-03-31,263.3988
2020-02-28,263.7059
2020-01-31,267.0886
2019-12-31,265.8840
2019-11-29,261.1830
2019-10-31,256.1273
2019-09-30,251.9643
2019-08-30,247.6142
2019-07-31,241.6792
2019-06-28,237.1214
2019-05-31,230.1827
2019-04-30,226.9785
2019-03-29,219.6121
2019-02-28,214.5072
2019-01-31,209.9340
2018-12-31,206.5320
2018-11-30,205.1567
2018-10-31,205.6360
2018-09-28,208.1017
2018-08-31,210.1784
2018-07-31,213.6294
2018-06-29,215.0147
2018-05-31,215.3063
2018-04-30,214.4613
2018-03-29,214.4203
2018-02-28,214.2999
2018-01-31,211.8109
2017-12-29,209.0301
2017-11-30,204.7236
2017-10-31,197.7996
2017-09-29,190.1569
2017-08-31,183.7288
2017-07-31,176.5561
2017-06-30,170.0319
2017-05-31,164.9499
2017-04-28,158.1996
2017-03-31,152.4815
2017-02-28,146.7926
2017-01-31,141.1481
2016-12-30,137.1977
2016-11-30,133.4166
2016-10-31,130.2259
2016-09-30,128.0037
2016-08-31,124.3387
2016-07-29,119.7835
2016-06-30,116.5837
2016-05-31,113.9890
2016-04-29,111.4534
2016-03-31,110.2791
2016-02-29,109.5911
2016-01-29,108.0829
2015-12-31,107.4281
2015-11-30,105.8446
2015-10-30,103.4843
2015-09-30,101.5424
2015-08-31,98.8356
2015-07-31,95.4890
2015-06-30,92.2724
2015-05-29,87.9861
2015-04-30,81.4476
2015-03-31,77.6973
2015-02-27,72.9778
2015-01-30,67.6538
2014-12-31,64.4354
2014-11-28,61.1640
2014-10-31,57.9389
2014-09-30,55.1568
2014-08-29,51.6373
2014-07-31,48.6004
2014-06-30,46.4108
2014-05-30,43.6163
2014-04-30,40.8127
2014-03-31,38.6475
2014-02-28,36.4193
2014-01-31,33.9732
2013-12-31,32.4118
2013-11-29,30.8444
2013-10-31,30.0755
2013-09-30,28.9243
2013-08-30,28.2213
2013-07-31,27.7408
2013-06-28,27.5513
2013-05-31,27.4269
2013-04-30,27.3175
2013-03-28,27.5887
2013-02-28,27.3153
2013-01-31,27.2978
2012-12-31,27.5080
2012-11-30,27.9281
2012-10-31,27.8036
2012-09-28,27.4470
2012-08-31,27.0186
2012-07-31,26.7672
2012-06-29,26.4125
2012-05-31,26.1548
2012-04-30,26.1685
2012-03-30,26.4119
2012-02-29,25.9728
2012-01-31,25.6245
2011-12-30,25.3799
2011-11-30,25.7460
2011-10-31,25.6337
2011-09-30,25.2004
2011-08-31,24.6624
2011-07-29,23.9962
2011-06-30,23.1235
2011-05-31,21.7326
2011-04-29,20.7972
2011-03-31,19.8335
2011-02-28,19.0202
2011-01-31,17.9806
2010-12-31,17.3507
2010-11-30,16.5587
2010-10-29,15.8899
2010-09-30,15.4004
2010-08-31,14.8909
2010-07-30,14.4964
2010-06-30,14.1371
