,SMA_monthly_10
2022-04-04,61.2128
2022-03-31,62.2318
2022-02-28,63.0638
2022-01-31,63.0199
2021-12-31,62.4029
2021-11-30,59.8408
2021-10-29,55.6303
2021-09-30,51.7480
2021-08-31,48.5983
2021-07-30,44.4599
2021-06-30,40.5691
2021-05-28,37.1295
2021-04-30,33.4782
2021-03-31,29.3875
2021-02-26,25.7192
2021-01-29,22.2840
2020-12-31,19.9386
2020-11-30,18.6913
2020-10-30,17.4107
2020-09-30,16.2767
2020-08-31,15.2396
2020-07-31,14.2063
2020-06-30,13.7726
2020-05-29,13.8570
2020-04-30,14.5483
2020-03-31,15.5965
2020-02-28,16.3919
2020-01-31,16.5946
2019-12-31,16.8473
2019-11-29,17.3906
2019-10-31,17.9585
2019-09-30,18.5535
2019-08-30,19.5071
2019-07-31,20.6005
2019-06-28,20.8334
2019-05-31,20.7707
2019-04-30,21.3236
2019-03-29,22.0326
2019-02-28,22.3810
2019-01-31,22.8668
2018-12-31,23.4803
2018-11-30,25.0419
2018-10-31,26.0562
2018-09-28,27.8776
2018-08-31,29.5651
2018-07-31,30.5912
2018-06-29,31.1823
2018-05-31,31.0274
2018-04-30,31.7391
2018-03-29,32.9319
2018-02-28,33.7360
2018-01-31,33.7955
2017-12-29,33.4617
2017-11-30,32.7916
2017-10-31,32.8792
2017-09-29,34.2864
2017-08-31,36.0831
2017-07-31,38.3402
2017-06-30,39.8507
2017-05-31,41.2101
2017-04-28,42.5338
2017-03-31,43.3743
2017-02-28,44.6519
2017-01-31,46.1897
2016-12-30,47.8757
2016-11-30,48.9922
2016-10-31,50.3617
2016-09-30,51.6215
2016-08-31,52.9491
2016-07-29,53.9218
2016-06-30,54.7206
2016-05-31,55.5727
2016-04-29,56.1416
2016-03-31,56.3907
2016-02-29,56.0414
2016-01-29,56.0628
2015-12-31,55.8444
2015-11-30,55.4968
2015-10-30,54.5888
2015-09-30,53.7927
2015-08-31,53.0226
2015-07-31,52.0956
2015-06-30,51.0907
2015-05-29,49.5880
2015-04-30,47.6972
2015-03-31,45.6723
2015-02-27,43.2481
2015-01-30,40.7853
2014-12-31,39.0606
2014-11-28,37.1945
2014-10-31,35.3577
2014-09-30,34.6138
2014-08-29,34.3581
2014-07-31,34.1356
2014-06-30,34.1965
2014-05-30,34.0017
2014-04-30,33.7949
2014-03-31,33.4042
2014-02-28,32.8886
2014-01-31,32.4218
2013-12-31,31.9385
2013-11-29,30.9568
2013-10-31,29.9176
2013-09-30,28.9781
2013-08-30,28.2404
2013-07-31,27.4781
2013-06-28,26.8954
2013-05-31,26.6501
2013-04-30,26.2588
2013-03-28,25.5863
2013-02-28,25.3212
2013-01-31,25.2805
2012-12-31,25.0294
2012-11-30,24.7572
2012-10-31,24.1190
2012-09-28,23.6434
2012-08-31,23.0957
2012-07-31,22.5910
2012-06-29,22.0027
2012-05-31,21.6356
2012-04-30,21.1832
2012-03-30,20.4859
2012-02-29,19.8854
2012-01-31,19.4158
2011-12-30,18.8124
2011-11-30,18.2459
2011-10-31,17.5413
2011-09-30,16.8974
2011-08-31,16.4582
2011-07-29,15.8699
2011-06-30,15.1765
2011-05-31,14.3212
2011-04-29,13.5352
2011-03-31,12.5444
2011-02-28,12.0487
2011-01-31,11.6735
2010-12-31,11.3455
2010-11-30,10.8087
2010-10-29,10.1416
2010-09-30,9.6694
2010-08-31,9.2018
2010-07-30,8.9015
2010-06-30,8.4982
2010-05-28,8.1626
2010-04-30,7.6339
2010-03-31,6.9870
2010-02-26,6.4459
2010-01-29,6.0030
2009-12-31,5.5839
2009-11-30,5.1174
2009-10-30,4.7597
2009-09-30,4.4482
2009-08-31,4.1331
2009-07-31,3.9921
2009-06-30,4.1318
2009-05-29,4.4384
2009-04-30,4.5653
2009-03-31,4.7472
2009-02-27,5.1269
2009-01-30,5.5083
2008-12-31,5.8340
2008-11-28,6.0121
2008-10-31,6.3515
2008-09-30,6.5931
2008-08-29,6.6782
2008-07-31,6.6975
2008-06-30,6.9129
2008-05-30,7.1246
2008-04-30,7.2730
2008-03-31,7.5762
2008-02-29,7.8885
2008-01-31,8.3098
2007-12-31,8.5437
2007-11-30,8.8395
2007-10-31,9.0981
2007-09-28,9.3286
2007-08-31,9.6246
2007-07-31,9.8275
2007-06-29,9.8959
2007-05-31,9.8198
2007-04-30,9.7613
2007-03-30,9.6763
2007-02-28,9.6998
2007-01-31,9.6084
2006-12-29,9.4714
2006-11-30,9.2718
2006-10-31,8.9695
2006-09-29,8.7054
2006-08-31,8.5426
2006-07-31,8.3246
2006-06-30,8.1462
2006-05-31,8.0060
2006-04-28,7.8875
2006-03-31,7.7263
2006-02-28,7.5722
2006-01-31,7.4834
2005-12-30,7.4883
2005-11-30,7.5159
2005-10-31,7.5443
2005-09-30,7.6318
2005-08-31,7.7058
2005-07-29,7.7374
2005-06-30,7.6136
2005-05-31,7.5167
2005-04-29,7.4652
2005-03-31,7.3210
2005-02-28,7.1036
2005-01-31,6.9507
2004-12-31,6.7805
2004-11-30,6.6215
2004-10-29,6.4133
2004-09-30,6.1892
2004-08-31,6.0374
2004-07-30,5.9495
2004-06-30,5.7723
2004-05-28,5.7050
2004-04-30,5.6148
2004-03-31,5.4456
2004-02-27,5.2859
2004-01-30,5.1158
2003-12-31,4.9430
2003-11-28,4.7420
2003-10-31,4.5690
2003-09-30,4.4465
2003-08-29,4.4929
2003-07-31,4.4439
2003-06-30,4.3624
2003-05-30,4.3444
2003-04-30,4.4174
2003-03-31,4.6122
2003-02-28,4.8466
2003-01-31,5.0596
2002-12-31,5.2134
2002-11-29,5.3277
2002-10-31,5.3671
2002-09-30,5.3329
2002-08-30,5.3150
2002-07-31,5.1882
2002-06-28,4.9318
2002-05-31,4.7102
2002-04-30,4.5851
2002-03-28,4.5014
2002-02-28,4.4467
2002-01-31,4.4092
2001-12-31,4.3203
2001-11-30,4.4000
2001-10-31,4.5919
2001-09-28,4.7606
2001-08-31,5.0483
2001-07-31,5.3691
2001-06-29,5.5117
2001-05-31,5.6079
2001-04-30,5.7228
2001-03-30,5.8539
2001-02-28,6.0909
2001-01-31,6.2290
2000-12-29,6.2341
2000-11-30,6.2249
2000-10-31,6.0979
2000-09-29,5.9855
