,SMA_monthly_10
2022-04-04,103.3383
2022-03-31,105.1493
2022-02-28,107.3555
2022-01-31,109.0778
2021-12-31,110.3967
2021-11-30,110.0200
2021-10-29,110.0136
2021-09-30,107.6214
2021-08-31,107.6694
2021-07-30,106.9899
2021-06-30,106.6923
2021-05-28,106.0468
2021-04-30,104.2682
2021-03-31,101.3093
2021-02-26,97.5651
2021-01-29,95.1574
2020-12-31,90.0588
2020-11-30,87.5303
2020-10-30,85.0378
2020-09-30,82.5735
2020-08-31,79.4174
2020-07-31,75.5288
2020-06-30,72.4568
2020-05-29,70.0192
2020-04-30,69.7034
2020-03-31,68.8860
2020-02-28,69.2421
2020-01-31,68.9806
2019-12-31,67.5613
2019-11-29,65.6004
2019-10-31,63.4791
2019-09-30,61.6072
2019-08-30,61.0182
2019-07-31,61.4772
2019-06-28,61.5759
2019-05-31,62.2815
2019-04-30,63.2781
2019-03-29,63.1539
2019-02-28,62.7297
2019-01-31,63.2967
2018-12-31,64.1548
2018-11-30,65.7639
2018-10-31,66.4105
2018-09-28,66.1434
2018-08-31,64.2241
2018-07-31,62.0072
2018-06-29,60.2855
2018-05-31,58.3370
2018-04-30,57.3557
2018-03-29,55.5437
2018-02-28,54.4684
2018-01-31,52.5528
2017-12-29,50.3494
2017-11-30,48.0867
2017-10-31,46.6760
2017-09-29,45.4260
2017-08-31,44.3288
2017-07-31,42.9128
2017-06-30,41.0747
2017-05-31,39.3264
2017-04-28,37.0093
2017-03-31,35.0983
2017-02-28,33.5286
2017-01-31,32.4189
2016-12-30,31.3060
2016-11-30,30.2877
2016-10-31,28.6599
2016-09-30,27.8273
2016-08-31,27.1485
2016-07-29,26.7364
2016-06-30,26.9145
2016-05-31,27.3001
2016-04-29,27.2130
2016-03-31,27.1597
2016-02-29,27.2277
2016-01-29,27.3576
2015-12-31,28.1128
2015-11-30,28.6289
2015-10-30,28.8226
2015-09-30,29.0506
2015-08-31,29.1244
2015-07-31,28.8292
2015-06-30,28.8545
2015-05-29,28.7035
2015-04-30,28.2300
2015-03-31,27.8617
2015-02-27,26.9611
2015-01-30,25.9547
2014-12-31,25.2175
2014-11-28,24.1822
2014-10-31,22.8877
2014-09-30,23.2864
2014-08-29,23.7679
2014-07-31,24.5743
2014-06-30,25.1396
2014-05-30,25.4745
2014-04-30,25.6295
2014-03-31,25.7069
2014-02-28,25.7505
2014-01-31,25.6706
2013-12-31,25.5366
