,SMA_monthly_10
2022-04-04,42.8658
2022-03-31,43.7827
2022-02-28,44.9604
2022-01-31,45.6434
2021-12-31,45.8419
2021-11-30,45.7850
2021-10-29,45.5944
2021-09-30,44.9144
2021-08-31,44.4395
2021-07-30,43.6226
2021-06-30,42.5673
2021-05-28,41.7362
2021-04-30,40.2287
2021-03-31,38.8783
2021-02-26,37.4402
2021-01-29,35.7732
2020-12-31,34.0117
2020-11-30,33.2785
2020-10-30,32.7672
2020-09-30,33.5254
2020-08-31,33.7883
2020-07-31,33.8187
2020-06-30,33.7745
2020-05-29,33.4686
2020-04-30,33.9458
2020-03-31,35.1845
2020-02-28,36.2098
2020-01-31,37.1163
2019-12-31,37.4614
2019-11-29,37.1404
2019-10-31,36.9588
2019-09-30,36.2467
2019-08-30,36.4714
2019-07-31,37.0523
2019-06-28,37.4735
2019-05-31,37.5893
2019-04-30,38.5199
2019-03-29,38.6015
2019-02-28,39.5289
2019-01-31,40.2466
2018-12-31,41.0734
2018-11-30,42.3750
2018-10-31,43.8717
2018-09-28,44.9191
2018-08-31,46.0767
2018-07-31,46.8506
2018-06-29,47.2913
2018-05-31,47.5527
2018-04-30,47.3044
2018-03-29,46.6519
2018-02-28,45.8926
2018-01-31,45.2067
2017-12-29,43.8229
2017-11-30,42.9573
2017-10-31,41.5266
2017-09-29,40.2587
2017-08-31,38.7761
2017-07-31,37.7496
2017-06-30,36.6456
2017-05-31,35.8745
2017-04-28,34.9673
2017-03-31,33.7605
2017-02-28,33.0102
2017-01-31,32.3828
2016-12-30,32.1184
2016-11-30,31.4621
2016-10-31,30.8468
2016-09-30,31.4778
2016-08-31,32.1203
2016-07-29,32.8351
2016-06-30,33.5612
2016-05-31,34.8060
2016-04-29,36.1740
2016-03-31,38.0236
2016-02-29,39.9456
2016-01-29,42.2904
2015-12-31,45.0620
2015-11-30,46.6666
2015-10-30,47.6412
2015-09-30,48.7000
2015-08-31,50.0139
2015-07-31,51.1724
2015-06-30,51.4024
2015-05-29,51.8472
2015-04-30,51.9879
2015-03-31,52.4877
2015-02-27,52.6675
2015-01-30,52.6925
2014-12-31,53.3256
2014-11-28,53.8727
2014-10-31,53.5860
2014-09-30,53.4549
2014-08-29,53.5114
2014-07-31,52.5325
2014-06-30,51.4715
2014-05-30,49.9353
2014-04-30,48.5426
2014-03-31,46.8069
2014-02-28,44.9175
2014-01-31,42.9018
2013-12-31,41.5392
2013-11-29,39.8619
2013-10-31,38.3808
2013-09-30,36.9661
2013-08-30,35.4047
2013-07-31,34.0351
2013-06-28,32.8724
2013-05-31,32.1052
2013-04-30,31.4881
2013-03-28,30.9324
2013-02-28,30.6854
2013-01-31,30.8900
2012-12-31,31.3388
2012-11-30,31.8344
2012-10-31,32.2023
2012-09-28,32.1105
2012-08-31,31.9695
2012-07-31,32.3101
2012-06-29,32.0199
2012-05-31,32.2761
2012-04-30,32.6238
2012-03-30,32.7011
2012-02-29,32.1785
2012-01-31,31.9311
2011-12-30,32.1546
2011-11-30,32.7673
2011-10-31,32.8327
2011-09-30,32.6503
2011-08-31,32.6419
2011-07-29,31.9669
2011-06-30,30.7742
2011-05-31,29.1336
2011-04-29,27.8681
2011-03-31,26.1055
2011-02-28,24.2313
2011-01-31,22.7174
2010-12-31,21.4267
2010-11-30,19.8851
2010-10-29,18.7697
2010-09-30,17.7586
2010-08-31,16.7686
2010-07-30,16.1798
2010-06-30,15.5790
2010-05-28,15.2402
2010-04-30,15.0604
2010-03-31,14.6545
2010-02-26,14.3925
2010-01-29,14.0166
2009-12-31,13.3633
