,SMA_monthly_10
2022-04-04,519.2730
2022-03-31,509.7530
2022-02-28,495.5320
2022-01-31,492.7510
2021-12-31,485.6420
2021-11-30,471.7250
2021-10-29,452.9510
2021-09-30,427.6020
2021-08-31,404.8840
2021-07-30,383.9000
2021-06-30,373.5720
2021-05-28,373.4130
2021-04-30,380.0280
2021-03-31,381.9580
2021-02-26,383.8500
2021-01-29,377.5920
2020-12-31,367.0340
2020-11-30,357.6620
2020-10-30,349.7690
2020-09-30,339.6850
2020-08-31,321.1930
2020-07-31,294.0760
2020-06-30,265.4460
2020-05-29,242.0670
2020-04-30,219.9230
2020-03-31,201.3870
2020-02-28,186.5900
2020-01-31,171.0970
2019-12-31,158.9320
2019-11-29,150.9910
2019-10-31,142.3630
2019-09-30,138.9190
2019-08-30,136.9540
2019-07-31,133.0700
2019-06-28,131.6870
2019-05-31,131.1410
2019-04-30,128.5240
2019-03-29,125.9150
2019-02-28,122.8040
2019-01-31,116.1890
2018-12-31,109.5020
2018-11-30,103.1360
2018-10-31,95.9970
2018-09-28,88.4590
2018-08-31,79.9980
2018-07-31,70.0570
2018-06-29,65.4370
2018-05-31,63.4000
2018-04-30,61.2620
2018-03-29,61.2590
2018-02-28,60.5270
2018-01-31,62.7090
2017-12-29,65.3620
2017-11-30,67.4390
2017-10-31,69.5110
2017-09-29,70.9840
2017-08-31,72.6200
2017-07-31,72.9830
2017-06-30,75.0880
2017-05-31,76.8820
2017-04-28,79.4210
2017-03-31,79.5580
2017-02-28,77.5340
2017-01-31,76.1560
2016-12-30,75.0320
2016-11-30,75.5680
2016-10-31,76.1670
2016-09-30,76.5330
2016-08-31,76.2690
2016-07-29,75.4920
2016-06-30,74.8550
2016-05-31,76.3360
2016-04-29,78.3520
2016-03-31,79.9120
2016-02-29,80.2930
2016-01-29,80.5440
2015-12-31,79.6500
2015-11-30,77.5340
2015-10-30,75.0100
2015-09-30,72.1830
2015-08-31,68.7430
2015-07-31,63.8240
2015-06-30,59.3580
2015-05-29,55.7800
2015-04-30,52.3760
2015-03-31,49.5850
2015-02-27,46.7270
2015-01-30,43.8970
2014-12-31,42.0550
2014-11-28,41.0600
2014-10-31,39.9600
2014-09-30,39.0060
2014-08-29,38.3160
2014-07-31,36.7690
2014-06-30,35.8230
2014-05-30,34.5620
2014-04-30,33.3640
2014-03-31,32.3650
2014-02-28,30.3120
2014-01-31,27.4430
2013-12-31,25.0690
2013-11-29,23.0200
2013-10-31,21.2340
2013-09-30,19.7200
2013-08-30,18.2060
2013-07-31,16.8110
2013-06-28,16.1360
2013-05-31,15.2210
2013-04-30,14.2390
2013-03-28,13.8940
2013-02-28,13.2980
2013-01-31,12.7840
2012-12-31,12.3040
2012-11-30,12.0240
2012-10-31,11.8130
2012-09-28,11.4340
2012-08-31,10.7330
2012-07-31,10.3820
2012-06-29,10.4810
2012-05-31,10.3880
2012-04-30,10.7300
2012-03-30,11.2010
2012-02-29,11.7350
2012-01-31,12.3210
2011-12-30,12.7760
2011-11-30,13.3080
2011-10-31,13.9165
2011-09-30,14.3025
2011-08-31,14.2300
2011-07-29,14.4060
2011-06-30,14.3100
2011-05-31,14.0840
2011-04-29,13.6230
2011-03-31,13.1140
2011-02-28,12.6150
2011-01-31,12.2470
2010-12-31,11.8105
2010-11-30,11.3495
2010-10-29,11.1280
2010-09-30,10.5560
2010-08-31,9.9590
2010-07-30,9.4220
2010-06-30,9.0990
2010-05-28,8.7240
2010-04-30,8.3170
2010-03-31,7.8410
2010-02-26,7.4230
2010-01-29,6.9670
2009-12-31,6.4750
2009-11-30,6.0730
2009-10-30,5.6710
2009-09-30,5.2610
2009-08-31,4.6680
2009-07-31,4.3390
2009-06-30,4.3120
2009-05-29,4.3810
2009-04-30,4.4970
2009-03-31,4.6530
2009-02-27,5.0280
2009-01-30,5.3930
2008-12-31,5.4840
2008-11-28,5.9450
2008-10-31,6.5860
2008-09-30,7.0170
2008-08-29,7.2630
2008-07-31,7.5050
2008-06-30,7.8330
2008-05-30,8.1490
2008-04-30,8.1630
2008-03-31,8.2120
2008-02-29,8.4540
2008-01-31,8.5140
2007-12-31,8.4590
2007-11-30,8.3850
2007-10-31,8.4100
2007-09-28,8.4660
2007-08-31,8.5920
2007-07-31,8.5520
2007-06-29,8.8620
2007-05-31,9.3270
2007-04-30,9.8600
2007-03-30,10.4210
2007-02-28,11.5810
2007-01-31,13.2880
2006-12-29,14.4250
2006-11-30,15.1840
2006-10-31,15.9580
2006-09-29,16.5700
2006-08-31,16.8590
2006-07-31,16.8760
2006-06-30,16.8490
2006-05-31,16.7350
2006-04-28,15.8910
2006-03-31,14.6150
2006-02-28,13.9880
