,SMA_monthly_10
2022-04-04,255.9219
2022-03-31,256.3128
2022-02-28,255.9988
2022-01-31,256.9450
2021-12-31,251.0130
2021-11-30,237.8747
2021-10-29,227.6225
2021-09-30,219.0900
2021-08-31,210.3786
2021-07-30,196.7922
2021-06-30,186.3748
2021-05-28,179.1816
2021-04-30,171.8292
2021-03-31,166.0123
2021-02-26,163.1675
2021-01-29,160.7524
2020-12-31,154.9481
2020-11-30,149.7717
2020-10-30,147.9392
2020-09-30,148.1814
2020-08-31,146.3682
2020-07-31,143.1046
2020-06-30,140.8329
2020-05-29,138.2003
2020-04-30,136.6254
2020-03-31,136.1577
2020-02-28,136.2044
2020-01-31,134.5170
2019-12-31,131.3329
2019-11-29,128.1964
2019-10-31,124.8656
2019-09-30,120.5132
2019-08-30,116.6983
2019-07-31,112.1672
2019-06-28,111.2008
2019-05-31,110.9388
2019-04-30,111.2238
2019-03-29,111.0176
2019-02-28,110.4624
2019-01-31,110.5992
2018-12-31,111.5304
2018-11-30,113.3132
2018-10-31,115.3125
2018-09-28,116.7981
2018-08-31,115.1059
2018-07-31,112.5134
2018-06-29,110.5318
2018-05-31,112.0668
2018-04-30,114.9207
2018-03-29,117.2326
2018-02-28,118.9324
2018-01-31,120.9496
2017-12-29,121.9606
2017-11-30,123.0722
2017-10-31,123.2399
2017-09-29,124.0691
2017-08-31,124.7831
2017-07-31,122.8867
2017-06-30,121.7458
2017-05-31,121.1149
2017-04-28,120.5644
2017-03-31,119.8102
2017-02-28,118.6694
2017-01-31,117.5528
2016-12-30,117.1849
2016-11-30,115.8139
2016-10-31,114.8865
2016-09-30,113.6115
2016-08-31,111.3481
2016-07-29,108.8502
2016-06-30,105.4551
2016-05-31,102.5090
2016-04-29,100.1822
2016-03-31,97.9326
2016-02-29,96.5434
2016-01-29,95.7249
2015-12-31,94.4559
2015-11-30,92.6739
2015-10-30,90.0560
2015-09-30,87.5933
2015-08-31,85.8845
2015-07-31,83.7339
2015-06-30,81.1228
2015-05-29,79.3511
