,SMA_monthly_10
2022-04-04,190.3200
2022-03-31,187.0450
2022-02-28,181.1720
2022-01-31,178.4270
2021-12-31,180.5960
2021-11-30,179.9080
2021-10-29,173.1430
2021-09-30,167.5270
2021-08-31,166.1870
2021-07-30,158.6230
2021-06-30,147.9220
2021-05-28,137.2820
2021-04-30,129.0130
2021-03-31,119.8450
2021-02-26,109.4480
2021-01-29,96.5250
2020-12-31,81.5190
2020-11-30,68.8690
2020-10-30,58.3640
2020-09-30,51.1680
2020-08-31,45.0960
2020-07-31,39.3160
2020-06-30,35.5030
2020-05-29,33.7130
2020-04-30,30.7090
2020-03-31,27.8490
2020-02-28,26.1370
2020-01-31,22.2440
2019-12-31,20.0150
2019-11-29,18.3090
2019-10-31,16.8450
2019-09-30,15.3750
2019-08-30,13.6920
2019-07-31,11.1790
2019-06-28,8.8490
2019-05-31,7.5150
2019-04-30,6.5930
2019-03-29,6.2620
2019-02-28,5.9120
2019-01-31,5.4200
2018-12-31,5.1540
2018-11-30,5.0130
2018-10-31,4.6930
2018-09-28,4.4800
2018-08-31,4.2850
2018-07-31,3.9490
2018-06-29,3.5060
2018-05-31,2.9250
2018-04-30,2.4460
2018-03-29,2.1180
2018-02-28,1.7370
2018-01-31,1.5240
2017-12-29,1.4410
2017-11-30,1.3790
2017-10-31,1.2380
2017-09-29,1.1860
2017-08-31,1.1460
2017-07-31,1.1540
2017-06-30,1.1780
2017-05-31,1.2730
2017-04-28,1.3770
2017-03-31,1.4570
2017-02-28,1.5290
2017-01-31,1.6010
2016-12-30,1.6850
2016-11-30,1.8170
2016-10-31,1.9480
2016-09-30,2.1990
2016-08-31,2.2480
2016-07-29,2.4260
2016-06-30,2.6160
2016-05-31,2.8770
2016-04-29,3.2590
2016-03-31,3.7690
2016-02-29,4.4830
2016-01-29,5.5070
2015-12-31,6.5830
2015-11-30,7.6100
2015-10-30,8.6820
2015-09-30,9.7510
2015-08-31,10.4320
2015-07-31,11.4740
2015-06-30,12.3820
2015-05-29,13.0290
2015-04-30,13.1120
2015-03-31,12.7100
2015-02-27,12.2360
2015-01-30,11.6130
2014-12-31,11.1100
2014-11-28,10.4880
2014-10-31,10.1770
2014-09-30,9.3090
2014-08-29,8.5350
2014-07-31,7.8820
2014-06-30,7.6640
2014-05-30,7.4380
2014-04-30,7.2280
2014-03-31,7.2460
2014-02-28,7.2820
2014-01-31,7.1790
2013-12-31,7.0590
2013-11-29,6.9180
2013-10-31,6.5700
2013-09-30,6.1800
2013-08-30,5.6470
2013-07-31,5.3850
2013-06-28,5.1640
2013-05-31,4.8870
2013-04-30,4.6960
2013-03-28,4.6140
2013-02-28,4.6840
2013-01-31,4.9190
