,SMA_monthly_10
2022-04-04,85.7571
2022-03-31,84.1921
2022-02-28,82.7265
2022-01-31,81.4695
2021-12-31,79.6191
2021-11-30,76.9363
2021-10-29,74.4616
2021-09-30,71.6519
2021-08-31,69.1955
2021-07-30,65.4455
2021-06-30,62.1046
2021-05-28,59.8869
2021-04-30,57.4170
2021-03-31,55.7493
2021-02-26,54.4411
2021-01-29,54.2097
2020-12-31,54.0290
2020-11-30,55.2500
2020-10-30,57.3950
2020-09-30,60.3844
2020-08-31,63.2899
2020-07-31,66.0969
2020-06-30,68.9497
2020-05-29,71.1249
2020-04-30,72.6584
2020-03-31,73.5014
2020-02-28,74.6643
2020-01-31,74.6393
2019-12-31,73.7781
2019-11-29,72.9186
2019-10-31,71.6264
2019-09-30,69.4200
2019-08-30,67.8521
2019-07-31,65.9126
2019-06-28,64.6236
2019-05-31,63.6899
2019-04-30,62.5442
2019-03-29,61.2585
2019-02-28,60.0507
2019-01-31,58.8411
2018-12-31,57.7251
2018-11-30,56.6797
2018-10-31,55.6828
2018-09-28,55.4330
2018-08-31,55.2867
2018-07-31,55.0933
2018-06-29,54.9903
2018-05-31,55.1021
2018-04-30,55.3131
2018-03-29,55.5332
2018-02-28,55.6565
2018-01-31,56.2536
2017-12-29,56.1840
2017-11-30,55.9567
2017-10-31,55.3168
2017-09-29,54.9410
2017-08-31,54.2738
2017-07-31,53.6906
2017-06-30,53.2449
2017-05-31,52.7554
2017-04-28,52.6173
2017-03-31,52.5930
2017-02-28,52.7533
2017-01-31,52.7944
2016-12-30,53.5756
2016-11-30,53.3655
2016-10-31,53.7430
2016-09-30,54.2896
2016-08-31,54.4595
2016-07-29,54.6903
2016-06-30,54.5215
2016-05-31,53.9766
2016-04-29,53.6921
2016-03-31,53.1777
2016-02-29,52.3631
2016-01-29,52.2062
2015-12-31,52.1411
2015-11-30,51.6687
2015-10-30,51.3972
2015-09-30,50.9076
2015-08-31,50.4704
2015-07-31,50.2528
2015-06-30,49.2522
2015-05-29,48.8645
2015-04-30,48.1087
2015-03-31,47.2741
2015-02-27,46.0528
2015-01-30,44.7680
2014-12-31,43.3477
2014-11-28,42.3171
2014-10-31,41.1836
2014-09-30,39.9057
2014-08-29,39.1016
2014-07-31,38.0574
2014-06-30,37.2134
2014-05-30,36.3468
2014-04-30,35.8585
2014-03-31,35.6595
2014-02-28,35.4320
2014-01-31,35.3028
2013-12-31,35.1848
2013-11-29,35.2708
2013-10-31,35.4430
2013-09-30,35.6432
2013-08-30,35.6430
2013-07-31,35.8947
2013-06-28,35.8889
2013-05-31,35.9087
2013-04-30,36.2344
2013-03-28,36.4043
2013-02-28,36.6667
2013-01-31,36.9769
2012-12-31,37.3380
2012-11-30,37.2432
2012-10-31,37.4342
2012-09-28,37.3509
2012-08-31,37.1122
2012-07-31,36.9280
2012-06-29,36.1473
2012-05-31,35.9718
2012-04-30,35.9346
2012-03-30,35.7660
2012-02-29,35.6139
2012-01-31,35.7103
2011-12-30,35.4421
2011-11-30,35.2303
2011-10-31,35.1113
2011-09-30,34.6452
2011-08-31,34.4490
2011-07-29,33.6266
2011-06-30,32.7025
