,SMA_monthly_10
2022-04-04,41.9827
2022-03-31,41.5611
2022-02-28,41.3565
2022-01-31,40.5485
2021-12-31,39.7587
2021-11-30,38.7839
2021-10-29,37.4204
2021-09-30,35.7894
2021-08-31,34.0266
2021-07-30,32.4404
2021-06-30,30.8985
2021-05-28,29.1042
2021-04-30,26.8803
2021-03-31,24.7573
2021-02-26,22.9193
2021-01-29,21.3083
2020-12-31,19.8962
2020-11-30,19.4666
2020-10-30,19.6471
2020-09-30,20.2400
2020-08-31,20.9686
2020-07-31,21.6588
2020-06-30,22.2700
2020-05-29,22.8308
2020-04-30,23.6989
2020-03-31,24.4710
2020-02-28,25.4538
2020-01-31,25.7925
2019-12-31,25.4392
2019-11-29,25.0658
2019-10-31,24.6970
2019-09-30,24.1380
2019-08-30,24.0996
2019-07-31,24.0840
2019-06-28,23.8583
2019-05-31,23.9096
2019-04-30,24.1217
2019-03-29,24.0492
2019-02-28,24.4452
2019-01-31,24.8759
2018-12-31,25.2509
2018-11-30,26.0151
2018-10-31,26.4174
2018-09-28,26.6643
2018-08-31,26.8307
2018-07-31,26.7434
2018-06-29,26.5632
2018-05-31,26.2892
2018-04-30,25.9166
2018-03-29,25.2567
2018-02-28,24.5196
2018-01-31,23.7429
2017-12-29,23.0440
2017-11-30,22.7427
2017-10-31,22.3276
2017-09-29,22.1236
2017-08-31,21.9073
2017-07-31,21.5053
2017-06-30,20.9458
2017-05-31,20.4136
2017-04-28,19.9832
2017-03-31,19.3786
2017-02-28,18.7863
2017-01-31,17.9878
2016-12-30,17.1683
2016-11-30,16.1476
2016-10-31,15.2624
2016-09-30,15.0869
2016-08-31,15.0563
2016-07-29,14.9296
2016-06-30,14.8897
2016-05-31,15.0366
2016-04-29,15.1821
2016-03-31,15.3537
2016-02-29,15.6023
2016-01-29,15.9595
2015-12-31,16.1800
2015-11-30,16.0782
2015-10-30,15.7758
2015-09-30,15.8510
2015-08-31,15.9072
2015-07-31,15.8821
2015-06-30,15.7662
2015-05-29,15.6909
2015-04-30,15.6783
2015-03-31,15.7537
2015-02-27,15.8596
2015-01-30,15.9288
2014-12-31,16.3464
2014-11-28,16.4107
2014-10-31,16.4527
2014-09-30,16.5058
2014-08-29,16.4922
2014-07-31,16.3586
2014-06-30,16.1428
2014-05-30,15.8676
2014-04-30,15.7276
2014-03-31,15.5022
2014-02-28,15.0951
2014-01-31,14.7063
2013-12-31,14.3151
2013-11-29,13.8791
2013-10-31,13.5416
2013-09-30,13.2210
2013-08-30,12.9268
2013-07-31,12.6147
2013-06-28,12.3034
2013-05-31,12.0489
2013-04-30,11.6930
2013-03-28,11.3952
2013-02-28,11.1426
2013-01-31,10.9993
2012-12-31,10.8083
2012-11-30,10.6620
2012-10-31,10.5208
2012-09-28,10.3671
2012-08-31,10.0870
2012-07-31,9.8360
2012-06-29,9.5434
2012-05-31,9.3144
2012-04-30,9.2436
2012-03-30,9.1149
2012-02-29,9.0178
2012-01-31,8.9741
2011-12-30,9.0201
2011-11-30,9.1345
2011-10-31,9.3209
2011-09-30,9.4994
2011-08-31,9.6203
2011-07-29,9.7532
2011-06-30,9.6994
2011-05-31,9.5660
2011-04-29,9.5351
2011-03-31,9.4586
2011-02-28,9.3880
2011-01-31,9.4084
2010-12-31,9.3113
2010-11-30,9.1298
2010-10-29,9.1632
2010-09-30,8.9582
2010-08-31,8.8146
2010-07-30,8.6611
2010-06-30,8.4727
2010-05-28,8.3723
2010-04-30,8.1175
2010-03-31,7.5513
2010-02-26,7.0679
2010-01-29,6.4813
2009-12-31,5.7931
2009-11-30,5.2403
2009-10-30,4.6844
2009-09-30,4.6314
2009-08-31,4.5848
2009-07-31,4.5728
2009-06-30,4.7398
2009-05-29,5.3470
2009-04-30,5.8411
2009-03-31,6.2678
2009-02-27,7.3646
2009-01-30,8.7111
2008-12-31,10.0019
2008-11-28,10.9781
2008-10-31,12.1496
2008-09-30,13.0939
2008-08-29,14.2553
2008-07-31,15.2415
2008-06-30,16.5311
2008-05-30,18.1821
2008-04-30,19.3278
2008-03-31,20.4741
2008-02-29,21.7994
2008-01-31,22.9023
2007-12-31,23.5925
2007-11-30,24.4938
2007-10-31,25.0782
2007-09-28,25.6375
2007-08-31,25.8995
2007-07-31,26.0960
2007-06-29,26.0986
2007-05-31,25.9649
2007-04-30,25.6113
2007-03-30,25.2982
2007-02-28,25.1506
2007-01-31,25.0797
2006-12-29,24.9665
2006-11-30,24.7182
2006-10-31,24.5246
2006-09-29,24.3133
2006-08-31,24.3505
2006-07-31,24.3233
2006-06-30,24.1641
2006-05-31,24.3430
2006-04-28,24.5849
2006-03-31,24.5558
2006-02-28,24.6638
2006-01-31,24.8903
2005-12-30,25.1527
2005-11-30,25.4922
2005-10-31,25.7997
2005-09-30,26.1665
2005-08-31,26.9039
2005-07-29,27.3091
2005-06-30,27.6125
2005-05-31,28.0502
2005-04-29,28.3909
2005-03-31,28.9439
2005-02-28,29.5397
2005-01-31,30.0154
2004-12-31,30.4861
2004-11-30,30.9261
2004-10-29,31.3052
2004-09-30,31.8341
2004-08-31,32.2875
2004-07-30,32.7272
2004-06-30,33.0400
2004-05-28,33.2515
2004-04-30,33.2431
2004-03-31,33.4084
2004-02-27,33.4587
2004-01-30,33.0163
2003-12-31,32.5313
2003-11-28,32.1181
2003-10-31,31.7924
2003-09-30,31.7638
2003-08-29,31.7278
2003-07-31,31.9604
2003-06-30,32.2715
2003-05-30,32.7586
2003-04-30,33.2091
2003-03-31,34.1659
2003-02-28,34.9666
2003-01-31,35.8102
2002-12-31,36.5769
2002-11-29,36.8202
2002-10-31,37.1958
2002-09-30,37.0326
2002-08-30,36.9166
2002-07-31,36.2773
2002-06-28,35.9780
2002-05-31,35.4548
2002-04-30,35.2950
2002-03-28,34.7735
2002-02-28,34.2380
2002-01-31,33.6397
2001-12-31,33.0524
2001-11-30,32.5833
2001-10-31,32.5011
2001-09-28,32.6541
2001-08-31,32.1704
2001-07-31,31.7522
2001-06-29,31.2075
2001-05-31,30.3929
2001-04-30,29.3843
2001-03-30,28.7101
2001-02-28,28.2190
2001-01-31,27.5391
2000-12-29,26.5504
2000-11-30,25.1231
2000-10-31,24.5726
2000-09-29,24.4046
