,SMA_monthly_10
2022-04-04,21.6300
2022-03-31,20.4700
2022-02-28,19.4510
2022-01-31,19.5830
2021-12-31,19.7880
2021-11-30,19.0270
2021-10-29,18.5450
2021-09-30,18.1980
2021-08-31,18.3280
2021-07-30,17.7970
2021-06-30,17.0120
2021-05-28,16.1940
2021-04-30,15.3630
2021-03-31,14.2730
2021-02-26,13.1250
2021-01-29,12.5790
2020-12-31,11.5410
2020-11-30,10.8760
2020-10-30,10.9190
2020-09-30,11.6520
2020-08-31,12.4862
2020-07-31,13.1185
2020-06-30,13.9809
2020-05-29,14.4904
2020-04-30,16.4891
2020-03-31,18.5936
2020-02-28,20.5968
2020-01-31,23.4973
2019-12-31,25.2771
2019-11-29,27.0159
2019-10-31,28.8087
2019-09-30,30.3131
2019-08-30,32.3380
2019-07-31,34.8066
2019-06-28,37.1919
2019-05-31,39.3967
2019-04-30,41.5760
2019-03-29,42.3821
2019-02-28,43.4671
2019-01-31,45.4420
2018-12-31,47.3519
2018-11-30,49.6506
2018-10-31,51.4705
2018-09-28,52.1569
2018-08-31,51.1593
2018-07-31,49.7278
2018-06-29,48.8091
2018-05-31,47.7936
2018-04-30,47.2164
2018-03-29,45.9119
2018-02-28,44.6853
2018-01-31,44.0701
2017-12-29,43.2372
2017-11-30,43.5156
2017-10-31,44.1097
2017-09-29,44.9275
2017-08-31,45.9300
2017-07-31,47.1045
2017-06-30,47.7827
2017-05-31,48.2948
2017-04-28,49.0226
2017-03-31,48.7794
2017-02-28,48.7370
2017-01-31,48.5899
2016-12-30,48.3641
2016-11-30,47.7132
2016-10-31,46.8467
2016-09-30,46.3521
2016-08-31,46.0452
2016-07-29,45.5939
2016-06-30,44.5177
2016-05-31,44.1279
2016-04-29,43.4994
2016-03-31,43.2835
2016-02-29,43.4454
2016-01-29,44.6424
2015-12-31,45.6951
2015-11-30,46.6111
2015-10-30,46.9872
2015-09-30,48.0851
2015-08-31,49.8005
2015-07-31,51.5890
2015-06-30,53.3347
2015-05-29,55.1493
2015-04-30,56.5645
2015-03-31,58.0049
2015-02-27,59.5513
2015-01-30,61.0586
2014-12-31,63.1604
2014-11-28,64.6275
2014-10-31,65.8007
2014-09-30,66.9877
2014-08-29,67.9148
2014-07-31,67.8758
2014-06-30,67.6581
2014-05-30,66.4155
2014-04-30,65.2442
2014-03-31,63.7498
2014-02-28,62.4191
2014-01-31,60.5299
2013-12-31,59.6352
2013-11-29,57.9671
2013-10-31,56.7618
2013-09-30,55.3536
2013-08-30,53.7369
2013-07-31,53.0147
2013-06-28,52.4208
2013-05-31,51.6953
2013-04-30,50.4443
2013-03-28,49.7346
2013-02-28,47.9874
2013-01-31,47.5612
2012-12-31,47.0910
2012-11-30,47.1799
2012-10-31,47.3979
2012-09-28,46.8680
2012-08-31,46.6968
2012-07-31,47.1086
2012-06-29,46.8109
2012-05-31,47.7600
2012-04-30,49.1555
2012-03-30,49.7174
