,SMA_monthly_10
2022-04-04,97.8520
2022-03-31,99.3900
2022-02-28,101.4504
2022-01-31,102.3691
2021-12-31,103.3988
2021-11-30,103.9517
2021-10-29,102.9791
2021-09-30,101.1160
2021-08-31,98.9351
2021-07-30,94.3277
2021-06-30,88.9536
2021-05-28,83.2519
2021-04-30,76.8654
2021-03-31,71.8323
2021-02-26,66.5766
2021-01-29,61.9812
2020-12-31,59.7723
2020-11-30,59.7913
2020-10-30,61.5563
2020-09-30,64.4958
2020-08-31,68.4615
2020-07-31,71.3264
2020-06-30,73.5823
2020-05-29,74.6808
2020-04-30,77.7343
2020-03-31,80.6449
2020-02-28,81.8053
2020-01-31,81.2189
2019-12-31,79.2459
2019-11-29,78.6029
2019-10-31,77.3950
2019-09-30,75.2415
2019-08-30,73.8509
2019-07-31,74.9860
2019-06-28,75.2835
2019-05-31,76.7009
2019-04-30,79.4825
2019-03-29,81.6721
2019-02-28,84.2626
2019-01-31,86.5380
2018-12-31,88.8599
2018-11-30,93.6182
2018-10-31,99.8723
2018-09-28,105.0996
2018-08-31,109.9522
2018-07-31,115.0171
2018-06-29,122.5123
2018-05-31,130.1151
2018-04-30,138.2292
2018-03-29,147.3675
2018-02-28,157.0504
2018-01-31,167.4238
2017-12-29,176.9454
2017-11-30,185.5288
2017-10-31,193.3352
2017-09-29,201.1277
2017-08-31,205.2064
2017-07-31,208.0152
2017-06-30,210.4229
2017-05-31,212.7929
2017-04-28,214.9873
2017-03-31,216.2613
2017-02-28,215.9136
2017-01-31,215.9220
2016-12-30,216.9057
2016-11-30,214.6806
2016-10-31,213.0336
2016-09-30,213.9849
2016-08-31,213.5736
2016-07-29,211.4816
2016-06-30,206.9147
2016-05-31,201.6799
2016-04-29,198.3559
2016-03-31,194.9891
2016-02-29,191.2181
2016-01-29,189.1699
2015-12-31,185.7736
2015-11-30,181.7542
2015-10-30,177.1616
2015-09-30,174.1952
2015-08-31,174.4304
2015-07-31,174.6430
2015-06-30,173.8568
2015-05-29,172.8456
2015-04-30,170.9657
2015-03-31,169.9581
2015-02-27,170.6780
2015-01-30,170.6655
2014-12-31,171.5669
2014-11-28,171.2696
2014-10-31,169.9514
2014-09-30,170.9618
2014-08-29,171.0737
2014-07-31,170.7562
2014-06-30,169.5404
2014-05-30,166.9845
2014-04-30,165.0196
2014-03-31,162.2375
2014-02-28,160.0708
2014-01-31,157.5273
2013-12-31,155.8729
2013-11-29,152.4045
2013-10-31,149.2526
2013-09-30,145.6259
2013-08-30,143.4133
2013-07-31,141.7532
2013-06-28,140.3346
2013-05-31,138.3285
2013-04-30,136.3847
2013-03-28,135.1473
2013-02-28,132.2047
2013-01-31,129.4985
2012-12-31,127.7999
2012-11-30,126.2866
2012-10-31,124.4963
2012-09-28,122.2647
2012-08-31,117.7062
2012-07-31,114.9673
2012-06-29,111.3092
2012-05-31,108.1596
2012-04-30,107.1421
2012-03-30,106.3901
2012-02-29,105.7082
2012-01-31,106.1277
2011-12-30,106.6188
2011-11-30,108.1080
2011-10-31,110.3586
2011-09-30,111.0449
2011-08-31,111.1128
2011-07-29,110.7274
2011-06-30,109.5241
2011-05-31,106.6649
2011-04-29,104.3826
2011-03-31,100.6412
2011-02-28,98.1908
2011-01-31,96.6668
2010-12-31,95.3048
2010-11-30,93.7992
2010-10-29,93.7604
2010-09-30,93.0697
2010-08-31,92.6936
2010-07-30,92.4117
2010-06-30,92.4066
2010-05-28,91.9085
2010-04-30,90.0739
2010-03-31,85.8539
2010-02-26,82.9404
2010-01-29,80.7910
2009-12-31,77.2696
2009-11-30,73.3965
2009-10-30,70.8935
2009-09-30,71.5915
2009-08-31,71.4160
2009-07-31,73.9581
2009-06-30,79.9645
2009-05-29,88.1137
2009-04-30,95.4348
2009-03-31,102.3796
2009-02-27,112.6802
2009-01-30,124.9019
2008-12-31,137.5420
2008-11-28,145.9691
2008-10-31,155.0315
2008-09-30,163.7298
2008-08-29,169.7070
2008-07-31,175.9507
2008-06-30,182.2171
2008-05-30,187.8992
2008-04-30,191.5878
2008-03-31,194.0055
2008-02-29,193.6952
2008-01-31,195.0315
2007-12-31,194.6285
2007-11-30,193.1197
2007-10-31,191.5802
2007-09-28,189.1560
2007-08-31,185.5167
2007-07-31,183.2173
2007-06-29,181.0676
2007-05-31,178.4253
2007-04-30,175.6004
2007-03-30,173.2703
2007-02-28,172.2080
2007-01-31,171.5332
2006-12-29,170.5200
2006-11-30,167.9958
2006-10-31,166.3864
2006-09-29,165.9753
2006-08-31,165.6733
2006-07-31,165.2365
2006-06-30,165.3579
2006-05-31,165.2115
2006-04-28,164.9770
2006-03-31,164.6531
2006-02-28,165.0010
2006-01-31,166.1481
2005-12-30,167.4065
2005-11-30,167.1425
2005-10-31,167.0112
2005-09-30,167.9252
2005-08-31,168.3176
2005-07-29,168.2632
2005-06-30,167.5302
2005-05-31,166.2635
2005-04-29,164.4467
2005-03-31,162.3664
2005-02-28,159.6691
2005-01-31,156.8377
2004-12-31,153.9345
2004-11-30,151.7838
2004-10-29,150.6898
2004-09-30,148.9566
2004-08-31,146.3273
2004-07-30,144.3158
2004-06-30,142.4559
2004-05-28,140.7985
2004-04-30,139.3106
2004-03-31,138.4742
2004-02-27,137.2982
2004-01-30,135.5341
2003-12-31,131.5650
2003-11-28,128.1615
2003-10-31,125.4118
2003-09-30,123.0489
2003-08-29,121.4688
2003-07-31,119.2508
2003-06-30,117.2798
2003-05-30,117.5578
2003-04-30,118.8173
2003-03-31,118.3456
2003-02-28,120.4994
2003-01-31,123.4886
2002-12-31,129.5432
2002-11-29,135.5385
2002-10-31,139.7164
2002-09-30,146.0072
2002-08-30,151.8006
2002-07-31,154.3260
2002-06-28,156.2893
2002-05-31,161.1755
2002-04-30,166.3483
2002-03-28,173.6546
2002-02-28,178.3912
2002-01-31,182.4416
2001-12-31,184.2794
2001-11-30,186.7693
2001-10-31,189.7999
2001-09-28,194.5839
2001-08-31,199.6507
2001-07-31,205.4389
2001-06-29,211.3874
2001-05-31,215.3146
2001-04-30,216.2717
2001-03-30,217.9305
2001-02-28,222.3124
2001-01-31,224.6702
2000-12-29,227.0212
2000-11-30,225.1649
