,SMA_monthly_10
2022-04-04,65.4996
2022-03-31,66.0982
2022-02-28,66.4867
2022-01-31,66.6022
2021-12-31,66.0110
2021-11-30,64.6552
2021-10-29,64.1285
2021-09-30,63.3026
2021-08-31,62.1544
2021-07-30,60.5548
2021-06-30,59.8618
2021-05-28,59.3835
2021-04-30,59.4952
2021-03-31,60.5466
2021-02-26,61.5027
2021-01-29,63.4019
2020-12-31,64.0548
2020-11-30,64.8443
2020-10-30,64.9100
2020-09-30,65.3736
2020-08-31,65.5142
2020-07-31,65.0669
2020-06-30,64.3321
2020-05-29,62.8711
2020-04-30,61.5710
2020-03-31,59.8863
2020-02-28,58.5245
2020-01-31,57.9679
2019-12-31,57.9688
2019-11-29,57.7533
2019-10-31,57.8258
2019-09-30,57.5630
2019-08-30,58.0993
2019-07-31,58.3486
2019-06-28,59.2052
2019-05-31,59.7011
2019-04-30,60.9036
2019-03-29,61.2571
2019-02-28,61.2707
2019-01-31,61.7517
2018-12-31,62.0658
2018-11-30,63.2708
2018-10-31,64.1367
2018-09-28,64.2970
2018-08-31,63.8956
2018-07-31,63.6881
2018-06-29,63.8105
2018-05-31,64.7175
2018-04-30,65.3290
2018-03-29,65.0828
2018-02-28,64.0299
2018-01-31,63.0436
2017-12-29,61.5747
2017-11-30,61.3059
2017-10-31,60.9772
2017-09-29,60.5640
2017-08-31,59.7744
2017-07-31,58.7967
2017-06-30,58.9071
2017-05-31,59.3630
2017-04-28,60.4441
2017-03-31,61.5428
2017-02-28,62.9507
2017-01-31,64.2837
2016-12-30,65.7498
2016-11-30,66.8783
2016-10-31,67.5299
2016-09-30,69.6535
2016-08-31,71.6754
2016-07-29,73.9708
2016-06-30,75.3594
2016-05-31,76.9656
2016-04-29,79.3375
2016-03-31,81.5540
2016-02-29,83.0576
2016-01-29,84.0311
2015-12-31,85.1577
2015-11-30,85.2481
2015-10-30,85.0939
2015-09-30,83.9235
2015-08-31,84.0537
2015-07-31,84.5752
2015-06-30,83.6320
2015-05-29,82.8395
2015-04-30,81.1888
2015-03-31,79.7867
2015-02-27,78.4388
2015-01-30,76.4440
2014-12-31,73.7378
2014-11-28,72.8241
2014-10-31,71.2571
2014-09-30,68.3175
2014-08-29,65.7969
2014-07-31,62.8984
2014-06-30,60.6136
2014-05-30,58.8100
2014-04-30,57.2319
2014-03-31,55.0634
2014-02-28,53.7585
2014-01-31,51.1973
2013-12-31,48.6712
2013-11-29,46.0916
2013-10-31,43.2747
2013-09-30,40.5303
2013-08-30,38.5092
2013-07-31,36.3836
2013-06-28,34.1343
2013-05-31,32.3478
2013-04-30,30.1718
2013-03-28,28.1802
2013-02-28,26.2710
2013-01-31,24.9398
2012-12-31,23.7433
2012-11-30,22.6314
2012-10-31,21.5902
