,SMA_monthly_10
2016-03-04,72.3701
2016-02-29,71.7204
2016-01-29,74.0195
2015-12-31,76.1293
2015-11-30,79.7319
2015-10-30,86.5845
2015-09-30,94.5432
2015-08-31,103.3213
2015-07-31,112.6289
2015-06-30,117.9583
2015-05-29,123.4431
2015-04-30,126.6291
2015-03-31,127.3380
2015-02-27,127.3468
2015-01-30,123.9518
2014-12-31,122.1940
2014-11-28,119.9038
2014-10-31,113.8439
2014-09-30,106.2825
2014-08-29,100.0768
2014-07-31,93.1130
2014-06-30,88.7460
2014-05-30,84.9498
2014-04-30,81.4247
2014-03-31,79.5769
2014-02-28,76.3831
2014-01-31,71.2481
2013-12-31,68.8624
2013-11-29,66.1559
2013-10-31,64.0279
2013-09-30,61.9370
2013-08-30,58.1719
2013-07-31,52.1210
2013-06-28,46.9146
2013-05-31,41.9566
2013-04-30,36.6129
2013-03-28,33.1438
2013-02-28,29.9144
2013-01-31,30.0098
2012-12-31,30.1374
2012-11-30,32.4387
2012-10-31,34.0622
2012-09-28,36.0753
2012-08-31,38.8694
2012-07-31,42.8341
2012-06-29,50.1072
2012-05-31,58.1867
2012-04-30,66.0120
2012-03-30,69.9592
2012-02-29,73.4195
2012-01-31,73.6133
2011-12-30,74.7109
2011-11-30,74.3145
2011-10-31,72.4787
2011-09-30,69.3466
2011-08-31,63.9064
2011-07-29,56.9187
2011-06-30,49.8326
2011-05-31,44.1411
2011-04-29,39.1177
2011-03-31,35.0994
2011-02-28,31.1103
2011-01-31,29.5008
2010-12-31,29.3751
2010-11-30,28.9145
2010-10-29,28.0568
2010-09-30,27.4887
2010-08-31,26.4956
2010-07-30,25.6545
2010-06-30,25.0529
2010-05-28,24.5040
2010-04-30,24.4874
2010-03-31,24.0446
2010-02-26,22.7014
2010-01-29,21.5268
2009-12-31,19.8120
2009-11-30,17.9756
2009-10-30,16.7591
2009-09-30,15.4362
2009-08-31,13.8247
2009-07-31,12.4982
2009-06-30,11.0629
2009-05-29,9.9334
2009-04-30,8.9185
2009-03-31,8.1667
2009-02-27,8.0619
2009-01-30,7.9505
2008-12-31,7.8074
2008-11-28,7.6302
2008-10-31,7.6782
2008-09-30,7.9317
2008-08-29,7.7862
2008-07-31,7.8038
2008-06-30,7.7354
2008-05-30,7.6596
2008-04-30,7.3672
2008-03-31,7.2384
2008-02-29,7.0414
2008-01-31,6.8221
2007-12-31,6.4433
2007-11-30,5.9670
2007-10-31,5.6875
2007-09-28,5.2354
2007-08-31,4.8720
2007-07-31,4.4201
2007-06-29,4.0439
2007-05-31,3.7541
2007-04-30,3.5531
2007-03-30,3.4020
2007-02-28,3.2320
2007-01-31,3.1145
2006-12-29,2.9746
2006-11-30,2.9153
2006-10-31,2.8366
2006-09-29,2.8441
2006-08-31,2.8745
2006-07-31,2.8993
2006-06-30,2.8632
2006-05-31,2.8536
2006-04-28,2.8225
2006-03-31,2.7802
2006-02-28,2.7337
2006-01-31,2.6243
2005-12-30,2.5210
2005-11-30,2.4158
2005-10-31,2.2968
2005-09-30,2.1748
2005-08-31,2.0971
2005-07-29,1.9979
2005-06-30,1.8958
2005-05-31,1.7971
2005-04-29,1.6903
2005-03-31,1.6378
2005-02-28,1.6098
2005-01-31,1.5761
2004-12-31,1.5445
2004-11-30,1.5083
2004-10-29,1.4827
2004-09-30,1.4671
2004-08-31,1.4831
2004-07-30,1.4937
2004-06-30,1.5033
2004-05-28,1.5118
2004-04-30,1.5082
2004-03-31,1.4913
2004-02-27,1.4695
2004-01-30,1.4491
2003-12-31,1.4341
2003-11-28,1.3697
2003-10-31,1.3103
2003-09-30,1.2626
2003-08-29,1.2306
2003-07-31,1.1873
2003-06-30,1.1387
2003-05-30,1.1099
2003-04-30,1.1367
2003-03-31,1.1653
2003-02-28,1.2050
2003-01-31,1.2815
2002-12-31,1.3230
2002-11-29,1.3459
2002-10-31,1.4033
2002-09-30,1.5018
2002-08-30,1.5918
2002-07-31,1.6456
2002-06-28,1.6615
2002-05-31,1.7211
2002-04-30,1.8259
2002-03-28,1.8640
2002-02-28,1.9378
2002-01-31,1.9899
2001-12-31,1.9453
2001-11-30,1.9037
