,SMA_monthly_10
2022-04-04,2800.5900
2022-03-31,2758.8260
2022-02-28,2716.3760
2022-01-31,2681.6120
2021-12-31,2617.2570
2021-11-30,2529.7440
2021-10-29,2428.6850
2021-09-30,2307.8570
2021-08-31,2215.9450
2021-07-30,2088.1610
2021-06-30,1965.2680
2021-05-28,1884.0420
2021-04-30,1797.1520
2021-03-31,1703.6070
2021-02-26,1640.7070
2021-01-29,1573.1860
2020-12-31,1506.6450
2020-11-30,1465.3060
2020-10-30,1433.1440
2020-09-30,1405.4720
2020-08-31,1389.3210
2020-07-31,1352.2480
2020-06-30,1325.5670
2020-05-29,1302.8150
2020-04-30,1281.2830
2020-03-31,1254.8930
2020-02-28,1249.3480
2020-01-31,1235.3190
2019-12-31,1209.7300
2019-11-29,1188.4460
2019-10-31,1170.6260
2019-09-30,1149.2420
2019-08-30,1138.0930
2019-07-31,1128.0980
2019-06-28,1126.9860
2019-05-31,1141.8860
2019-04-30,1153.9580
2019-03-29,1146.9810
2019-02-28,1139.2920
2019-01-31,1128.4950
2018-12-31,1119.6200
2018-11-30,1125.5160
2018-10-31,1132.7730
2018-09-28,1129.0550
2018-08-31,1111.9640
2018-07-31,1092.0880
2018-06-29,1066.7380
2018-05-31,1049.3430
2018-04-30,1033.8930
2018-03-29,1025.0030
2018-02-28,1019.9980
2018-01-31,1002.0580
2017-12-29,968.6160
2017-11-30,947.7690
2017-10-31,926.1710
2017-09-29,902.1120
2017-08-31,882.3280
2017-07-31,867.7940
2017-06-30,853.6500
2017-05-31,839.6670
2017-04-28,820.0920
2017-03-31,797.9930
2017-02-28,788.0980
2017-01-31,774.3930
2016-12-30,768.6640
2016-11-30,761.1410
2016-10-31,759.6880
2016-09-30,756.4990
2016-08-31,752.3780
2016-07-29,747.1320
2016-06-30,731.8350
2016-05-31,726.2640
2016-04-29,717.1290
2016-03-31,700.3450
2016-02-29,678.5870
2016-01-29,661.7420
2015-12-31,641.0770
2015-11-30,619.5390
2015-10-30,597.0090
2015-09-30,576.3360
2015-08-31,567.4070
2015-07-31,559.4120
2015-06-30,552.5030
2015-05-29,556.7350
2015-04-30,560.1580
2015-03-31,563.7480
2015-02-27,565.4430
2015-01-30,562.6680
2014-12-31,564.8111
2014-11-28,572.7158
2014-10-31,577.0391
2014-09-30,576.4611
2014-08-29,570.7637
2014-07-31,564.2162
2014-06-30,550.1923
2014-05-30,534.2015
2014-04-30,521.5614
2014-03-31,512.2282
2014-02-28,500.0259
2014-01-31,480.4114
2013-12-31,461.0124
2013-11-29,444.9874
2013-10-31,429.7454
2013-09-30,413.5353
2013-08-30,404.6309
2013-07-31,396.2749
2013-06-28,389.5918
2013-05-31,379.7976
2013-04-30,367.8483
2013-03-28,355.5854
2013-02-28,344.8860
2013-01-31,335.0381
2012-12-31,329.2979
2012-11-30,324.8276
2012-10-31,318.8963
2012-09-28,317.1711
2012-08-31,309.3916
2012-07-31,304.7547
2012-06-29,298.8400
2012-05-31,296.8784
2012-04-30,298.0235
2012-03-30,293.0847
2012-02-29,287.4564
2012-01-31,283.7374
2011-12-30,284.0709
2011-11-30,282.4409
2011-10-31,282.4895
2011-09-30,282.5562
2011-08-31,284.5960
2011-07-29,288.2443
2011-06-30,284.3372
2011-05-31,281.5105
2011-04-29,279.2952
2011-03-31,274.3223
2011-02-28,269.2501
2011-01-31,264.8513
2010-12-31,263.1842
2010-11-30,259.8153
2010-10-29,258.5230
2010-09-30,258.8380
2010-08-31,261.7073
2010-07-30,266.0256
2010-06-30,266.5773
2010-05-28,267.4159
2010-04-30,265.2803
2010-03-31,260.0590
2010-02-26,252.5413
2010-01-29,245.9795
2009-12-31,236.8572
2009-11-30,222.7140
2009-10-30,210.4526
2009-09-30,198.9938
2009-08-31,188.8179
2009-07-31,183.6865
2009-06-30,181.5534
2009-05-29,183.6449
2009-04-30,186.4796
2009-03-31,193.0223
2009-02-27,204.9461
2009-01-30,216.7977
2008-12-31,221.9105
2008-11-28,230.1123
2008-10-31,243.7213
2008-09-30,260.3788
2008-08-29,275.0480
2008-07-31,287.2713
2008-06-30,291.9618
2008-05-30,291.4015
2008-04-30,287.5998
2008-03-31,285.0123
2008-02-29,287.8932
2008-01-31,287.9032
2007-12-31,282.5798
2007-11-30,270.4408
2007-10-31,260.8361
2007-09-28,248.4720
2007-08-31,244.3362
2007-07-31,242.3872
2007-06-29,236.9654
2007-05-31,229.7346
2007-04-30,224.1519
2007-03-30,221.5414
2007-02-28,217.2110
2007-01-31,215.6306
2006-12-29,210.0384
2006-11-30,205.1302
2006-10-31,202.5146
2006-09-29,199.4286
2006-08-31,199.5797
2006-07-31,199.2592
2006-06-30,195.7414
2006-05-31,189.0542
2006-04-28,184.8382
2006-03-31,178.6295
2006-02-28,172.9756
2006-01-31,165.8225
2005-12-30,153.1760
2005-11-30,141.7973
2005-10-31,131.3003
2005-09-30,122.3050
2005-08-31,115.5602
2005-07-29,110.7775
2005-06-30,102.8450
