,SMA_monthly_10
2022-04-04,46.1646
2022-03-31,45.6931
2022-02-28,45.3153
2022-01-31,45.0972
2021-12-31,45.0269
2021-11-30,44.7103
2021-10-29,45.1787
2021-09-30,45.5067
2021-08-31,46.0448
2021-07-30,46.2808
2021-06-30,46.4311
2021-05-28,46.6726
2021-04-30,46.8247
2021-03-31,46.9337
2021-02-26,46.9659
2021-01-29,46.9452
2020-12-31,46.8344
2020-11-30,46.2888
2020-10-30,46.2310
2020-09-30,45.7975
2020-08-31,45.3114
2020-07-31,44.2752
2020-06-30,43.5005
2020-05-29,42.8928
2020-04-30,42.0772
2020-03-31,41.3902
2020-02-28,40.6461
2020-01-31,40.4282
2019-12-31,40.1011
2019-11-29,39.8711
2019-10-31,39.5986
2019-09-30,39.6878
2019-08-30,39.7527
2019-07-31,39.7883
2019-06-28,39.5647
2019-05-31,39.3801
2019-04-30,38.9985
2019-03-29,38.6727
2019-02-28,37.7906
2019-01-31,37.0734
2018-12-31,36.2583
2018-11-30,35.2575
2018-10-31,34.2037
2018-09-28,33.4572
2018-08-31,33.1293
2018-07-31,32.3398
2018-06-29,31.9200
2018-05-31,31.2744
2018-04-30,31.0638
2018-03-29,30.7983
2018-02-28,30.6850
2018-01-31,30.8748
2017-12-29,30.8357
2017-11-30,30.6809
2017-10-31,30.6153
2017-09-29,30.8853
2017-08-31,31.0304
2017-07-31,31.6859
2017-06-30,31.9643
2017-05-31,32.2939
2017-04-28,32.5855
2017-03-31,32.6656
2017-02-28,32.6070
2017-01-31,32.8614
2016-12-30,33.4248
2016-11-30,34.0730
2016-10-31,34.5676
2016-09-30,34.6077
2016-08-31,34.5279
2016-07-29,34.0927
2016-06-30,33.5405
2016-05-31,32.9709
2016-04-29,32.5133
2016-03-31,31.5509
2016-02-29,30.2219
2016-01-29,28.8319
2015-12-31,27.7454
2015-11-30,26.8034
2015-10-30,25.7269
2015-09-30,25.0038
2015-08-31,24.5216
2015-07-31,24.1728
2015-06-30,23.7889
2015-05-29,23.5100
