,SMA_monthly_10
2022-04-04,302.7890
2022-03-31,296.9800
2022-02-28,290.4180
2022-01-31,281.9640
2021-12-31,270.8300
2021-11-30,255.3020
2021-10-29,239.2680
2021-09-30,222.0960
2021-08-31,206.9080
2021-07-30,188.0440
2021-06-30,174.0660
2021-05-28,162.8280
2021-04-30,152.1080
2021-03-31,144.6530
2021-02-26,138.5680
2021-01-29,132.5450
2020-12-31,127.3110
2020-11-30,124.2310
2020-10-30,125.1090
2020-09-30,128.5090
2020-08-31,132.0600
2020-07-31,134.4860
2020-06-30,136.3210
2020-05-29,137.5550
2020-04-30,139.3180
2020-03-31,143.5310
2020-02-28,148.7040
2020-01-31,151.6620
2019-12-31,150.7520
2019-11-29,149.5720
2019-10-31,147.1150
2019-09-30,144.4910
2019-08-30,145.5110
2019-07-31,146.8960
2019-06-28,148.8130
2019-05-31,147.6950
2019-04-30,146.1080
2019-03-29,143.5010
2019-02-28,141.6070
2019-01-31,139.5060
2018-12-31,137.6790
2018-11-30,136.2360
2018-10-31,134.7910
2018-09-28,132.3540
2018-08-31,128.5930
2018-07-31,126.1480
2018-06-29,125.0460
2018-05-31,123.8150
2018-04-30,123.3730
2018-03-29,123.5950
2018-02-28,123.7930
2018-01-31,123.8610
2017-12-29,120.7860
2017-11-30,118.7920
2017-10-31,116.6390
2017-09-29,114.2150
2017-08-31,112.0560
2017-07-31,108.6010
2017-06-30,104.6140
2017-05-31,101.3630
2017-04-28,99.4280
2017-03-31,97.7600
2017-02-28,97.1230
2017-01-31,95.5190
2016-12-30,94.5180
2016-11-30,92.6510
2016-10-31,91.1580
2016-09-30,91.6240
2016-08-31,92.1090
2016-07-29,92.0760
2016-06-30,90.4440
2016-05-31,89.2540
2016-04-29,87.9490
2016-03-31,87.8100
2016-02-29,87.6230
2016-01-29,87.6810
2015-12-31,87.2770
2015-11-30,86.5180
2015-10-30,85.6100
2015-09-30,84.9640
2015-08-31,85.1190
2015-07-31,84.6390
2015-06-30,83.1290
2015-05-29,82.0100
2015-04-30,80.1040
2015-03-31,78.8580
2015-02-27,77.5820
2015-01-30,76.1650
2014-12-31,74.6870
2014-11-28,73.2220
2014-10-31,71.7070
2014-09-30,70.7410
2014-08-29,69.8590
2014-07-31,68.2950
2014-06-30,67.4530
2014-05-30,66.1980
2014-04-30,65.0900
2014-03-31,63.8950
2014-02-28,62.6120
2014-01-31,61.4410
2013-12-31,59.8490
2013-11-29,57.7200
2013-10-31,56.4060
2013-09-30,55.1130
2013-08-30,53.9010
2013-07-31,52.7450
2013-06-28,51.3530
2013-05-31,50.5930
2013-04-30,49.3710
2013-03-28,47.8910
2013-02-28,46.5180
2013-01-31,45.9220
2012-12-31,45.0350
2012-11-30,44.4590
2012-10-31,43.4620
2012-09-28,42.2980
2012-08-31,41.4720
2012-07-31,40.3850
2012-06-29,39.4330
2012-05-31,38.6900
2012-04-30,38.3130
2012-03-30,37.9620
2012-02-29,37.6010
2012-01-31,37.8660
2011-12-30,38.2420
2011-11-30,38.5370
2011-10-31,38.2960
2011-09-30,37.7640
2011-08-31,37.4940
2011-07-29,37.1010
2011-06-30,36.3540
2011-05-31,35.1930
2011-04-29,33.8070
2011-03-31,31.8410
2011-02-28,30.1490
2011-01-31,28.7850
2010-12-31,27.4670
2010-11-30,26.5260
2010-10-29,25.4490
2010-09-30,24.0840
2010-08-31,23.0320
2010-07-30,22.0260
2010-06-30,21.3360
2010-05-28,20.6770
2010-04-30,19.9120
2010-03-31,19.0300
2010-02-26,18.3410
2010-01-29,17.3130
2009-12-31,16.2740
2009-11-30,15.4810
2009-10-30,15.0050
2009-09-30,14.9260
2009-08-31,14.6350
2009-07-31,14.8090
2009-06-30,15.3670
2009-05-29,16.4820
2009-04-30,17.3830
2009-03-31,18.1040
2009-02-27,19.1820
2009-01-30,20.4630
2008-12-31,20.9810
2008-11-28,21.0890
2008-10-31,21.0360
2008-09-30,20.9520
2008-08-29,20.5730
2008-07-31,20.1220
2008-06-30,20.1320
2008-05-30,20.2710
2008-04-30,20.1850
2008-03-31,20.3520
2008-02-29,21.1740
2008-01-31,21.8060
2007-12-31,22.7180
2007-11-30,23.0780
2007-10-31,23.3750
2007-09-28,23.1640
2007-08-31,22.6460
2007-07-31,22.2950
2007-06-29,21.9610
2007-05-31,21.0610
2007-04-30,19.7290
2007-03-30,18.6260
2007-02-28,17.7960
2007-01-31,17.0820
2006-12-29,16.2910
2006-11-30,15.7200
2006-10-31,15.1680
2006-09-29,14.5980
2006-08-31,14.1870
2006-07-31,13.8320
2006-06-30,13.5770
2006-05-31,13.2810
2006-04-28,12.7530
2006-03-31,12.4130
2006-02-28,12.0100
2006-01-31,11.4460
2005-12-30,11.0270
2005-11-30,10.7000
2005-10-31,10.4820
2005-09-30,10.5240
2005-08-31,10.5450
2005-07-29,10.6110
2005-06-30,10.7430
2005-05-31,10.8760
2005-04-29,11.1390
2005-03-31,11.6170
2005-02-28,11.8850
2005-01-31,12.1160
2004-12-31,12.1510
2004-11-30,12.0350
2004-10-29,11.9820
2004-09-30,11.9230
2004-08-31,12.0460
2004-07-30,12.1260
2004-06-30,11.9730
2004-05-28,11.6990
2004-04-30,11.3530
2004-03-31,10.9170
2004-02-27,10.4960
2004-01-30,10.1600
2003-12-31,9.7180
2003-11-28,9.3190
2003-10-31,8.8950
2003-09-30,8.5400
2003-08-29,8.4150
2003-07-31,8.1670
2003-06-30,8.0980
2003-05-30,8.2810
2003-04-30,8.3120
2003-03-31,8.5280
2003-02-28,8.9790
2003-01-31,9.4170
2002-12-31,9.8390
2002-11-29,10.1000
2002-10-31,10.2940
2002-09-30,10.6630
2002-08-30,10.8480
2002-07-31,10.8160
2002-06-28,10.9460
2002-05-31,10.9310
2002-04-30,10.8950
2002-03-28,10.8250
2002-02-28,10.4450
2002-01-31,10.0640
2001-12-31,9.5670
2001-11-30,9.2480
2001-10-31,9.0630
2001-09-28,8.8440
2001-08-31,8.7890
2001-07-31,8.7440
2001-06-29,8.7970
2001-05-31,9.0350
2001-04-30,9.5380
2001-03-30,9.9380
2001-02-28,10.5950
2001-01-31,11.0950
2000-12-29,11.8600
2000-11-30,12.6010
2000-10-31,13.3070
2000-09-29,13.8820
