,SMA_monthly_10
2022-04-04,70.8382
2022-03-31,70.9459
2022-02-28,70.9270
2022-01-31,70.5910
2021-12-31,69.2256
2021-11-30,66.5950
2021-10-29,64.0647
2021-09-30,61.3560
2021-08-31,59.0923
2021-07-30,55.8176
2021-06-30,52.7441
2021-05-28,49.9089
2021-04-30,47.0899
2021-03-31,44.2642
2021-02-26,41.4140
2021-01-29,38.7491
2020-12-31,36.4619
2020-11-30,35.3849
2020-10-30,34.6610
2020-09-30,34.4295
2020-08-31,34.5061
2020-07-31,34.6669
2020-06-30,35.0981
2020-05-29,35.8116
2020-04-30,36.7883
2020-03-31,37.8793
2020-02-28,38.8910
2020-01-31,38.9132
2019-12-31,38.6090
2019-11-29,38.0052
2019-10-31,37.0865
2019-09-30,35.7385
2019-08-30,34.7873
2019-07-31,33.7147
2019-06-28,32.9444
2019-05-31,32.5108
2019-04-30,32.3391
2019-03-29,31.8918
2019-02-28,31.4835
2019-01-31,31.2831
2018-12-31,31.3460
2018-11-30,31.9152
2018-10-31,32.2381
2018-09-28,32.7276
2018-08-31,32.8727
2018-07-31,33.1224
2018-06-29,33.2976
2018-05-31,33.7590
2018-04-30,34.1767
2018-03-29,34.9581
2018-02-28,35.4514
2018-01-31,35.8037
2017-12-29,36.0011
2017-11-30,36.2527
2017-10-31,36.7491
2017-09-29,36.6654
2017-08-31,36.9901
2017-07-31,36.9927
2017-06-30,37.5942
2017-05-31,37.7348
2017-04-28,38.1909
2017-03-31,38.3754
2017-02-28,38.4876
2017-01-31,38.2688
2016-12-30,37.6899
2016-11-30,37.1940
2016-10-31,36.3180
2016-09-30,35.6076
2016-08-31,34.6296
2016-07-29,33.8194
2016-06-30,32.5809
2016-05-31,31.8538
2016-04-29,31.2971
2016-03-31,31.1331
2016-02-29,31.2892
2016-01-29,31.5238
2015-12-31,32.1243
2015-11-30,32.8730
2015-10-30,33.2286
2015-09-30,33.7268
2015-08-31,34.3993
2015-07-31,34.8511
2015-06-30,35.2765
2015-05-29,35.6636
2015-04-30,35.7901
2015-03-31,36.1875
2015-02-27,36.1097
2015-01-30,35.9004
2014-12-31,35.9180
2014-11-28,35.6592
2014-10-31,35.3659
2014-09-30,35.1017
2014-08-29,34.4653
2014-07-31,33.7155
2014-06-30,32.9486
2014-05-30,31.8242
2014-04-30,31.0198
2014-03-31,30.2799
2014-02-28,29.4999
2014-01-31,28.6213
2013-12-31,27.8572
2013-11-29,27.0621
2013-10-31,26.3789
2013-09-30,25.7352
2013-08-30,25.1611
2013-07-31,24.6395
2013-06-28,24.0568
2013-05-31,23.6387
2013-04-30,23.0965
2013-03-28,22.5971
2013-02-28,22.1323
2013-01-31,21.7815
2012-12-31,21.5629
2012-11-30,21.2648
2012-10-31,21.0021
2012-09-28,20.6849
2012-08-31,20.3358
2012-07-31,19.8898
2012-06-29,19.3072
2012-05-31,18.8473
2012-04-30,18.4786
2012-03-30,18.1804
2012-02-29,17.8870
2012-01-31,17.7384
2011-12-30,17.4643
2011-11-30,17.3839
2011-10-31,17.2363
2011-09-30,17.0451
2011-08-31,16.9134
2011-07-29,16.7646
2011-06-30,16.4463
2011-05-31,15.9632
2011-04-29,15.5203
2011-03-31,14.9794
2011-02-28,14.6331
2011-01-31,14.3547
2010-12-31,14.0682
2010-11-30,13.8373
2010-10-29,13.7164
2010-09-30,13.5820
2010-08-31,13.5210
2010-07-30,13.3550
2010-06-30,13.1781
2010-05-28,13.0213
2010-04-30,12.7758
2010-03-31,12.2801
2010-02-26,11.8705
2010-01-29,11.4027
2009-12-31,10.8004
2009-11-30,10.2144
2009-10-30,9.6561
2009-09-30,9.2029
2009-08-31,8.6915
2009-07-31,8.4358
2009-06-30,8.5772
2009-05-29,9.1478
2009-04-30,9.7187
2009-03-31,10.2694
2009-02-27,11.1525
2009-01-30,12.0741
2008-12-31,12.8653
2008-11-28,13.4917
2008-10-31,14.1216
2008-09-30,14.6108
2008-08-29,14.7677
2008-07-31,14.6921
2008-06-30,14.6675
2008-05-30,14.7902
2008-04-30,14.8463
2008-03-31,13.6500
2008-02-29,12.5440
2008-01-31,11.5713
2007-12-31,10.6128
2007-11-30,9.6298
2007-10-31,8.6490
2007-09-28,7.6128
2007-08-31,6.4640
2007-07-31,5.3155
2007-06-29,4.0389
2007-05-31,3.9351
2007-04-30,3.8361
2007-03-30,3.7660
2007-02-28,3.7036
2007-01-31,3.6422
2006-12-29,3.5739
2006-11-30,3.5096
2006-10-31,3.4514
2006-09-29,3.4400
2006-08-31,3.4429
2006-07-31,3.4423
2006-06-30,3.4611
2006-05-31,3.4603
2006-04-28,3.4991
2006-03-31,3.5316
2006-02-28,3.5527
2006-01-31,3.6189
2005-12-30,3.7132
2005-11-30,3.7665
2005-10-31,3.8588
2005-09-30,3.9731
2005-08-31,4.0454
2005-07-29,4.0838
2005-06-30,4.0827
2005-05-31,4.1058
2005-04-29,4.1295
2005-03-31,4.1501
2005-02-28,4.1096
2005-01-31,4.0325
2004-12-31,3.9370
2004-11-30,3.8454
2004-10-29,3.7544
2004-09-30,3.6957
2004-08-31,3.5985
2004-07-30,3.4672
2004-06-30,3.3344
2004-05-28,3.1764
2004-04-30,3.0232
2004-03-31,2.9167
2004-02-27,2.7790
2004-01-30,2.6162
2003-12-31,2.4419
2003-11-28,2.2948
2003-10-31,2.2075
2003-09-30,2.1594
2003-08-29,2.1252
2003-07-31,2.0482
2003-06-30,1.9914
2003-05-30,1.9496
2003-04-30,1.8879
2003-03-31,1.8613
2003-02-28,1.9740
2003-01-31,2.0190
2002-12-31,2.2217
2002-11-29,2.3708
2002-10-31,2.5870
2002-09-30,3.1402
2002-08-30,3.6964
2002-07-31,4.1127
2002-06-28,4.5197
2002-05-31,4.9980
2002-04-30,5.3868
2002-03-28,5.8356
2002-02-28,6.1479
2002-01-31,6.4498
2001-12-31,6.5500
2001-11-30,6.4964
2001-10-31,6.5306
2001-09-28,6.6093
2001-08-31,6.6989
2001-07-31,6.7574
2001-06-29,6.7405
2001-05-31,6.7710
2001-04-30,6.7151
2001-03-30,6.6401
2001-02-28,6.6787
2001-01-31,6.5699
2000-12-29,6.4267
2000-11-30,6.1960
2000-10-31,6.0750
2000-09-29,5.8546
