,SMA_monthly_10
2022-04-04,151.6494
2022-03-31,153.3387
2022-02-28,155.8418
2022-01-31,156.7722
2021-12-31,156.7802
2021-11-30,155.4152
2021-10-29,152.1956
2021-09-30,147.6321
2021-08-31,142.8896
2021-07-30,136.5927
2021-06-30,130.8474
2021-05-28,125.1953
2021-04-30,118.3474
2021-03-31,112.1893
2021-02-26,106.5828
2021-01-29,101.3230
2020-12-31,97.2340
2020-11-30,95.8453
2020-10-30,96.8781
2020-09-30,100.4129
2020-08-31,103.4887
2020-07-31,105.5477
2020-06-30,107.1839
2020-05-29,108.4283
2020-04-30,109.9332
2020-03-31,111.1227
2020-02-28,112.4102
2020-01-31,112.1716
2019-12-31,108.9669
2019-11-29,105.4703
2019-10-31,102.6099
2019-09-30,99.7786
2019-08-30,98.9425
2019-07-31,98.6362
2019-06-28,98.0361
2019-05-31,98.0556
2019-04-30,98.6466
2019-03-29,97.2889
2019-02-28,97.6189
2019-01-31,97.8212
2018-12-31,98.1598
2018-11-30,99.6022
2018-10-31,99.8287
2018-09-28,99.4250
2018-08-31,98.5305
2018-07-31,97.1325
2018-06-29,95.2001
2018-05-31,93.8792
2018-04-30,92.3867
2018-03-29,90.6571
2018-02-28,88.0584
2018-01-31,85.3922
2017-12-29,82.7406
2017-11-30,81.1586
2017-10-31,79.2689
2017-09-29,77.8294
2017-08-31,76.3600
2017-07-31,74.3517
2017-06-30,71.9902
2017-05-31,69.7855
2017-04-28,68.0883
2017-03-31,65.7664
2017-02-28,63.6822
2017-01-31,61.1785
2016-12-30,58.8199
2016-11-30,56.1102
2016-10-31,54.2028
2016-09-30,53.7573
2016-08-31,53.6395
2016-07-29,53.2386
2016-06-30,52.8285
2016-05-31,52.8795
2016-04-29,53.0335
2016-03-31,53.2636
2016-02-29,53.7066
2016-01-29,54.1878
2015-12-31,54.1416
2015-11-30,53.6377
2015-10-30,52.5094
2015-09-30,52.2299
2015-08-31,52.0651
2015-07-31,51.6647
2015-06-30,50.8408
2015-05-29,50.0533
2015-04-30,49.2854
2015-03-31,48.6904
2015-02-27,48.1856
2015-01-30,47.6562
2014-12-31,48.0485
2014-11-28,47.4839
2014-10-31,47.0004
2014-09-30,46.7110
2014-08-29,46.3741
2014-07-31,45.6477
2014-06-30,45.0485
2014-05-30,44.3937
2014-04-30,44.3172
2014-03-31,43.9444
2014-02-28,43.3613
2014-01-31,42.6517
2013-12-31,41.9136
2013-11-29,41.0694
2013-10-31,40.1795
2013-09-30,39.4793
2013-08-30,38.5726
2013-07-31,37.8045
2013-06-28,36.5078
2013-05-31,35.2165
2013-04-30,33.6955
2013-03-28,32.5702
2013-02-28,31.3933
2013-01-31,30.8543
2012-12-31,30.6680
2012-11-30,30.2335
2012-10-31,29.8760
2012-09-28,29.1461
2012-08-31,28.3603
2012-07-31,28.1182
2012-06-29,27.5953
2012-05-31,27.6730
2012-04-30,28.1643
2012-03-30,27.9220
2012-02-29,27.6443
2012-01-31,28.0567
2011-12-30,28.6332
2011-11-30,29.5791
2011-10-31,30.5675
2011-09-30,31.0799
2011-08-31,31.5900
2011-07-29,31.5603
2011-06-30,31.3423
2011-05-31,30.9806
2011-04-29,30.7371
2011-03-31,30.0411
2011-02-28,29.5475
2011-01-31,29.2314
2010-12-31,29.1974
2010-11-30,29.1525
2010-10-29,29.2555
2010-09-30,29.5352
2010-08-31,29.8508
2010-07-30,30.2390
2010-06-30,30.4847
2010-05-28,30.9786
2010-04-30,30.9001
2010-03-31,30.2633
2010-02-26,29.6785
2010-01-29,29.0086
2009-12-31,28.0875
2009-11-30,26.6994
2009-10-30,25.4421
2009-09-30,24.6509
2009-08-31,23.7222
2009-07-31,23.5138
2009-06-30,24.0276
2009-05-29,24.2891
2009-04-30,24.4996
2009-03-31,24.5151
2009-02-27,25.6222
2009-01-30,27.3326
2008-12-31,28.4896
2008-11-28,29.0714
2008-10-31,30.1193
2008-09-30,30.1817
2008-08-29,30.0128
2008-07-31,30.5299
2008-06-30,30.7852
2008-05-30,31.4315
2008-04-30,31.4254
2008-03-31,31.3710
2008-02-29,31.9074
2008-01-31,32.6243
2007-12-31,32.5871
2007-11-30,32.9104
2007-10-31,33.2012
2007-09-28,33.1932
2007-08-31,33.1562
2007-07-31,33.2879
2007-06-29,33.3998
2007-05-31,33.1424
2007-04-30,32.6500
2007-03-30,31.8733
2007-02-28,31.4181
2007-01-31,31.0769
2006-12-29,30.3587
2006-11-30,29.8101
2006-10-31,29.3062
2006-09-29,28.6975
2006-08-31,28.0494
2006-07-31,27.3817
2006-06-30,26.5177
2006-05-31,25.9170
2006-04-28,25.3548
2006-03-31,24.5993
2006-02-28,24.1433
2006-01-31,23.7037
2005-12-30,23.2767
2005-11-30,23.0003
2005-10-31,22.8680
2005-09-30,22.9281
2005-08-31,23.1012
2005-07-29,23.3368
2005-06-30,23.5414
2005-05-31,23.7469
2005-04-29,23.7837
2005-03-31,23.9061
2005-02-28,23.9882
2005-01-31,23.9931
2004-12-31,24.1973
2004-11-30,24.2589
2004-10-29,24.2753
2004-09-30,24.0779
2004-08-31,23.7492
2004-07-30,23.4604
2004-06-30,23.1967
2004-05-28,22.8575
2004-04-30,22.6883
2004-03-31,22.3990
2004-02-27,21.7819
2004-01-30,21.0120
2003-12-31,20.0169
2003-11-28,19.1148
2003-10-31,18.3328
2003-09-30,17.5406
2003-08-29,16.9324
2003-07-31,16.0735
2003-06-30,15.0416
2003-05-30,14.5064
2003-04-30,13.9677
2003-03-31,14.1306
2003-02-28,14.7647
2003-01-31,15.4115
2002-12-31,16.0310
2002-11-29,16.2718
2002-10-31,16.7133
2002-09-30,17.5222
2002-08-30,18.5299
2002-07-31,18.9829
2002-06-28,19.4146
2002-05-31,19.6405
2002-04-30,19.9638
2002-03-28,20.3629
2002-02-28,21.0013
2002-01-31,21.9354
2001-12-31,22.4566
2001-11-30,22.9630
2001-10-31,23.8440
2001-09-28,24.2917
2001-08-31,24.3891
2001-07-31,24.6579
2001-06-29,24.7340
2001-05-31,25.2284
2001-04-30,25.1591
2001-03-30,24.9434
2001-02-28,25.0629
2001-01-31,24.9995
2000-12-29,24.9832
2000-11-30,25.2743
2000-10-31,26.0558
2000-09-29,26.2631
