,SMA_monthly_10
2022-04-04,61.3364
2022-03-31,63.2399
2022-02-28,65.4023
2022-01-31,66.6922
2021-12-31,67.9309
2021-11-30,69.4780
2021-10-29,71.6453
2021-09-30,73.7818
2021-08-31,74.8052
2021-07-30,74.5552
2021-06-30,74.4448
2021-05-28,72.6266
2021-04-30,70.3350
2021-03-31,68.6396
2021-02-26,66.8643
2021-01-29,64.9654
2020-12-31,63.1739
2020-11-30,63.8801
2020-10-30,65.6406
2020-09-30,67.7657
2020-08-31,69.4160
2020-07-31,70.8255
2020-06-30,71.9938
2020-05-29,72.5613
2020-04-30,73.1707
2020-03-31,73.3156
2020-02-28,73.4784
2020-01-31,71.7672
2019-12-31,70.0966
2019-11-29,68.4187
2019-10-31,67.2269
2019-09-30,66.7123
2019-08-30,67.0323
2019-07-31,67.6990
2019-06-28,67.5962
2019-05-31,67.9513
2019-04-30,68.9397
2019-03-29,68.7396
2019-02-28,67.6159
2019-01-31,67.1642
2018-12-31,65.7504
2018-11-30,63.8425
2018-10-31,62.0438
2018-09-28,59.9200
2018-08-31,58.7043
2018-07-31,57.0553
2018-06-29,54.7822
2018-05-31,52.5439
2018-04-30,50.6000
2018-03-29,48.5306
2018-02-28,47.3589
2018-01-31,46.1417
2017-12-29,44.5260
2017-11-30,42.8454
2017-10-31,41.1906
2017-09-29,39.9011
