,SMA_monthly_10
2022-04-04,57.9702
2022-03-31,57.0315
2022-02-28,56.3686
2022-01-31,55.7855
2021-12-31,54.9315
2021-11-30,53.9217
2021-10-29,53.0851
2021-09-30,51.9669
2021-08-31,50.7530
2021-07-30,48.6217
2021-06-30,46.7270
2021-05-28,44.8408
2021-04-30,42.6312
2021-03-31,40.4797
2021-02-26,38.6691
2021-01-29,37.3384
2020-12-31,36.2809
2020-11-30,36.3189
2020-10-30,37.2358
2020-09-30,38.9793
2020-08-31,40.5586
2020-07-31,41.8340
2020-06-30,43.3058
2020-05-29,44.6511
2020-04-30,46.6335
2020-03-31,48.5930
2020-02-28,50.2094
2020-01-31,50.7441
2019-12-31,50.3784
2019-11-29,49.8794
2019-10-31,49.5589
2019-09-30,49.1982
2019-08-30,48.8424
2019-07-31,48.6697
2019-06-28,48.3244
2019-05-31,47.8756
2019-04-30,47.7931
2019-03-29,47.4783
2019-02-28,47.5523
2019-01-31,48.0022
2018-12-31,48.1633
2018-11-30,48.5193
2018-10-31,48.8464
2018-09-28,49.1686
2018-08-31,49.1548
2018-07-31,49.0004
2018-06-29,48.6466
2018-05-31,48.4142
2018-04-30,48.3207
2018-03-29,47.7013
2018-02-28,47.3830
2018-01-31,47.0459
2017-12-29,46.5022
2017-11-30,46.1372
2017-10-31,45.7033
2017-09-29,45.4262
2017-08-31,45.0987
2017-07-31,44.7332
2017-06-30,43.9901
2017-05-31,43.4959
2017-04-28,42.9109
2017-03-31,42.3611
2017-02-28,41.7382
2017-01-31,41.0124
2016-12-30,40.1950
2016-11-30,39.1705
2016-10-31,38.4131
2016-09-30,37.9505
2016-08-31,37.6199
2016-07-29,37.0784
2016-06-30,36.5632
2016-05-31,36.1007
2016-04-29,35.8490
2016-03-31,35.7182
2016-02-29,35.8771
2016-01-29,36.3578
2015-12-31,36.7042
2015-11-30,36.9347
2015-10-30,36.9467
2015-09-30,37.4587
2015-08-31,37.9652
2015-07-31,38.6224
2015-06-30,38.9430
2015-05-29,39.4229
2015-04-30,39.5907
2015-03-31,39.7979
2015-02-27,39.9989
2015-01-30,40.2563
2014-12-31,40.7886
2014-11-28,40.9095
2014-10-31,41.1656
2014-09-30,41.5864
2014-08-29,42.1073
2014-07-31,42.5155
2014-06-30,42.9340
2014-05-30,42.9591
2014-04-30,43.1645
2014-03-31,43.1879
2014-02-28,43.3376
2014-01-31,43.4271
2013-12-31,43.3612
2013-11-29,42.8541
2013-10-31,42.4557
2013-09-30,41.7261
2013-08-30,41.1570
2013-07-31,40.9287
2013-06-28,40.5076
2013-05-31,40.1378
2013-04-30,39.5288
2013-03-28,39.1576
2013-02-28,38.6536
2013-01-31,38.4494
2012-12-31,38.1028
2012-11-30,37.9342
2012-10-31,37.5767
2012-09-28,37.1253
2012-08-31,36.8426
2012-07-31,36.7293
2012-06-29,36.2409
2012-05-31,35.9152
2012-04-30,35.9824
2012-03-30,36.0525
2012-02-29,36.2340
2012-01-31,36.6863
2011-12-30,37.2066
