,SMA_monthly_10
2022-04-04,297.1680
2022-03-31,289.6070
2022-02-28,281.3840
2022-01-31,276.2070
2021-12-31,270.5350
2021-11-30,260.4030
2021-10-29,253.2460
2021-09-30,244.9420
2021-08-31,238.2240
2021-07-30,229.9940
2021-06-30,220.9970
2021-05-28,214.1880
2021-04-30,207.5220
2021-03-31,199.8100
2021-02-26,195.0160
2021-01-29,189.7370
2020-12-31,182.3470
2020-11-30,173.3340
2020-10-30,165.2180
2020-09-30,160.1400
2020-08-31,155.3860
2020-07-31,148.6530
2020-06-30,141.1550
2020-05-29,136.3850
2020-04-30,131.0810
2020-03-31,128.9980
2020-02-28,129.2530
2020-01-31,129.9610
2019-12-31,131.8600
2019-11-29,131.7540
2019-10-31,131.5020
2019-09-30,131.3600
2019-08-30,134.3590
2019-07-31,134.0080
2019-06-28,135.6000
2019-05-31,135.0860
2019-04-30,131.2690
2019-03-29,128.1000
2019-02-28,122.3970
2019-01-31,117.2590
2018-12-31,112.0790
2018-11-30,107.6870
2018-10-31,102.8520
2018-09-28,97.8430
2018-08-31,90.7970
2018-07-31,83.7800
2018-06-29,80.2470
2018-05-31,76.8530
2018-04-30,75.0400
2018-03-29,73.6330
2018-02-28,71.9720
2018-01-31,69.7210
2017-12-29,65.1450
2017-11-30,62.3280
2017-10-31,60.1760
2017-09-29,58.8190
2017-08-31,57.2290
2017-07-31,56.2700
2017-06-30,55.4220
2017-05-31,53.8850
2017-04-28,53.1090
2017-03-31,53.1200
2017-02-28,53.4030
2017-01-31,53.7280
2016-12-30,54.5050
2016-11-30,55.2830
2016-10-31,55.4880
2016-09-30,56.0600
2016-08-31,56.2540
2016-07-29,57.0730
2016-06-30,58.2770
2016-05-31,60.7460
2016-04-29,63.4460
2016-03-31,65.3000
2016-02-29,66.1250
2016-01-29,65.8440
2015-12-31,67.0820
2015-11-30,67.4380
2015-10-30,66.5030
2015-09-30,65.6560
2015-08-31,63.8830
2015-07-31,61.2880
2015-06-30,57.9750
2015-05-29,55.7290
2015-04-30,52.5400
2015-03-31,51.0800
2015-02-27,48.6600
2015-01-30,46.0310
2014-12-31,44.6960
2014-11-28,43.1110
2014-10-31,41.5990
2014-09-30,40.2100
2014-08-29,39.3400
2014-07-31,37.7200
2014-06-30,37.1950
2014-05-30,36.0710
2014-04-30,35.4740
2014-03-31,35.4520
2014-02-28,35.4760
2014-01-31,35.0280
2013-12-31,34.5150
2013-11-29,34.2310
2013-10-31,33.7420
2013-09-30,33.2840
2013-08-30,32.5080
2013-07-31,31.6760
2013-06-28,30.4790
2013-05-31,29.1850
2013-04-30,27.8460
2013-03-28,26.8720
2013-02-28,26.3360
2013-01-31,25.7100
2012-12-31,26.2020
2012-11-30,26.8920
2012-10-31,27.1690
2012-09-28,26.8950
2012-08-31,26.5650
2012-07-31,26.2590
2012-06-29,25.3620
2012-05-31,24.9390
2012-04-30,24.6530
2012-03-30,24.8000
2012-02-29,24.1550
2012-01-31,23.6257
2011-12-30,23.2313
2011-11-30,23.3337
2011-10-31,23.1927
2011-09-30,22.9313
2011-08-31,23.0800
2011-07-29,22.8850
2011-06-30,22.4193
2011-05-31,21.3980
2011-04-29,20.6673
2011-03-31,19.7207
2011-02-28,18.8887
2011-01-31,18.4980
2010-12-31,18.1320
2010-11-30,17.7007
2010-10-29,17.4913
2010-09-30,17.2880
2010-08-31,16.8820
2010-07-30,16.4393
2010-06-30,15.8313
2010-05-28,15.2613
2010-04-30,14.9300
2010-03-31,14.5800
2010-02-26,14.4980
2010-01-29,14.5160
2009-12-31,14.3007
2009-11-30,14.0247
2009-10-30,13.8007
2009-09-30,13.7267
2009-08-31,13.9267
2009-07-31,14.0613
2009-06-30,14.6247
2009-05-29,15.1280
2009-04-30,15.5213
2009-03-31,15.7007
2009-02-27,16.4433
2009-01-30,16.8500
2008-12-31,17.3087
2008-11-28,18.2447
2008-10-31,18.9393
2008-09-30,20.0347
2008-08-29,20.4673
2008-07-31,20.9100
2008-06-30,21.3387
2008-05-30,21.9860
2008-04-30,22.0680
2008-03-31,22.4473
2008-02-29,22.9507
2008-01-31,22.8553
2007-12-31,22.6207
2007-11-30,22.1180
2007-10-31,21.6740
2007-09-28,21.3007
2007-08-31,21.1487
2007-07-31,21.4940
2007-06-29,21.7587
2007-05-31,22.1933
2007-04-30,22.2713
2007-03-30,22.7933
2007-02-28,23.2753
2007-01-31,23.3780
2006-12-29,23.5540
2006-11-30,23.2807
2006-10-31,22.7787
2006-09-29,21.9393
2006-08-31,21.3620
2006-07-31,20.2627
2006-06-30,19.7193
2006-05-31,18.9980
2006-04-28,18.0727
2006-03-31,18.8433
2006-02-28,19.4653
2006-01-31,20.4880
2005-12-30,21.7967
2005-11-30,23.0127
2005-10-31,24.5480
2005-09-30,26.2700
2005-08-31,27.5007
2005-07-29,28.1400
2005-06-30,28.9107
2005-05-31,28.1733
2005-04-29,27.5320
2005-03-31,27.1607
2005-02-28,26.6480
2005-01-31,26.0333
2004-12-31,24.6727
2004-11-30,23.6940
2004-10-29,22.5140
2004-09-30,21.7413
2004-08-31,20.9147
2004-07-30,20.5613
2004-06-30,20.1993
2004-05-28,19.2373
