,SMA_monthly_10
2022-04-04,239.6456
2022-03-31,237.1347
2022-02-28,233.1817
2022-01-31,229.8059
2021-12-31,225.2586
2021-11-30,215.4403
2021-10-29,206.7642
2021-09-30,198.7909
2021-08-31,192.5065
2021-07-30,183.7925
2021-06-30,176.9667
2021-05-28,170.5776
2021-04-30,163.9419
2021-03-31,159.0174
2021-02-26,153.5898
2021-01-29,150.2946
2020-12-31,146.7220
2020-11-30,146.0100
2020-10-30,146.3191
2020-09-30,146.4145
2020-08-31,147.1639
2020-07-31,148.0825
2020-06-30,150.8525
2020-05-29,154.5414
2020-04-30,157.3241
2020-03-31,159.3576
2020-02-28,160.7876
2020-01-31,158.6285
2019-12-31,154.9465
2019-11-29,152.9996
2019-10-31,148.0262
2019-09-30,142.9691
2019-08-30,139.0064
2019-07-31,133.2692
2019-06-28,129.6842
2019-05-31,125.8068
2019-04-30,122.9236
2019-03-29,120.0568
2019-02-28,116.7208
2019-01-31,113.4161
2018-12-31,112.1808
2018-11-30,111.1559
2018-10-31,108.0174
2018-09-28,104.8497
2018-08-31,101.2668
2018-07-31,97.5706
2018-06-29,94.0135
2018-05-31,91.1786
2018-04-30,89.4787
2018-03-29,87.1806
2018-02-28,84.9730
2018-01-31,82.9536
2017-12-29,81.5827
2017-11-30,80.3563
2017-10-31,78.9859
2017-09-29,78.1467
2017-08-31,77.5521
2017-07-31,76.0033
2017-06-30,74.5541
2017-05-31,73.4963
2017-04-28,72.0854
2017-03-31,70.1453
2017-02-28,68.4425
2017-01-31,67.9802
2016-12-30,67.4045
2016-11-30,66.3931
2016-10-31,65.0637
2016-09-30,64.5819
2016-08-31,64.0231
2016-07-29,63.2764
2016-06-30,63.0768
2016-05-31,62.8402
2016-04-29,61.9315
2016-03-31,60.2414
2016-02-29,58.6220
2016-01-29,57.3051
2015-12-31,57.1969
2015-11-30,57.0192
2015-10-30,56.0985
2015-09-30,55.7470
2015-08-31,55.3870
2015-07-31,55.2663
2015-06-30,55.4515
2015-05-29,55.5199
2015-04-30,55.8419
2015-03-31,56.3479
2015-02-27,56.2924
2015-01-30,55.8256
2014-12-31,55.9034
2014-11-28,55.7103
2014-10-31,55.4612
2014-09-30,55.6352
2014-08-29,55.7495
2014-07-31,55.9433
2014-06-30,55.4992
2014-05-30,54.4921
2014-04-30,53.3383
2014-03-31,52.7611
2014-02-28,52.1195
2014-01-31,51.2765
2013-12-31,51.2156
2013-11-29,50.6623
2013-10-31,49.9535
2013-09-30,49.3035
2013-08-30,48.7960
2013-07-31,48.3699
2013-06-28,47.9493
2013-05-31,47.0201
2013-04-30,46.1506
2013-03-28,45.3261
2013-02-28,43.9040
2013-01-31,42.9018
2012-12-31,42.2042
2012-11-30,41.6312
2012-10-31,40.9037
2012-09-28,40.3980
2012-08-31,39.9999
2012-07-31,39.8842
2012-06-29,39.3006
2012-05-31,38.7335
2012-04-30,38.4160
2012-03-30,37.9480
2012-02-29,37.6460
2012-01-31,37.2847
2011-12-30,37.1059
2011-11-30,36.4430
2011-10-31,35.7776
2011-09-30,37.1111
2011-08-31,38.0499
2011-07-29,39.2772
2011-06-30,40.4874
2011-05-31,41.0263
2011-04-29,41.3986
2011-03-31,41.3790
2011-02-28,41.6452
2011-01-31,42.5312
2010-12-31,43.3780
2010-11-30,42.0576
2010-10-29,41.1945
2010-09-30,40.9659
2010-08-31,40.6686
2010-07-30,41.2688
2010-06-30,41.8975
2010-05-28,42.2748
2010-04-30,42.4520
2010-03-31,42.2005
2010-02-26,41.6518
2010-01-29,40.9487
2009-12-31,39.8513
2009-11-30,37.4277
2009-10-30,35.3814
2009-09-30,33.0150
2009-08-31,30.5390
2009-07-31,29.4674
2009-06-30,29.4068
2009-05-29,30.9040
2009-04-30,32.2893
2009-03-31,33.2479
2009-02-27,36.0374
2009-01-30,39.5843
2008-12-31,42.2427
2008-11-28,45.2474
2008-10-31,49.2001
2008-09-30,55.0754
2008-08-29,59.8851
2008-07-31,65.0011
2008-06-30,70.4110
2008-05-30,75.6485
