,SMA_monthly_10
2022-04-04,521.9500
2022-03-31,535.6210
2022-02-28,548.4430
2022-01-31,560.3380
2021-12-31,569.7900
2021-11-30,563.4310
2021-10-29,552.4800
2021-09-30,537.5220
2021-08-31,525.5580
2021-07-30,516.2130
2021-06-30,514.4590
2021-05-28,514.5940
2021-04-30,513.2010
2021-03-31,507.3580
2021-02-26,497.1650
2021-01-29,485.2650
2020-12-31,469.5760
2020-11-30,452.4060
2020-10-30,437.8450
2020-09-30,422.6280
2020-08-31,404.0910
2020-07-31,379.8760
2020-06-30,357.7500
2020-05-29,341.6210
2020-04-30,331.9470
2020-03-31,326.6940
2020-02-28,323.4720
2020-01-31,323.6230
2019-12-31,324.7700
2019-11-29,328.2230
2019-10-31,330.7070
2019-09-30,328.7320
2019-08-30,330.5830
2019-07-31,331.3860
2019-06-28,336.5000
2019-05-31,336.5360
2019-04-30,335.9530
2019-03-29,338.0420
2019-02-28,337.5460
2019-01-31,332.9820
2018-12-31,328.5670
2018-11-30,330.9390
2018-10-31,329.3560
2018-09-28,318.3740
2018-08-31,299.7190
2018-07-31,282.5940
2018-06-29,266.9840
2018-05-31,245.3120
2018-04-30,228.3180
2018-03-29,212.0130
2018-02-28,198.7850
2018-01-31,184.8670
2017-12-29,172.6180
2017-11-30,167.6350
2017-10-31,162.9480
2017-09-29,155.6850
2017-08-31,149.2500
2017-07-31,144.2660
2017-06-30,135.9550
2017-05-31,130.7590
2017-04-28,123.5770
2017-03-31,117.5050
2017-02-28,112.9810
2017-01-31,107.7710
2016-12-30,103.9230
2016-11-30,100.8840
2016-10-31,98.3680
2016-09-30,97.3190
2016-08-31,99.7970
2016-07-29,100.8900
2016-06-30,102.0910
2016-05-31,104.4460
2016-04-29,105.6200
2016-03-31,106.0018
2016-02-29,104.6940
2016-01-29,103.3030
2015-12-31,100.0717
2015-11-30,95.4181
2015-10-30,89.3965
2015-09-30,83.4387
2015-08-31,78.0639
2015-07-31,72.1719
2015-06-30,67.1864
2015-05-29,64.6249
2015-04-30,61.7487
2015-03-31,60.0929
2015-02-27,60.1092
2015-01-30,57.9254
2014-12-31,56.6429
2014-11-28,58.1289
2014-10-31,59.0252
2014-09-30,58.6738
2014-08-29,57.4541
2014-07-31,55.2375
2014-06-30,53.6159
2014-05-30,51.3775
2014-04-30,48.9012
2014-03-31,47.3162
2014-02-28,45.5193
2014-01-31,42.2399
2013-12-31,39.0963
2013-11-29,36.5236
2013-10-31,33.6585
2013-09-30,30.3743
2013-08-30,27.1243
2013-07-31,24.2005
2013-06-28,21.4855
2013-05-31,19.3231
2013-04-30,16.9031
2013-03-28,14.7948
2013-02-28,12.9970
2013-01-31,11.4551
2012-12-31,10.7379
2012-11-30,10.9971
2012-10-31,11.5469
2012-09-28,11.4048
2012-08-31,11.5489
2012-07-31,11.8683
2012-06-29,12.6743
2012-05-31,15.0533
2012-04-30,17.9468
2012-03-30,20.5547
2012-02-29,22.7798
2012-01-31,24.5218
2011-12-30,26.2015
2011-11-30,28.1641
2011-10-31,30.3005
2011-09-30,31.6380
2011-08-31,32.9613
2011-07-29,32.0835
2011-06-30,30.6003
2011-05-31,28.6407
2011-04-29,26.2371
2011-03-31,24.4654
2011-02-28,22.6564
2011-01-31,21.1168
2010-12-31,19.1120
2010-11-30,17.5456
2010-10-29,15.4934
2010-09-30,13.8008
2010-08-31,12.3218
2010-07-30,11.2923
2010-06-30,10.4868
2010-05-28,9.5580
2010-04-30,8.5978
2010-03-31,7.7756
2010-02-26,7.2853
2010-01-29,6.9890
2009-12-31,6.7129
2009-11-30,6.4436
2009-10-30,6.1223
2009-09-30,5.7857
2009-08-31,5.4544
2009-07-31,5.1849
2009-06-30,4.9983
2009-05-29,4.8483
2009-04-30,4.7264
2009-03-31,4.4516
2009-02-27,4.2721
2009-01-30,4.2113
2008-12-31,4.1900
2008-11-28,4.2141
2008-10-31,4.2451
2008-09-30,4.2717
2008-08-29,4.1606
2008-07-31,4.0981
2008-06-30,3.9533
2008-05-30,3.8311
2008-04-30,3.6436
2008-03-31,3.4637
2008-02-29,3.2816
2008-01-31,3.1471
2007-12-31,3.1191
2007-11-30,3.0607
2007-10-31,3.0566
2007-09-28,3.0479
2007-08-31,3.1697
2007-07-31,3.3146
2007-06-29,3.3939
2007-05-31,3.4029
2007-04-30,3.3856
2007-03-30,3.4576
2007-02-28,3.5219
2007-01-31,3.6234
2006-12-29,3.7117
2006-11-30,3.7253
2006-10-31,3.7006
2006-09-29,3.6920
2006-08-31,3.7600
2006-07-31,3.8513
2006-06-30,3.9270
2006-05-31,3.8463
2006-04-28,3.7159
2006-03-31,3.5269
2006-02-28,3.3169
2006-01-31,3.0989
2005-12-30,2.8603
2005-11-30,2.6266
2005-10-31,2.3974
2005-09-30,2.1963
2005-08-31,1.9876
2005-07-29,1.8149
2005-06-30,1.7700
2005-05-31,1.7349
2005-04-29,1.8236
2005-03-31,2.1729
2005-02-28,2.4881
2005-01-31,2.6976
2004-12-31,3.0207
2004-11-30,3.3360
2004-10-29,3.6978
2004-09-30,3.9531
2004-08-31,4.0829
2004-07-30,4.2923
2004-06-30,4.2391
2004-05-28,3.9629
2004-04-30,3.6798
2004-03-31,3.5000
2004-02-27,3.1729
2004-01-30,2.8444
2003-12-31,2.4654
2003-11-28,2.1969
2003-10-31,1.9412
2003-09-30,1.6111
2003-08-29,1.4489
2003-07-31,1.2749
2003-06-30,1.1571
2003-05-30,1.0682
2003-04-30,1.0032
2003-03-31,0.9403
