,SMA_monthly_10
2022-04-04,15.2373
2022-03-31,14.7456
2022-02-28,14.3864
2022-01-31,14.1608
2021-12-31,13.8858
2021-11-30,14.0343
2021-10-29,14.0800
2021-09-30,14.0512
2021-08-31,13.9667
2021-07-30,13.4927
2021-06-30,13.0208
2021-05-28,12.6909
2021-04-30,12.2328
2021-03-31,11.9645
2021-02-26,11.8403
2021-01-29,11.5959
2020-12-31,11.3425
2020-11-30,11.8267
2020-10-30,12.6447
2020-09-30,14.2849
2020-08-31,15.6076
2020-07-31,16.6451
2020-06-30,17.5912
2020-05-29,18.3836
2020-04-30,19.4876
2020-03-31,20.4183
2020-02-28,21.4876
2020-01-31,22.2042
2019-12-31,22.7821
2019-11-29,23.0635
2019-10-31,23.7280
2019-09-30,24.0154
2019-08-30,25.0655
2019-07-31,26.6544
2019-06-28,28.5240
2019-05-31,30.9349
2019-04-30,33.6379
2019-03-29,35.3120
2019-02-28,36.7388
2019-01-31,37.7552
2018-12-31,38.4589
2018-11-30,39.3603
2018-10-31,39.7939
2018-09-28,39.7047
2018-08-31,38.7557
2018-07-31,37.4839
2018-06-29,36.2106
2018-05-31,34.9505
2018-04-30,34.0868
2018-03-29,33.5137
2018-02-28,33.0910
2018-01-31,33.0638
2017-12-29,33.3784
2017-11-30,33.7842
2017-10-31,34.1829
2017-09-29,34.4835
2017-08-31,34.6266
2017-07-31,34.7526
2017-06-30,35.1293
2017-05-31,35.1691
2017-04-28,35.1251
2017-03-31,34.9835
2017-02-28,34.2735
2017-01-31,33.8345
2016-12-30,33.1718
2016-11-30,32.3277
2016-10-31,31.8021
2016-09-30,31.8806
2016-08-31,31.8326
2016-07-29,32.1274
2016-06-30,32.5381
2016-05-31,33.2160
2016-04-29,33.9473
2016-03-31,34.9513
2016-02-29,36.4738
2016-01-29,38.6936
2015-12-31,40.1962
2015-11-30,41.9638
2015-10-30,43.4163
2015-09-30,45.8519
2015-08-31,48.3827
2015-07-31,51.0274
2015-06-30,54.0038
2015-05-29,57.3002
2015-04-30,60.0695
2015-03-31,62.4768
2015-02-27,64.4834
2015-01-30,65.8652
2014-12-31,67.1866
2014-11-28,67.4089
2014-10-31,67.3719
2014-09-30,67.1914
2014-08-29,66.8355
2014-07-31,65.5631
2014-06-30,64.5298
2014-05-30,63.0537
2014-04-30,62.0548
2014-03-31,61.2239
2014-02-28,60.5369
2014-01-31,59.5336
2013-12-31,59.1334
2013-11-29,58.1511
2013-10-31,57.5083
2013-09-30,56.4315
2013-08-30,55.5864
2013-07-31,55.4941
2013-06-28,56.2397
2013-05-31,56.9739
2013-04-30,57.1029
2013-03-28,57.0139
2013-02-28,56.6583
2013-01-31,57.2334
2012-12-31,57.6242
2012-11-30,58.7068
2012-10-31,59.1293
2012-09-28,58.6512
2012-08-31,57.9578
2012-07-31,57.3386
2012-06-29,55.6502
2012-05-31,55.7485
2012-04-30,56.8095
2012-03-30,56.9733
2012-02-29,56.3926
2012-01-31,55.9025
2011-12-30,56.2893
2011-11-30,57.1634
2011-10-31,57.3004
2011-09-30,56.9548
2011-08-31,57.7171
2011-07-29,56.7255
2011-06-30,53.8710
2011-05-31,50.6594
2011-04-29,48.0187
2011-03-31,44.5800
2011-02-28,41.3253
2011-01-31,38.5150
2010-12-31,35.8807
2010-11-30,33.9848
2010-10-29,32.3650
2010-09-30,31.5821
2010-08-31,31.4431
2010-07-30,31.6096
2010-06-30,31.8188
2010-05-28,31.9899
2010-04-30,31.7435
2010-03-31,30.7895
2010-02-26,30.5554
2010-01-29,29.4725
2009-12-31,28.4704
2009-11-30,27.0706
2009-10-30,25.7319
2009-09-30,24.4788
2009-08-31,23.3552
2009-07-31,22.8661
2009-06-30,23.9481
2009-05-29,27.0577
2009-04-30,30.0871
2009-03-31,34.5119
2009-02-27,38.6467
2009-01-30,41.8056
2008-12-31,44.2239
2008-11-28,47.0905
2008-10-31,49.5066
2008-09-30,52.8055
2008-08-29,54.1624
2008-07-31,54.1253
2008-06-30,53.6422
2008-05-30,51.7705
2008-04-30,50.0090
2008-03-31,48.7725
2008-02-29,47.9279
2008-01-31,46.4231
2007-12-31,44.8100
2007-11-30,41.8843
2007-10-31,39.0200
2007-09-28,35.7907
2007-08-31,32.8382
2007-07-31,30.2790
2007-06-29,27.9485
2007-05-31,26.4743
2007-04-30,25.4366
2007-03-30,24.6216
2007-02-28,24.1775
2007-01-31,24.1521
2006-12-29,24.2839
2006-11-30,24.2725
2006-10-31,24.6344
2006-09-29,24.7215
2006-08-31,24.7999
2006-07-31,24.6927
2006-06-30,24.6458
2006-05-31,24.6795
2006-04-28,24.1604
2006-03-31,23.3492
2006-02-28,22.6253
2006-01-31,21.8250
2005-12-30,20.7131
2005-11-30,20.0559
2005-10-31,19.1572
2005-09-30,18.1282
2005-08-31,17.0076
2005-07-29,15.8529
2005-06-30,15.1151
2005-05-31,14.4473
2005-04-29,14.0100
2005-03-31,13.6977
2005-02-28,12.9776
2005-01-31,12.3182
2004-12-31,11.9926
2004-11-30,11.7813
2004-10-29,11.3842
2004-09-30,10.9545
2004-08-31,10.4389
2004-07-30,10.0289
2004-06-30,9.4493
2004-05-28,8.9984
2004-04-30,8.6471
2004-03-31,8.4230
2004-02-27,8.2731
2004-01-30,7.9429
2003-12-31,7.8173
2003-11-28,7.8226
2003-10-31,7.8676
2003-09-30,7.9725
2003-08-29,8.1091
2003-07-31,8.1572
2003-06-30,8.1943
2003-05-30,8.0777
2003-04-30,7.8112
2003-03-31,7.8135
2003-02-28,7.9327
2003-01-31,8.0868
2002-12-31,8.2723
2002-11-29,8.2371
2002-10-31,8.1349
2002-09-30,8.1258
2002-08-30,8.0258
2002-07-31,8.0107
2002-06-28,7.9055
2002-05-31,7.6969
2002-04-30,7.4493
2002-03-28,7.4580
2002-02-28,7.8051
2002-01-31,8.5108
2001-12-31,9.1006
2001-11-30,9.6908
2001-10-31,10.4385
2001-09-28,11.2021
2001-08-31,11.8601
2001-07-31,12.3791
2001-06-29,12.8429
2001-05-31,13.1416
2001-04-30,13.0848
2001-03-30,12.8326
2001-02-28,12.5605
2001-01-31,12.0963
2000-12-29,11.8839
2000-11-30,11.3373
2000-10-31,10.8402
2000-09-29,10.3268
