,SMA_monthly_10
2022-04-04,17.9994
2022-03-31,17.7195
2022-02-28,17.5530
2022-01-31,17.2020
2021-12-31,16.9814
2021-11-30,16.9372
2021-10-29,16.5597
2021-09-30,16.0861
2021-08-31,15.5478
2021-07-30,14.9477
2021-06-30,14.3689
2021-05-28,13.6931
2021-04-30,12.8654
2021-03-31,12.1682
2021-02-26,11.4996
2021-01-29,10.9407
2020-12-31,10.6281
2020-11-30,10.6672
2020-10-30,10.8856
2020-09-30,11.3845
2020-08-31,11.8979
2020-07-31,12.3568
2020-06-30,12.7339
2020-05-29,12.9439
2020-04-30,13.3460
2020-03-31,13.6504
2020-02-28,13.9960
2020-01-31,14.2439
2019-12-31,14.2738
2019-11-29,14.3012
2019-10-31,14.2450
2019-09-30,14.0363
2019-08-30,14.0978
2019-07-31,14.1687
2019-06-28,14.1673
2019-05-31,14.2677
2019-04-30,14.4676
2019-03-29,14.4732
2019-02-28,14.5946
2019-01-31,14.5917
2018-12-31,14.7244
2018-11-30,15.0789
2018-10-31,15.2694
2018-09-28,15.4685
2018-08-31,15.5852
2018-07-31,15.5546
2018-06-29,15.4912
2018-05-31,15.3367
2018-04-30,15.2157
2018-03-29,15.1086
2018-02-28,14.8972
2018-01-31,14.7187
2017-12-29,14.5410
2017-11-30,14.5375
2017-10-31,14.4715
2017-09-29,14.4701
2017-08-31,14.4744
2017-07-31,14.3995
2017-06-30,14.2179
2017-05-31,14.0663
2017-04-28,13.9172
2017-03-31,13.6434
2017-02-28,13.4194
2017-01-31,13.0859
2016-12-30,12.8086
2016-11-30,12.3952
2016-10-31,12.0140
2016-09-30,11.9516
2016-08-31,11.9810
2016-07-29,11.9159
2016-06-30,11.9072
2016-05-31,11.9340
2016-04-29,11.9239
2016-03-31,11.9262
2016-02-29,11.8600
2016-01-29,11.8616
2015-12-31,11.8761
2015-11-30,11.7634
2015-10-30,11.5272
2015-09-30,11.4203
2015-08-31,11.3135
2015-07-31,11.2117
2015-06-30,11.0292
2015-05-29,10.8983
2015-04-30,10.7848
2015-03-31,10.7394
2015-02-27,10.6428
2015-01-30,10.5449
2014-12-31,10.5549
2014-11-28,10.4470
2014-10-31,10.3710
2014-09-30,10.3587
2014-08-29,10.3706
2014-07-31,10.2990
2014-06-30,10.2434
2014-05-30,10.1422
2014-04-30,10.1515
2014-03-31,10.1492
2014-02-28,10.0407
2014-01-31,9.9396
2013-12-31,9.8421
2013-11-29,9.6712
2013-10-31,9.4465
2013-09-30,9.2450
2013-08-30,9.0649
2013-07-31,8.8853
2013-06-28,8.6488
2013-05-31,8.4191
2013-04-30,8.2324
2013-03-28,8.0869
2013-02-28,7.9362
2013-01-31,7.8518
2012-12-31,7.8672
2012-11-30,7.8677
2012-10-31,7.8450
2012-09-28,7.8558
2012-08-31,7.8448
2012-07-31,7.8637
2012-06-29,7.8225
2012-05-31,7.8037
2012-04-30,7.8414
2012-03-30,7.8712
2012-02-29,7.8480
2012-01-31,7.8868
2011-12-30,7.8648
2011-11-30,7.8563
2011-10-31,7.8565
2011-09-30,7.8946
2011-08-31,7.9290
2011-07-29,7.9361
2011-06-30,7.9231
2011-05-31,7.8501
2011-04-29,7.8501
2011-03-31,7.8000
2011-02-28,7.8547
2011-01-31,7.9638
2010-12-31,8.0861
2010-11-30,8.1592
2010-10-29,8.3538
2010-09-30,8.5753
2010-08-31,8.7356
2010-07-30,8.9041
2010-06-30,8.9698
2010-05-28,9.0934
2010-04-30,9.1998
2010-03-31,9.1403
2010-02-26,9.1251
2010-01-29,9.0923
2009-12-31,9.1580
2009-11-30,9.1710
2009-10-30,9.1490
2009-09-30,9.2154
2009-08-31,9.3857
2009-07-31,9.4402
2009-06-30,9.5716
2009-05-29,9.7052
2009-04-30,9.7461
2009-03-31,9.7140
2009-02-27,9.6096
2009-01-30,9.5603
2008-12-31,9.5801
2008-11-28,9.5022
2008-10-31,9.3572
2008-09-30,9.3401
2008-08-29,9.1914
2008-07-31,9.1589
2008-06-30,9.1443
2008-05-30,9.2341
2008-04-30,9.1906
2008-03-31,9.2010
2008-02-29,9.3303
2008-01-31,9.4691
2007-12-31,9.6639
2007-11-30,9.8176
2007-10-31,10.0305
2007-09-28,10.1848
2007-08-31,10.3720
2007-07-31,10.4417
2007-06-29,10.5612
2007-05-31,10.5177
2007-04-30,10.3385
2007-03-30,10.0936
2007-02-28,9.7929
2007-01-31,9.4882
2006-12-29,9.1625
2006-11-30,8.8082
2006-10-31,8.4487
2006-09-29,8.1890
2006-08-31,7.9637
2006-07-31,7.8496
2006-06-30,7.6595
2006-05-31,7.5620
2006-04-28,7.5065
2006-03-31,7.4243
2006-02-28,7.3023
2006-01-31,7.2094
2005-12-30,7.1084
2005-11-30,6.9597
2005-10-31,6.7921
2005-09-30,6.6229
2005-08-31,6.5496
2005-07-29,6.4288
2005-06-30,6.2325
2005-05-31,6.0247
2005-04-29,5.8398
2005-03-31,5.6597
2005-02-28,5.5065
2005-01-31,5.3385
2004-12-31,5.2269
2004-11-30,5.0752
2004-10-29,4.8389
2004-09-30,4.5804
2004-08-31,4.3520
2004-07-30,4.1695
2004-06-30,3.9788
2004-05-28,3.7971
2004-04-30,3.5888
2004-03-31,3.4405
2004-02-27,3.2457
2004-01-30,3.0481
2003-12-31,2.9075
2003-11-28,2.8292
2003-10-31,2.7497
2003-09-30,2.6608
2003-08-29,2.6052
2003-07-31,2.5427
2003-06-30,2.4705
2003-05-30,2.4158
2003-04-30,2.3778
2003-03-31,2.3613
2003-02-28,2.3684
2003-01-31,2.3658
2002-12-31,2.3450
2002-11-29,2.3142
2002-10-31,2.2725
2002-09-30,2.2296
2002-08-30,2.2108
2002-07-31,2.1776
2002-06-28,2.1358
2002-05-31,2.1146
2002-04-30,2.0868
2002-03-28,2.0444
2002-02-28,2.0246
2002-01-31,2.0122
2001-12-31,2.0332
2001-11-30,2.0703
2001-10-31,2.1001
2001-09-28,2.1240
2001-08-31,2.0987
2001-07-31,2.0508
2001-06-29,2.0041
2001-05-31,1.9776
2001-04-30,1.9380
2001-03-30,1.8930
2001-02-28,1.8453
2001-01-31,1.7827
2000-12-29,1.7313
2000-11-30,1.6738
2000-10-31,1.6708
2000-09-29,1.6679
