,SMA_monthly_10
2022-04-04,64.4120
2022-03-31,63.2143
2022-02-28,62.2275
2022-01-31,61.9111
2021-12-31,61.1405
2021-11-30,59.6864
2021-10-29,58.9514
2021-09-30,58.2668
2021-08-31,57.8180
2021-07-30,57.1082
2021-06-30,56.2571
2021-05-28,55.3487
2021-04-30,54.6071
2021-03-31,53.1258
2021-02-26,52.0652
2021-01-29,51.6374
2020-12-31,50.4185
2020-11-30,49.5721
2020-10-30,49.5053
2020-09-30,49.4371
2020-08-31,49.6569
2020-07-31,50.5441
2020-06-30,50.9699
2020-05-29,51.8439
2020-04-30,52.2805
2020-03-31,52.9001
2020-02-28,54.0145
2020-01-31,54.6574
2019-12-31,54.5487
2019-11-29,54.3576
2019-10-31,53.8048
2019-09-30,52.6607
2019-08-30,51.9342
2019-07-31,51.1786
2019-06-28,50.6685
2019-05-31,49.9280
2019-04-30,49.1647
2019-03-29,48.5485
2019-02-28,47.8107
2019-01-31,47.0965
2018-12-31,46.5973
2018-11-30,46.1234
2018-10-31,45.6425
2018-09-28,45.3493
2018-08-31,45.2104
2018-07-31,44.8183
2018-06-29,44.2426
2018-05-31,43.4528
2018-04-30,42.6473
2018-03-29,41.7477
2018-02-28,41.1400
2018-01-31,40.6588
2017-12-29,39.9051
2017-11-30,39.2833
2017-10-31,38.4197
2017-09-29,37.8567
2017-08-31,37.2989
2017-07-31,36.7913
2017-06-30,36.4254
2017-05-31,36.2659
2017-04-28,36.2472
2017-03-31,36.3500
2017-02-28,36.2417
2017-01-31,36.1455
2016-12-30,36.2755
2016-11-30,36.0419
2016-10-31,35.9469
2016-09-30,35.5787
2016-08-31,35.2289
2016-07-29,35.0136
2016-06-30,34.6016
2016-05-31,33.9563
2016-04-29,33.6087
2016-03-31,32.9611
2016-02-29,32.4632
2016-01-29,32.2749
2015-12-31,32.2255
2015-11-30,32.3647
2015-10-30,32.5507
2015-09-30,32.4645
2015-08-31,32.3089
2015-07-31,32.3015
2015-06-30,31.8708
2015-05-29,31.6111
2015-04-30,30.9516
2015-03-31,30.8028
2015-02-27,30.4577
2015-01-30,30.2845
2014-12-31,29.8510
2014-11-28,29.3765
2014-10-31,28.6555
2014-09-30,27.8739
2014-08-29,27.4256
2014-07-31,27.0540
2014-06-30,26.8087
2014-05-30,26.0738
2014-04-30,25.6050
2014-03-31,24.9034
2014-02-28,24.4150
2014-01-31,24.3224
2013-12-31,24.3132
2013-11-29,24.2496
2013-10-31,24.0639
2013-09-30,23.7775
2013-08-30,23.4718
2013-07-31,23.3669
2013-06-28,23.1723
2013-05-31,22.9983
2013-04-30,22.9331
2013-03-28,22.5600
2013-02-28,22.2347
2013-01-31,22.0578
2012-12-31,21.9439
2012-11-30,21.8585
2012-10-31,21.8044
2012-09-28,21.7945
2012-08-31,21.7465
2012-07-31,21.8110
2012-06-29,21.7436
2012-05-31,21.7552
2012-04-30,21.7903
2012-03-30,21.8208
2012-02-29,21.9220
2012-01-31,21.9486
2011-12-30,21.9617
2011-11-30,21.8487
2011-10-31,21.7466
2011-09-30,21.5531
2011-08-31,21.2965
2011-07-29,21.1093
2011-06-30,21.0615
2011-05-31,20.9274
2011-04-29,20.8197
2011-03-31,20.6994
2011-02-28,20.5565
2011-01-31,20.4528
2010-12-31,20.2023
2010-11-30,19.9841
2010-10-29,19.9054
2010-09-30,19.8953
2010-08-31,19.6997
2010-07-30,19.5015
2010-06-30,19.3445
2010-05-28,19.2807
2010-04-30,19.3304
2010-03-31,19.2967
2010-02-26,19.3612
2010-01-29,19.3113
2009-12-31,19.1848
2009-11-30,18.7391
2009-10-30,18.6860
2009-09-30,18.5862
2009-08-31,18.4678
2009-07-31,18.1943
2009-06-30,18.1465
2009-05-29,18.5376
2009-04-30,19.0549
2009-03-31,19.9359
2009-02-27,20.7234
2009-01-30,21.6442
2008-12-31,22.0944
2008-11-28,22.8960
2008-10-31,23.8397
2008-09-30,25.0098
2008-08-29,25.8185
2008-07-31,26.1734
2008-06-30,26.2503
2008-05-30,25.9838
2008-04-30,25.8661
2008-03-31,25.8151
2008-02-29,25.9958
2008-01-31,25.8976
2007-12-31,25.4786
2007-11-30,24.7486
2007-10-31,23.8862
2007-09-28,23.0097
2007-08-31,22.3585
2007-07-31,21.6380
2007-06-29,20.8885
2007-05-31,20.3217
2007-04-30,19.6677
2007-03-30,19.0479
2007-02-28,18.4433
2007-01-31,18.0572
2006-12-29,17.9281
2006-11-30,17.9473
2006-10-31,17.9652
2006-09-29,18.0285
2006-08-31,18.0125
2006-07-31,17.7719
2006-06-30,17.6421
2006-05-31,17.5390
2006-04-28,17.5102
2006-03-31,17.4169
2006-02-28,17.1309
2006-01-31,16.7835
2005-12-30,16.3320
2005-11-30,15.9964
2005-10-31,15.6893
2005-09-30,15.3521
2005-08-31,14.7580
2005-07-29,14.1372
2005-06-30,13.5233
2005-05-31,12.9811
2005-04-29,12.5101
2005-03-31,11.9968
2005-02-28,11.6212
2005-01-31,11.2742
2004-12-31,11.0766
2004-11-30,10.8947
2004-10-29,10.8881
2004-09-30,10.8769
2004-08-31,10.7833
2004-07-30,10.7070
2004-06-30,10.7433
2004-05-28,10.7488
2004-04-30,10.6759
2004-03-31,10.6206
