,SMA_monthly_10
2022-04-04,638.4960
2022-03-31,624.5090
2022-02-28,604.9100
2022-01-31,591.2040
2021-12-31,577.6590
2021-11-30,559.5640
2021-10-29,546.2950
2021-09-30,530.6120
2021-08-31,521.6970
2021-07-30,508.7130
2021-06-30,507.2300
2021-05-28,513.3690
2021-04-30,526.3330
2021-03-31,540.5680
2021-02-26,554.5350
2021-01-29,562.0660
2020-12-31,560.5110
2020-11-30,556.6570
2020-10-30,538.8480
2020-09-30,522.0400
2020-08-31,502.9620
2020-07-31,471.5970
2020-06-30,436.1300
2020-05-29,402.7700
2020-04-30,371.9650
2020-03-31,350.6770
2020-02-28,332.0200
2020-01-31,321.8770
2019-12-31,329.1450
2019-11-29,334.6710
2019-10-31,340.6980
2019-09-30,347.4200
2019-08-30,356.2450
2019-07-31,361.1640
2019-06-28,371.0920
2019-05-31,380.4670
2019-04-30,387.0960
2019-03-29,387.2810
2019-02-28,376.2510
2019-01-31,363.5450
2018-12-31,355.0540
2018-11-30,349.7480
2018-10-31,349.8480
2018-09-28,353.5200
2018-08-31,349.3020
2018-07-31,348.8890
2018-06-29,356.8000
2018-05-31,371.9910
2018-04-30,391.1210
2018-03-29,409.8670
2018-02-28,421.3370
2018-01-31,428.1420
2017-12-29,430.2280
2017-11-30,429.9820
2017-10-31,429.7250
2017-09-29,426.1720
2017-08-31,419.3840
2017-07-31,404.1960
2017-06-30,395.2360
2017-05-31,385.3770
2017-04-28,381.9830
2017-03-31,378.0570
2017-02-28,379.1990
2017-01-31,379.5200
2016-12-30,379.6350
2016-11-30,381.3280
2016-10-31,385.4130
2016-09-30,405.1980
2016-08-31,419.4460
2016-07-29,435.9300
2016-06-30,439.9320
2016-05-31,456.3590
2016-04-29,471.8320
2016-03-31,485.1740
2016-02-29,500.3860
2016-01-29,507.7300
2015-12-31,510.8690
2015-11-30,497.9660
2015-10-30,485.1820
2015-09-30,470.4680
2015-08-31,465.5650
2015-07-31,453.5870
2015-06-30,434.2730
2015-05-29,418.3055
2015-04-30,398.6715
2015-03-31,381.1725
2015-02-27,366.7205
2015-01-30,355.0255
2014-12-31,343.3875
2014-11-28,335.6125
2014-10-31,322.8605
2014-09-30,311.0125
2014-08-29,304.3465
2014-07-31,298.0610
2014-06-30,297.7260
2014-05-30,293.7100
2014-04-30,290.0200
2014-03-31,282.8190
2014-02-28,276.9790
2014-01-31,265.2430
2013-12-31,254.0243
2013-11-29,243.2003
2013-10-31,231.2083
2013-09-30,219.5553
2013-08-30,205.9233
2013-07-31,195.9223
2013-06-28,184.1823
2013-05-31,176.4993
2013-04-30,165.7763
2013-03-28,155.6843
2013-02-28,151.6090
2013-01-31,148.4350
2012-12-31,142.7030
2012-11-30,136.0750
2012-10-31,127.5060
2012-09-28,118.8190
2012-08-31,109.4950
2012-07-31,100.2200
2012-06-29,92.5750
2012-05-31,87.0560
2012-04-30,78.7970
2012-03-30,70.9420
2012-02-29,65.2820
2012-01-31,59.9070
2011-12-30,55.3150
2011-11-30,53.3990
2011-10-31,50.8250
2011-09-30,48.5780
2011-08-31,45.6400
2011-07-29,42.3480
2011-06-30,39.7820
2011-05-31,36.3090
2011-04-29,32.7260
2011-03-31,29.8540
2011-02-28,28.2170
2011-01-31,27.1430
2010-12-31,26.4240
2010-11-30,25.5870
2010-10-29,25.3710
2010-09-30,25.1780
2010-08-31,24.2730
2010-07-30,23.6450
2010-06-30,23.1560
2010-05-28,23.1970
2010-04-30,22.4880
2010-03-31,21.7270
2010-02-26,20.6050
2010-01-29,19.4850
2009-12-31,18.2050
2009-11-30,17.2120
2009-10-30,17.1250
2009-09-30,17.3910
2009-08-31,17.0070
2009-07-31,16.6640
2009-06-30,16.6990
2009-05-29,17.0790
2009-04-30,17.7410
2009-03-31,17.8590
2009-02-27,18.4630
2009-01-30,19.0000
2008-12-31,19.1710
2008-11-28,19.3120
2008-10-31,19.7940
2008-09-30,20.2790
2008-08-29,20.2740
2008-07-31,20.3020
2008-06-30,19.8930
2008-05-30,20.3950
2008-04-30,19.8940
2008-03-31,19.7240
2008-02-29,20.0490
2008-01-31,20.7920
2007-12-31,20.9260
2007-11-30,20.4950
2007-10-31,20.3060
2007-09-28,20.1130
2007-08-31,20.4840
2007-07-31,20.5430
2007-06-29,20.6230
2007-05-31,20.4190
2007-04-30,19.5410
2007-03-30,18.1030
2007-02-28,17.2350
2007-01-31,16.7030
2006-12-29,16.3770
2006-11-30,16.0070
2006-10-31,15.3790
2006-09-29,14.9640
2006-08-31,14.5120
2006-07-31,14.1750
2006-06-30,13.7580
2006-05-31,13.2230
