,SMA_monthly_10
2022-04-04,21.7604
2022-03-31,21.5843
2022-02-28,21.6293
2022-01-31,21.3436
2021-12-31,21.0714
2021-11-30,20.8943
2021-10-29,20.2911
2021-09-30,19.5107
2021-08-31,18.8679
2021-07-30,18.1407
2021-06-30,17.3601
2021-05-28,16.4768
2021-04-30,15.2276
2021-03-31,14.1591
2021-02-26,13.2063
2021-01-29,12.2197
2020-12-31,11.4160
2020-11-30,11.1071
2020-10-30,11.0826
2020-09-30,11.3922
2020-08-31,11.8085
2020-07-31,12.1875
2020-06-30,12.6068
2020-05-29,12.8786
2020-04-30,13.2632
2020-03-31,13.6105
2020-02-28,14.0111
2020-01-31,14.1542
2019-12-31,13.9858
2019-11-29,13.8588
2019-10-31,13.6848
2019-09-30,13.4018
2019-08-30,13.4026
2019-07-31,13.5721
2019-06-28,13.7445
2019-05-31,14.0913
2019-04-30,14.4765
2019-03-29,14.6377
2019-02-28,14.9547
2019-01-31,15.1239
2018-12-31,15.3915
2018-11-30,15.8817
2018-10-31,16.0979
2018-09-28,16.1005
2018-08-31,15.9151
2018-07-31,15.5492
2018-06-29,15.2359
2018-05-31,14.8906
2018-04-30,14.5544
2018-03-29,14.1818
2018-02-28,13.7453
2018-01-31,13.2370
2017-12-29,12.8103
2017-11-30,12.6090
2017-10-31,12.4021
2017-09-29,12.2862
2017-08-31,12.1175
2017-07-31,11.8152
2017-06-30,11.4007
2017-05-31,10.9857
2017-04-28,10.5781
2017-03-31,10.1231
2017-02-28,9.7067
2017-01-31,9.1958
2016-12-30,8.6306
2016-11-30,8.0376
2016-10-31,7.5682
2016-09-30,7.4584
2016-08-31,7.4584
2016-07-29,7.3908
2016-06-30,7.3622
2016-05-31,7.4310
2016-04-29,7.4601
2016-03-31,7.5241
2016-02-29,7.6884
2016-01-29,7.8638
2015-12-31,7.9592
2015-11-30,7.9415
2015-10-30,7.8116
2015-09-30,7.8958
2015-08-31,7.9644
2015-07-31,7.9794
2015-06-30,7.9382
2015-05-29,7.9043
2015-04-30,7.8961
