,SMA_monthly_10
2022-04-04,129.3943
2022-03-31,128.5972
2022-02-28,128.0868
2022-01-31,127.3334
2021-12-31,125.6673
2021-11-30,123.0626
2021-10-29,121.7257
2021-09-30,120.7629
2021-08-31,120.2331
2021-07-30,118.7811
2021-06-30,117.0106
2021-05-28,115.8362
2021-04-30,113.1811
2021-03-31,110.4991
2021-02-26,109.0206
2021-01-29,108.9628
2020-12-31,108.1971
2020-11-30,106.7553
2020-10-30,105.1386
2020-09-30,104.1342
2020-08-31,102.9020
2020-07-31,101.1969
2020-06-30,101.0108
2020-05-29,100.7105
2020-04-30,100.1190
2020-03-31,99.8855
2020-02-28,100.6057
2020-01-31,102.1027
2019-12-31,103.0608
2019-11-29,103.0036
2019-10-31,102.6833
2019-09-30,101.3592
2019-08-30,100.6307
2019-07-31,100.6241
2019-06-28,99.6251
2019-05-31,98.3277
2019-04-30,97.0652
2019-03-29,95.4554
2019-02-28,94.4070
2019-01-31,94.8430
2018-12-31,96.3320
2018-11-30,99.0550
2018-10-31,100.7590
2018-09-28,101.9582
2018-08-31,103.0043
2018-07-31,102.9764
2018-06-29,102.2304
2018-05-31,101.7942
2018-04-30,102.7854
2018-03-29,102.9491
2018-02-28,103.0594
2018-01-31,102.8034
2017-12-29,102.9448
2017-11-30,104.2380
2017-10-31,105.6264
2017-09-29,107.3513
2017-08-31,108.9930
2017-07-31,111.0461
2017-06-30,112.0307
2017-05-31,113.8582
2017-04-28,115.8512
2017-03-31,117.8591
2017-02-28,117.5163
2017-01-31,116.0156
2016-12-30,115.3274
2016-11-30,115.1157
2016-10-31,115.0919
2016-09-30,114.2532
2016-08-31,112.8731
2016-07-29,110.5832
2016-06-30,107.0263
2016-05-31,103.9211
2016-04-29,102.2300
2016-03-31,100.5059
2016-02-29,99.3820
2016-01-29,98.1790
2015-12-31,96.9535
2015-11-30,96.1150
2015-10-30,94.4011
2015-09-30,92.8855
2015-08-31,91.7762
2015-07-31,90.4269
2015-06-30,89.2295
2015-05-29,88.5988
2015-04-30,86.8345
2015-03-31,85.9029
2015-02-27,84.6652
2015-01-30,82.9330
2014-12-31,82.3020
2014-11-28,82.0724
2014-10-31,81.3728
2014-09-30,81.1889
2014-08-29,81.4634
2014-07-31,81.9541
2014-06-30,82.2450
2014-05-30,82.0617
2014-04-30,82.6627
2014-03-31,83.0467
2014-02-28,83.2120
2014-01-31,83.2933
2013-12-31,83.3931
2013-11-29,82.6094
2013-10-31,81.2100
2013-09-30,79.1124
2013-08-30,77.6806
2013-07-31,75.8994
2013-06-28,73.7097
2013-05-31,72.1567
2013-04-30,70.1002
2013-03-28,67.8054
2013-02-28,65.9121
2013-01-31,64.5221
2012-12-31,63.8312
2012-11-30,62.8632
2012-10-31,61.9505
2012-09-28,61.2528
2012-08-31,60.3338
2012-07-31,59.5646
2012-06-29,59.1585
2012-05-31,58.7906
2012-04-30,58.7461
2012-03-30,58.3909
2012-02-29,58.1171
2012-01-31,57.9569
2011-12-30,57.2911
2011-11-30,56.4804
2011-10-31,55.3035
2011-09-30,54.3431
2011-08-31,53.5177
2011-07-29,52.7998
2011-06-30,51.4004
2011-05-31,49.9609
2011-04-29,48.4942
2011-03-31,47.2895
2011-02-28,45.9933
2011-01-31,45.2880
2010-12-31,45.0572
2010-11-30,44.5240
2010-10-29,44.1726
2010-09-30,43.8964
2010-08-31,43.7041
2010-07-30,43.1778
2010-06-30,42.4845
2010-05-28,41.8268
2010-04-30,41.3509
2010-03-31,40.3772
2010-02-26,38.8606
2010-01-29,37.3003
2009-12-31,35.5858
2009-11-30,33.7385
2009-10-30,32.6317
2009-09-30,31.8844
2009-08-31,31.2587
2009-07-31,30.6037
2009-06-30,30.5634
2009-05-29,30.5341
2009-04-30,30.7372
2009-03-31,30.5130
2009-02-27,31.2101
2009-01-30,31.7140
2008-12-31,31.7174
2008-11-28,31.8835
2008-10-31,31.6121
2008-09-30,31.7150
2008-08-29,31.2445
2008-07-31,31.1117
2008-06-30,31.3479
2008-05-30,32.1964
2008-04-30,32.3061
2008-03-31,33.1056
2008-02-29,33.4902
2008-01-31,33.7037
2007-12-31,34.0591
2007-11-30,33.8901
2007-10-31,33.7224
2007-09-28,33.3644
2007-08-31,32.9832
2007-07-31,32.5425
2007-06-29,32.0067
2007-05-31,31.0264
2007-04-30,30.1541
2007-03-30,29.4206
2007-02-28,28.6451
2007-01-31,27.9530
2006-12-29,27.4304
2006-11-30,26.8371
2006-10-31,26.4900
2006-09-29,26.1332
2006-08-31,25.9209
2006-07-31,25.6728
2006-06-30,25.8535
2006-05-31,25.9813
2006-04-28,26.2801
2006-03-31,26.6912
2006-02-28,27.2452
2006-01-31,27.7831
2005-12-30,28.1386
2005-11-30,28.3973
2005-10-31,28.4138
2005-09-30,28.4492
2005-08-31,28.2238
2005-07-29,27.9763
2005-06-30,27.7485
2005-05-31,27.6490
2005-04-29,27.1246
2005-03-31,26.8638
2005-02-28,26.7358
2005-01-31,26.8560
2004-12-31,27.1654
2004-11-30,27.3239
2004-10-29,27.3330
2004-09-30,27.3386
2004-08-31,27.3860
2004-07-30,27.2058
2004-06-30,27.1898
2004-05-28,26.8414
2004-04-30,26.2822
2004-03-31,25.5332
2004-02-27,24.6299
2004-01-30,23.7626
2003-12-31,23.0640
2003-11-28,22.3992
2003-10-31,22.0094
2003-09-30,21.7454
2003-08-29,21.5349
2003-07-31,21.2673
2003-06-30,21.0427
2003-05-30,20.8073
2003-04-30,20.5297
2003-03-31,20.3775
2003-02-28,20.2530
2003-01-31,20.3485
2002-12-31,20.0800
2002-11-29,19.8885
2002-10-31,19.5554
2002-09-30,19.5698
2002-08-30,19.5694
2002-07-31,19.4767
2002-06-28,19.1032
2002-05-31,18.8291
2002-04-30,18.5438
2002-03-28,18.0131
2002-02-28,17.4786
2002-01-31,16.9341
2001-12-31,16.5714
2001-11-30,15.9971
2001-10-31,15.3531
2001-09-28,15.0077
2001-08-31,14.8916
2001-07-31,14.5308
2001-06-29,14.3432
2001-05-31,13.9333
2001-04-30,13.5037
2001-03-30,13.0874
2001-02-28,12.5779
2001-01-31,11.9870
2000-12-29,11.5861
2000-11-30,10.9497
2000-10-31,10.5463
2000-09-29,10.3627
