,SMA_monthly_10
2022-04-04,209.2113
2022-03-31,210.2737
2022-02-28,214.7083
2022-01-31,216.8880
2021-12-31,218.7316
2021-11-30,217.1694
2021-10-29,214.1799
2021-09-30,210.7300
2021-08-31,207.1726
2021-07-30,200.1503
2021-06-30,192.9355
2021-05-28,185.2958
2021-04-30,174.2644
2021-03-31,164.3140
2021-02-26,154.1898
2021-01-29,146.7208
2020-12-31,139.5827
2020-11-30,136.7121
2020-10-30,134.6948
2020-09-30,135.4843
2020-08-31,136.4331
2020-07-31,137.3785
2020-06-30,138.0814
2020-05-29,138.7525
2020-04-30,140.5446
2020-03-31,143.5911
2020-02-28,147.7705
2020-01-31,149.5959
2019-12-31,149.0238
2019-11-29,147.8527
2019-10-31,147.9881
2019-09-30,146.1144
2019-08-30,146.7403
2019-07-31,146.8901
2019-06-28,149.4730
2019-05-31,150.2207
2019-04-30,151.1427
2019-03-29,150.2029
2019-02-28,149.1772
2019-01-31,147.5242
2018-12-31,145.6144
2018-11-30,146.5872
2018-10-31,146.7223
2018-09-28,148.3382
2018-08-31,146.8054
2018-07-31,144.7738
2018-06-29,142.6870
2018-05-31,141.2780
2018-04-30,141.5716
2018-03-29,142.5091
2018-02-28,143.5656
2018-01-31,144.1008
2017-12-29,143.6493
2017-11-30,143.0175
2017-10-31,143.8094
2017-09-29,144.8169
2017-08-31,146.2499
2017-07-31,146.5967
2017-06-30,146.2261
2017-05-31,145.6339
2017-04-28,145.0020
2017-03-31,143.9684
2017-02-28,143.1840
2017-01-31,142.0365
2016-12-30,139.7035
2016-11-30,137.2014
2016-10-31,136.4741
2016-09-30,137.8199
2016-08-31,139.4175
2016-07-29,140.3010
2016-06-30,139.6032
2016-05-31,139.6133
2016-04-29,139.6617
2016-03-31,139.5055
2016-02-29,139.2168
2016-01-29,139.4550
2015-12-31,138.0637
2015-11-30,135.8290
2015-10-30,132.2402
2015-09-30,129.5940
2015-08-31,128.1218
2015-07-31,125.5674
2015-06-30,121.6797
2015-05-29,118.6016
2015-04-30,115.4146
2015-03-31,112.6333
2015-02-27,109.9598
2015-01-30,107.1261
2014-12-31,105.3692
2014-11-28,103.1559
2014-10-31,100.0102
2014-09-30,97.9731
2014-08-29,96.5959
2014-07-31,94.6758
2014-06-30,92.8129
2014-05-30,90.5968
2014-04-30,88.5604
2014-03-31,86.2117
2014-02-28,84.2198
2014-01-31,81.8994
2013-12-31,80.3402
2013-11-29,77.7872
2013-10-31,75.5484
2013-09-30,73.3537
2013-08-30,71.5805
2013-07-31,70.0955
2013-06-28,68.0864
2013-05-31,66.3330
2013-04-30,64.2740
2013-03-28,62.2001
2013-02-28,60.2752
2013-01-31,58.6898
2012-12-31,56.9466
2012-11-30,55.3848
2012-10-31,53.3828
2012-09-28,51.1100
2012-08-31,49.3434
2012-07-31,47.9444
2012-06-29,45.9596
2012-05-31,45.1163
2012-04-30,44.7033
2012-03-30,44.6041
2012-02-29,44.4599
2012-01-31,44.3927
2011-12-30,44.5921
2011-11-30,45.0602
2011-10-31,45.3849
2011-09-30,45.5401
2011-08-31,46.1543
2011-07-29,45.9033
2011-06-30,45.0109
2011-05-31,43.2516
2011-04-29,41.9118
2011-03-31,40.1875
2011-02-28,38.8572
2011-01-31,38.0231
2010-12-31,36.9010
2010-11-30,35.6957
2010-10-29,34.6533
2010-09-30,33.8954
2010-08-31,33.0198
2010-07-30,32.5676
2010-06-30,31.7336
2010-05-28,31.3901
2010-04-30,30.6381
2010-03-31,29.0760
2010-02-26,28.0734
2010-01-29,27.3420
2009-12-31,26.0738
2009-11-30,24.5855
2009-10-30,24.0390
2009-09-30,24.1697
2009-08-31,24.1882
2009-07-31,24.0537
2009-06-30,25.2282
2009-05-29,27.2479
2009-04-30,29.0097
2009-03-31,30.2733
2009-02-27,32.9274
2009-01-30,35.4824
2008-12-31,36.9497
2008-11-28,37.6648
2008-10-31,38.5483
2008-09-30,39.3248
2008-08-29,38.9896
2008-07-31,38.3799
2008-06-30,37.8233
2008-05-30,37.5403
2008-04-30,36.7507
2008-03-31,36.0433
2008-02-29,36.2088
2008-01-31,36.4532
2007-12-31,36.3204
2007-11-30,36.3913
2007-10-31,36.2656
2007-09-28,36.0523
2007-08-31,35.8508
2007-07-31,35.6374
2007-06-29,35.0287
2007-05-31,34.4904
2007-04-30,33.5589
2007-03-30,32.5048
2007-02-28,32.0098
2007-01-31,31.3284
2006-12-29,30.5618
2006-11-30,29.8914
2006-10-31,29.2959
2006-09-29,28.5749
2006-08-31,28.0157
2006-07-31,27.4062
2006-06-30,26.9416
2006-05-31,26.5458
2006-04-28,26.1111
2006-03-31,25.5605
2006-02-28,25.2596
2006-01-31,24.7949
2005-12-30,24.1719
2005-11-30,23.8154
2005-10-31,23.4563
2005-09-30,23.2916
2005-08-31,22.9351
2005-07-29,22.4553
2005-06-30,21.7908
2005-05-31,21.5694
2005-04-29,21.3398
2005-03-31,21.3134
2005-02-28,21.3858
2005-01-31,21.3624
2004-12-31,21.2601
2004-11-30,21.0514
2004-10-29,20.9555
2004-09-30,21.0965
2004-08-31,21.2143
2004-07-30,20.9909
2004-06-30,20.6522
2004-05-28,20.3378
2004-04-30,19.9263
2004-03-31,19.5674
2004-02-27,19.3914
2004-01-30,19.1546
2003-12-31,18.6984
2003-11-28,18.1857
2003-10-31,17.8339
2003-09-30,17.7066
2003-08-29,17.8036
2003-07-31,17.5220
2003-06-30,17.1407
2003-05-30,17.0431
2003-04-30,16.7743
2003-03-31,16.7442
2003-02-28,17.1238
2003-01-31,17.4789
2002-12-31,17.9632
2002-11-29,18.3078
2002-10-31,18.4086
2002-09-30,18.8336
2002-08-30,19.3063
2002-07-31,19.1608
2002-06-28,18.8306
2002-05-31,18.5337
2002-04-30,18.1967
2002-03-28,17.6995
2002-02-28,17.3346
2002-01-31,16.9435
2001-12-31,16.6883
2001-11-30,16.3193
2001-10-31,16.1514
2001-09-28,16.1772
2001-08-31,16.3562
2001-07-31,16.3093
2001-06-29,16.0679
2001-05-31,16.4204
2001-04-30,16.4447
2001-03-30,16.2636
2001-02-28,16.0435
2001-01-31,15.8807
2000-12-29,15.6463
2000-11-30,15.2559
2000-10-31,15.2558
2000-09-29,15.2746
