,SMA_monthly_10
2022-04-04,482.8350
2022-03-31,483.6460
2022-02-28,479.4730
2022-01-31,479.1330
2021-12-31,474.2060
2021-11-30,466.7530
2021-10-29,457.1340
2021-09-30,446.4640
2021-08-31,443.3590
2021-07-30,433.2270
2021-06-30,418.8190
2021-05-28,408.1130
2021-04-30,403.5220
2021-03-31,395.7240
2021-02-26,390.8020
2021-01-29,376.5290
2020-12-31,363.9060
2020-11-30,351.5890
2020-10-30,341.1970
2020-09-30,332.7610
2020-08-31,326.9220
2020-07-31,319.2430
2020-06-30,309.7680
2020-05-29,300.7340
2020-04-30,286.5380
2020-03-31,276.0710
2020-02-28,267.7500
2020-01-31,259.6060
2019-12-31,247.6780
2019-11-29,238.1550
2019-10-31,228.0570
2019-09-30,219.7870
2019-08-30,212.8130
2019-07-31,208.3250
2019-06-28,209.4960
2019-05-31,212.5890
2019-04-30,213.7530
2019-03-29,212.7720
2019-02-28,215.4940
2019-01-31,216.9070
2018-12-31,219.0840
2018-11-30,220.8130
2018-10-31,221.6880
2018-09-28,218.2270
2018-08-31,212.0130
2018-07-31,205.0470
2018-06-29,199.9800
2018-05-31,195.0500
2018-04-30,189.0690
2018-03-29,184.7440
2018-02-28,180.7360
2018-01-31,176.7840
2017-12-29,172.0890
2017-11-30,169.5490
2017-10-31,165.8590
2017-09-29,162.4070
2017-08-31,159.8650
2017-07-31,158.6250
2017-06-30,158.5670
2017-05-31,157.3950
2017-04-28,156.6090
2017-03-31,156.9210
2017-02-28,156.7940
2017-01-31,156.2700
2016-12-30,154.5290
2016-11-30,152.2840
2016-10-31,153.1000
2016-09-30,154.4920
2016-08-31,155.2130
2016-07-29,155.8540
2016-06-30,154.4830
2016-05-31,151.6160
2016-04-29,150.2410
2016-03-31,148.5380
2016-02-29,147.8250
2016-01-29,147.9880
2015-12-31,144.3350
2015-11-30,138.8400
2015-10-30,131.6040
2015-09-30,125.5120
2015-08-31,121.4390
2015-07-31,118.8270
2015-06-30,113.7130
2015-05-29,109.6810
2015-04-30,106.6060
2015-03-31,103.5320
2015-02-27,99.2920
2015-01-30,95.5200
2014-12-31,93.2800
2014-11-28,91.7140
2014-10-31,91.4010
2014-09-30,90.4220
2014-08-29,91.8430
2014-07-31,92.6080
2014-06-30,92.2820
2014-05-30,90.5500
2014-04-30,90.1990
2014-03-31,88.8890
2014-02-28,87.4220
2014-01-31,84.3680
2013-12-31,79.9490
2013-11-29,75.3760
2013-10-31,70.5200
2013-09-30,65.6930
2013-08-30,61.6380
2013-07-31,59.0300
2013-06-28,55.9700
2013-05-31,53.1410
2013-04-30,50.1420
2013-03-28,47.8530
2013-02-28,45.4570
2013-01-31,43.8120
2012-12-31,42.2480
2012-11-30,41.1810
2012-10-31,40.0020
2012-09-28,38.2320
2012-08-31,37.0350
2012-07-31,36.1660
2012-06-29,34.7920
2012-05-31,33.2800
2012-04-30,32.0990
2012-03-30,30.7820
2012-02-29,29.4820
2012-01-31,28.1840
2011-12-30,27.0420
2011-11-30,26.2430
2011-10-31,25.1130
2011-09-30,24.0320
2011-08-31,23.5450
2011-07-29,23.0630
2011-06-30,22.5300
2011-05-31,21.5830
2011-04-29,20.6850
2011-03-31,19.7580
2011-02-28,19.0100
2011-01-31,18.5020
2010-12-31,18.3010
2010-11-30,18.0410
2010-10-29,17.8730
2010-09-30,17.8230
2010-08-31,17.8050
2010-07-30,17.9760
2010-06-30,18.0420
2010-05-28,18.0130
2010-04-30,17.9300
2010-03-31,17.7880
2010-02-26,17.5940
2010-01-29,17.4280
2009-12-31,17.0180
2009-11-30,16.3880
2009-10-30,15.6490
2009-09-30,14.9450
2009-08-31,14.4990
2009-07-31,14.3350
2009-06-30,14.3120
2009-05-29,14.3710
2009-04-30,14.2890
2009-03-31,13.9960
2009-02-27,14.1090
2009-01-30,14.1950
2008-12-31,14.3340
2008-11-28,14.5210
2008-10-31,14.6030
2008-09-30,14.5330
2008-08-29,14.5220
2008-07-31,14.5130
2008-06-30,14.2500
2008-05-30,14.3760
2008-04-30,14.0030
2008-03-31,13.7970
2008-02-29,13.6120
2008-01-31,13.4220
2007-12-31,13.3470
2007-11-30,13.4210
2007-10-31,13.3050
2007-09-28,13.0990
2007-08-31,13.2090
2007-07-31,13.1450
2007-06-29,13.2350
2007-05-31,13.3020
2007-04-30,13.2910
2007-03-30,13.2160
2007-02-28,13.0090
2007-01-31,12.7490
2006-12-29,12.4590
2006-11-30,12.0440
2006-10-31,11.4690
2006-09-29,10.9280
2006-08-31,10.5100
2006-07-31,10.0160
2006-06-30,9.6420
2006-05-31,9.3340
2006-04-28,9.0650
2006-03-31,8.7180
2006-02-28,8.2690
2006-01-31,7.8560
2005-12-30,7.7470
2005-11-30,7.5730
2005-10-31,7.4630
2005-09-30,7.4850
2005-08-31,7.4410
2005-07-29,7.5010
2005-06-30,7.5910
2005-05-31,7.7450
2005-04-29,8.0140
2005-03-31,8.3820
2005-02-28,8.5110
2005-01-31,8.7510
2004-12-31,8.9570
2004-11-30,9.0520
2004-10-29,9.2680
2004-09-30,9.3590
2004-08-31,9.3150
2004-07-30,9.1970
2004-06-30,8.9850
2004-05-28,8.6720
2004-04-30,8.2770
2004-03-31,7.7580
2004-02-27,7.2410
2004-01-30,6.7050
2003-12-31,6.0580
2003-11-28,5.4730
2003-10-31,5.0230
2003-09-30,4.6480
2003-08-29,4.3850
2003-07-31,4.1520
2003-06-30,4.0970
2003-05-30,4.0470
2003-04-30,4.0850
2003-03-31,4.2220
2003-02-28,4.3950
2003-01-31,4.5600
2002-12-31,4.7440
2002-11-29,4.7470
2002-10-31,4.7420
2002-09-30,4.7970
2002-08-30,4.6960
2002-07-31,4.6660
2002-06-28,4.4640
2002-05-31,4.3020
2002-04-30,4.0410
2002-03-28,3.7380
2002-02-28,3.4190
2002-01-31,3.1540
2001-12-31,2.9040
2001-11-30,2.5890
2001-10-31,2.4250
2001-09-28,2.2488
2001-08-31,2.1588
2001-07-31,2.0326
2001-06-29,1.9676
2001-05-31,1.9464
2001-04-30,1.9477
2001-03-30,2.0490
2001-02-28,2.2403
2001-01-31,2.6378
2000-12-29,3.0503
2000-11-30,3.4190
2000-10-31,3.6565
2000-09-29,3.9627
