,SMA_monthly_10
2022-04-04,38.3620
2022-03-31,40.9390
2022-02-28,43.5720
2022-01-31,45.8690
2021-12-31,47.4500
2021-11-30,49.8690
2021-10-29,50.4460
2021-09-30,50.0470
2021-08-31,49.5230
2021-07-30,48.6260
2021-06-30,46.6290
2021-05-28,45.0970
2021-04-30,43.4690
2021-03-31,41.7890
2021-02-26,39.8200
2021-01-29,38.0560
2020-12-31,36.8090
2020-11-30,36.9240
2020-10-30,36.9610
2020-09-30,37.4410
2020-08-31,38.0790
2020-07-31,39.2680
2020-06-30,40.2870
2020-05-29,41.0640
2020-04-30,41.9040
2020-03-31,42.5060
2020-02-28,43.3470
2020-01-31,45.9830
2019-12-31,47.9200
2019-11-29,50.5100
2019-10-31,52.2950
2019-09-30,53.2190
2019-08-30,55.1120
2019-07-31,56.8760
2019-06-28,60.2720
2019-05-31,63.5910
2019-04-30,67.7140
2019-03-29,69.7400
2019-02-28,73.7320
2019-01-31,77.9590
2018-12-31,83.8470
2018-11-30,90.8560
2018-10-31,97.4450
2018-09-28,101.8900
2018-08-31,105.4330
2018-07-31,107.0240
2018-06-29,108.6430
2018-05-31,109.8770
2018-04-30,107.3810
2018-03-29,102.5760
2018-02-28,97.9750
2018-01-31,90.7090
2017-12-29,82.9700
2017-11-30,77.6760
2017-10-31,71.6420
2017-09-29,66.4370
2017-08-31,61.6740
2017-07-31,56.1650
2017-06-30,53.4840
2017-05-31,51.6140
2017-04-28,47.5150
2017-03-31,44.7700
2017-02-28,42.2110
2017-01-31,39.6060
2016-12-30,36.5790
2016-11-30,33.9550
2016-10-31,30.3460
2016-09-30,27.6950
2016-08-31,24.5410
2016-07-29,21.3760
2016-06-30,19.2910
2016-05-31,17.6630
2016-04-29,16.4070
2016-03-31,15.6740
2016-02-29,15.4640
2016-01-29,15.6960
2015-12-31,15.4630
2015-11-30,14.8470
2015-10-30,14.2310
2015-09-30,14.0430
2015-08-31,14.6690
2015-07-31,15.3070
2015-06-30,15.7730
2015-05-29,16.0510
2015-04-30,16.4220
2015-03-31,16.8020
2015-02-27,17.3650
