,SMA_monthly_10
2022-02-14,173.2599
2022-01-31,166.5175
2021-12-31,159.5418
2021-11-30,151.3590
2021-10-29,141.5641
2021-09-30,137.7549
2021-08-31,137.2129
2021-07-30,133.5019
2021-06-30,128.9282
2021-05-28,124.8647
2021-04-30,122.8377
2021-03-31,119.8280
2021-02-26,116.5853
2021-01-29,112.2156
2020-12-31,106.8867
2020-11-30,100.9888
2020-10-30,94.7763
2020-09-30,92.5786
2020-08-31,91.3268
2020-07-31,89.8484
2020-06-30,88.5956
2020-05-29,89.0273
2020-04-30,91.0498
2020-03-31,93.9231
2020-02-28,96.2080
2020-01-31,99.6451
2019-12-31,103.6658
2019-11-29,106.2377
2019-10-31,107.9670
2019-09-30,107.3400
2019-08-30,106.9161
2019-07-31,104.9719
2019-06-28,101.5733
2019-05-31,97.5879
2019-04-30,94.5340
2019-03-29,89.1279
2019-02-28,83.3494
2019-01-31,77.3136
2018-12-31,73.3735
2018-11-30,71.9297
2018-10-31,69.9122
2018-09-28,68.0857
2018-08-31,66.9587
2018-07-31,66.4204
2018-06-29,66.2007
2018-05-31,66.1836
2018-04-30,65.5956
2018-03-29,65.5092
2018-02-28,64.8840
2018-01-31,63.9830
2017-12-29,62.4603
2017-11-30,61.5563
2017-10-31,60.3652
2017-09-29,59.0128
2017-08-31,57.3367
2017-07-31,55.7913
2017-06-30,54.8637
2017-05-31,53.8245
2017-04-28,52.2420
2017-03-31,50.5758
2017-02-28,49.5130
2017-01-31,47.9382
2016-12-30,46.8480
2016-11-30,45.5370
2016-10-31,45.0677
2016-09-30,44.6200
2016-08-31,44.0980
2016-07-29,43.3727
2016-06-30,42.4943
2016-05-31,42.0269
2016-04-29,41.4036
2016-03-31,41.4204
2016-02-29,41.3319
2016-01-29,40.8733
2015-12-31,40.0730
2015-11-30,39.5773
2015-10-30,38.4742
2015-09-30,38.0009
2015-08-31,38.1883
2015-07-31,38.2837
2015-06-30,38.2587
2015-05-29,38.0099
2015-04-30,37.3475
2015-03-31,37.6104
2015-02-27,37.9368
2015-01-30,38.2520
2014-12-31,39.5390
2014-11-28,40.2330
2014-10-31,40.2178
2014-09-30,40.2948
2014-08-29,40.4049
2014-07-31,40.5880
2014-06-30,41.0151
2014-05-30,40.6138
2014-04-30,40.5001
2014-03-31,39.7911
2014-02-28,38.5600
2014-01-31,37.2539
2013-12-31,36.4899
2013-11-29,35.6930
2013-10-31,34.9397
2013-09-30,34.0694
2013-08-30,32.9765
2013-07-31,32.0007
2013-06-28,30.8208
2013-05-31,30.2829
2013-04-30,29.5134
2013-03-28,29.0940
2013-02-28,28.5205
2013-01-31,28.3674
2012-12-31,28.3066
2012-11-30,28.3354
2012-10-31,28.3616
2012-09-28,28.2537
2012-08-31,28.1456
2012-07-31,28.0415
2012-06-29,27.5920
2012-05-31,27.3463
2012-04-30,27.2936
2012-03-30,27.2490
2012-02-29,27.1324
2012-01-31,26.8977
2011-12-30,26.6018
2011-11-30,26.6514
2011-10-31,26.5513
2011-09-30,26.1486
2011-08-31,26.0869
2011-07-29,25.6862
2011-06-30,25.2118
2011-05-31,24.1865
2011-04-29,23.5123
2011-03-31,22.7093
2011-02-28,22.0076
2011-01-31,21.3626
2010-12-31,20.7914
2010-11-30,20.5032
2010-10-29,20.1737
2010-09-30,19.9982
2010-08-31,19.6468
2010-07-30,19.4122
2010-06-30,19.0193
2010-05-28,18.7452
2010-04-30,18.4819
2010-03-31,18.0314
2010-02-26,17.6251
2010-01-29,17.1584
2009-12-31,16.7831
2009-11-30,16.1795
2009-10-30,15.6906
2009-09-30,15.3567
2009-08-31,14.7832
2009-07-31,14.4458
2009-06-30,14.5390
2009-05-29,14.9167
2009-04-30,15.1761
2009-03-31,15.5014
2009-02-27,16.0698
2009-01-30,16.5596
2008-12-31,17.0477
2008-11-28,17.3592
2008-10-31,17.7361
2008-09-30,17.9682
2008-08-29,17.8249
2008-07-31,17.6669
2008-06-30,17.7335
2008-05-30,17.7269
2008-04-30,17.5242
2008-03-31,17.6425
2008-02-29,17.9615
2008-01-31,18.4481
2007-12-31,18.7067
2007-11-30,18.9573
2007-10-31,19.1032
2007-09-28,19.0383
2007-08-31,19.0640
2007-07-31,19.0304
2007-06-29,18.7899
2007-05-31,18.4865
2007-04-30,17.8665
2007-03-30,17.3505
2007-02-28,17.3487
2007-01-31,17.4688
2006-12-29,17.5330
2006-11-30,17.7633
2006-10-31,17.8332
2006-09-29,17.7931
2006-08-31,18.0984
2006-07-31,18.1543
2006-06-30,18.6801
2006-05-31,19.0539
2006-04-28,19.2006
2006-03-31,19.0304
2006-02-28,19.1804
2006-01-31,19.1357
2005-12-30,19.1956
2005-11-30,19.5355
2005-10-31,19.7122
2005-09-30,20.1059
2005-08-31,20.3311
2005-07-29,20.4925
2005-06-30,20.3851
2005-05-31,20.5111
2005-04-29,20.6131
2005-03-31,21.0533
2005-02-28,21.5549
2005-01-31,21.7815
2004-12-31,22.3761
2004-11-30,23.2351
2004-10-29,23.9778
2004-09-30,24.5373
2004-08-31,25.2782
2004-07-30,25.5781
2004-06-30,25.5047
2004-05-28,25.3300
2004-04-30,24.6055
2004-03-31,24.0193
2004-02-27,23.4649
2004-01-30,22.4110
2003-12-31,21.1067
2003-11-28,19.9972
2003-10-31,18.7416
2003-09-30,17.9536
2003-08-29,17.6863
2003-07-31,16.8476
2003-06-30,16.1126
2003-05-30,15.6907
2003-04-30,14.9353
2003-03-31,14.6094
2003-02-28,15.4453
2003-01-31,16.4935
2002-12-31,17.9092
2002-11-29,18.9899
2002-10-31,20.3096
2002-09-30,21.7247
2002-08-30,23.1545
2002-07-31,23.9375
2002-06-28,24.2436
2002-05-31,25.4153
2002-04-30,25.7496
2002-03-28,25.9951
2002-02-28,26.0932
2002-01-31,26.9079
2001-12-31,26.3281
2001-11-30,26.3161
2001-10-31,27.5780
2001-09-28,28.6862
2001-08-31,29.7774
2001-07-31,32.1334
2001-06-29,35.3521
2001-05-31,38.7126
2001-04-30,41.0976
2001-03-30,43.5728
2001-02-28,46.5354
2001-01-31,48.9599
2000-12-29,50.9921
2000-11-30,53.3636
2000-10-31,53.8398
2000-09-29,51.9373
