,SMA_monthly_10
2013-02-07,41.8100
2013-01-31,41.8100
2012-12-31,41.8100
2012-11-30,41.8100
2012-10-31,41.8100
2012-09-28,41.8100
2012-08-31,41.8100
2012-07-31,41.8100
2012-06-29,41.8100
2012-05-31,41.8100
2012-04-30,41.8100
2012-03-30,41.8100
2012-02-29,41.8100
2012-01-31,41.8100
2011-12-30,41.8100
2011-11-30,41.8100
2011-10-31,41.8100
2011-09-30,41.8100
2011-08-31,41.8100
2011-07-29,41.8100
2011-06-30,41.8100
2011-05-31,41.8100
2011-04-29,41.8100
2011-03-31,41.8100
2011-02-28,41.9030
2011-01-31,42.4599
2010-12-31,42.9828
2010-11-30,43.3462
2010-10-29,43.5973
2010-09-30,44.0432
2010-08-31,44.0824
2010-07-30,44.0342
2010-06-30,43.9620
2010-05-28,43.6081
2010-04-30,43.3227
2010-03-31,42.3662
2010-02-26,41.8889
2010-01-29,40.7696
2009-12-31,39.3635
2009-11-30,37.8531
2009-10-30,37.2838
2009-09-30,36.6230
2009-08-31,36.2655
2009-07-31,35.9652
2009-06-30,36.5402
2009-05-29,37.6920
2009-04-30,38.0875
2009-03-31,41.3669
2009-02-27,44.5559
2009-01-30,47.4824
2008-12-31,49.8744
2008-11-28,52.4190
2008-10-31,53.7315
2008-09-30,55.2122
2008-08-29,55.4703
2008-07-31,55.7145
2008-06-30,55.9157
2008-05-30,53.4428
2008-04-30,51.4728
2008-03-31,50.1083
2008-02-29,48.5721
2008-01-31,46.7720
2007-12-31,45.9663
2007-11-30,44.9606
2007-10-31,44.0514
2007-09-28,42.5213
2007-08-31,41.6133
2007-07-31,40.9921
2007-06-29,40.0071
2007-05-31,38.8638
2007-04-30,37.9864
2007-03-30,37.1895
2007-02-28,36.1095
2007-01-31,35.3732
2006-12-29,34.8202
2006-11-30,34.4027
2006-10-31,34.2718
2006-09-29,34.0494
2006-08-31,33.9269
2006-07-31,33.7427
2006-06-30,33.6076
2006-05-31,33.2571
2006-04-28,32.7844
2006-03-31,32.1398
2006-02-28,31.1798
2006-01-31,30.2762
2005-12-30,29.0240
2005-11-30,28.2684
2005-10-31,27.2076
2005-09-30,25.9026
2005-08-31,24.5102
2005-07-29,23.3718
2005-06-30,22.5444
2005-05-31,21.5452
2005-04-29,20.8747
2005-03-31,20.2712
2005-02-28,19.1992
2005-01-31,18.1109
2004-12-31,17.4938
2004-11-30,16.8284
2004-10-29,15.9398
2004-09-30,15.3187
2004-08-31,14.6099
2004-07-30,14.0834
2004-06-30,13.3254
2004-05-28,12.5738
2004-04-30,12.0065
2004-03-31,11.3928
2004-02-27,10.9260
2004-01-30,10.4476
2003-12-31,10.1131
2003-11-28,9.6786
2003-10-31,9.3536
2003-09-30,9.1156
2003-08-29,8.9755
2003-07-31,8.8389
2003-06-30,8.6612
2003-05-30,8.4334
2003-04-30,8.0634
2003-03-31,7.8761
2003-02-28,7.7000
2003-01-31,7.5332
2002-12-31,7.3843
2002-11-29,7.1810
2002-10-31,6.9117
2002-09-30,6.6845
2002-08-30,6.5332
2002-07-31,6.4551
2002-06-28,6.3163
2002-05-31,6.0908
2002-04-30,5.9093
2002-03-28,5.6994
2002-02-28,5.6861
2002-01-31,5.6604
2001-12-31,5.6712
2001-11-30,5.6346
