,TEMA_monthly_10
2022-04-04,134.3509
2022-03-31,138.8812
2022-02-28,143.7833
2022-01-31,149.0106
2021-12-31,153.6031
2021-11-30,146.7412
2021-10-29,142.5967
2021-09-30,142.8482
2021-08-31,147.5495
2021-07-30,149.0168
2021-06-30,146.7333
2021-05-28,140.1770
2021-04-30,131.7791
2021-03-31,121.6266
2021-02-26,104.6534
2021-01-29,88.7384
2020-12-31,78.8660
2020-11-30,70.5981
2020-10-30,60.5298
2020-09-30,61.0048
2020-08-31,61.3589
2020-07-31,60.2234
2020-06-30,56.6514
2020-05-29,53.7660
2020-04-30,52.2096
2020-03-31,54.2308
2020-02-28,59.5823
2020-01-31,59.0899
2019-12-31,58.2081
2019-11-29,54.5366
2019-10-31,50.8504
2019-09-30,47.6627
2019-08-30,45.6090
2019-07-31,43.6542
2019-06-28,39.9307
2019-05-31,37.3180
2019-04-30,37.5591
2019-03-29,34.6525
2019-02-28,33.3736
2019-01-31,32.5642
2018-12-31,31.3005
2018-11-30,33.8444
2018-10-31,34.9987
2018-09-28,39.9473
2018-08-31,43.7654
2018-07-31,46.7131
2018-06-29,47.6500
2018-05-31,50.5649
2018-04-30,51.8441
2018-03-29,54.3898
2018-02-28,54.1204
2018-01-31,52.1678
2017-12-29,51.5555
2017-11-30,51.9155
2017-10-31,51.0304
2017-09-29,47.0782
2017-08-31,43.6413
2017-07-31,42.6717
2017-06-30,41.5148
2017-05-31,41.3845
2017-04-28,37.9778
2017-03-31,36.0282
2017-02-28,33.9510
2017-01-31,32.3178
2016-12-30,30.9690
2016-11-30,29.9908
2016-10-31,28.3652
2016-09-30,27.7659
2016-08-31,25.9986
2016-07-29,23.3941
2016-06-30,21.6799
2016-05-31,20.4872
2016-04-29,18.3672
2016-03-31,17.7174
2016-02-29,16.3077
2016-01-29,15.6843
2015-12-31,15.6275
2015-11-30,14.9749
2015-10-30,14.0358
2015-09-30,14.0601
2015-08-31,15.5085
2015-07-31,16.8927
2015-06-30,18.2962
2015-05-29,19.2794
2015-04-30,20.1942
2015-03-31,21.7999
2015-02-27,22.4323
2015-01-30,21.7706
2014-12-31,22.1049
2014-11-28,21.2404
2014-10-31,20.3945
2014-09-30,20.3016
2014-08-29,20.3583
2014-07-31,19.4366
2014-06-30,19.3225
