,TEMA_monthly_10
2022-04-04,492.1420
2022-03-31,479.5231
2022-02-28,457.2514
2022-01-31,449.3966
2021-12-31,442.8721
2021-11-30,415.9847
2021-10-29,413.4179
2021-09-30,388.4969
2021-08-31,391.5709
2021-07-30,393.4879
2021-06-30,388.3126
2021-05-28,379.8830
2021-04-30,355.0666
2021-03-31,329.0298
2021-02-26,302.7879
2021-01-29,300.7997
2020-12-31,301.1804
2020-11-30,285.0281
2020-10-30,267.5939
2020-09-30,267.1917
2020-08-31,269.2941
2020-07-31,264.4416
2020-06-30,262.3121
2020-05-29,266.2747
2020-04-30,252.3477
2020-03-31,240.8394
2020-02-28,259.4835
2020-01-31,268.2081
2019-12-31,275.7149
2019-11-29,262.6727
2019-10-31,252.6811
2019-09-30,250.9384
2019-08-30,267.4991
2019-07-31,278.5327
2019-06-28,273.0442
2019-05-31,272.5931
2019-04-30,274.7573
2019-03-29,286.9961
2019-02-28,288.6313
2019-01-31,281.4953
2018-12-31,268.3334
2018-11-30,273.8261
2018-10-31,263.5295
2018-09-28,256.4548
2018-08-31,245.8737
2018-07-31,235.7239
2018-06-29,227.4191
2018-05-31,224.0172
2018-04-30,229.3341
2018-03-29,226.9277
2018-02-28,232.6663
2018-01-31,230.2638
2017-12-29,217.3171
2017-11-30,211.3661
2017-10-31,195.4206
2017-09-29,187.1298
2017-08-31,186.1724
2017-07-31,180.2822
2017-06-30,176.7808
2017-05-31,169.3824
2017-04-28,161.5642
2017-03-31,152.0047
2017-02-28,145.1031
2017-01-31,135.1561
2016-12-30,126.8632
2016-11-30,121.0239
2016-10-31,113.6592
2016-09-30,115.9484
2016-08-31,117.4413
2016-07-29,120.4314
2016-06-30,121.1522
2016-05-31,122.3947
2016-04-29,124.2713
2016-03-31,121.8532
2016-02-29,119.5750
2016-01-29,121.9874
2015-12-31,125.8841
2015-11-30,126.2614
2015-10-30,132.8400
2015-09-30,137.0903
2015-08-31,142.5784
2015-07-31,149.9200
2015-06-30,151.9497
2015-05-29,148.0101
2015-04-30,139.3867
2015-03-31,136.0711
2015-02-27,128.2264
2015-01-30,121.1153
2014-12-31,116.9169
2014-11-28,115.7207
2014-10-31,112.2179
2014-09-30,107.1480
2014-08-29,103.3394
2014-07-31,99.3033
2014-06-30,96.8562
2014-05-30,94.0629
2014-04-30,89.2748
2014-03-31,86.3747
2014-02-28,82.3859
2014-01-31,81.7735
2013-12-31,83.2384
2013-11-29,81.1671
2013-10-31,77.6097
2013-09-30,76.7368
2013-08-30,75.7294
2013-07-31,73.1092
2013-06-28,68.5743
2013-05-31,63.7312
2013-04-30,59.4318
2013-03-28,55.3181
2013-02-28,53.1270
2013-01-31,52.5040
2012-12-31,50.0961
2012-11-30,48.9355
2012-10-31,50.4792
2012-09-28,49.7790
2012-08-31,50.8333
2012-07-31,51.6516
2012-06-29,56.8126
2012-05-31,58.4114
2012-04-30,58.8490
2012-03-30,59.2170
2012-02-29,56.2846
2012-01-31,56.8406
2011-12-30,58.4184
2011-11-30,59.6046
2011-10-31,58.9631
2011-09-30,58.8754
2011-08-31,60.7110
2011-07-29,64.5182
2011-06-30,67.4229
2011-05-31,64.9246
2011-04-29,61.3185
2011-03-31,56.4268
2011-02-28,52.9114
2011-01-31,49.5567
2010-12-31,46.9506
2010-11-30,46.0227
2010-10-29,45.2624
2010-09-30,44.9256
2010-08-31,43.1413
2010-07-30,44.4927
2010-06-30,45.9115
2010-05-28,48.9912
2010-04-30,52.0852
2010-03-31,55.0209
2010-02-26,53.0672
2010-01-29,51.2841
2009-12-31,47.3180
2009-11-30,44.3113
2009-10-30,42.1282
2009-09-30,42.9030
2009-08-31,43.5848
2009-07-31,41.3523
2009-06-30,38.0846
2009-05-29,34.2509
2009-04-30,31.1508
2009-03-31,28.9619
2009-02-27,28.7709
2009-01-30,31.1658
2008-12-31,30.8491
2008-11-28,30.4520
2008-10-31,34.0643
2008-09-30,38.0414
2008-08-29,39.9017
2008-07-31,39.7027
2008-06-30,40.1082
2008-05-30,43.9592
2008-04-30,45.5643
2008-03-31,51.8740
2008-02-29,64.7417
2008-01-31,69.1940
2007-12-31,71.1409
2007-11-30,68.5359
2007-10-31,66.6189
2007-09-28,66.5844
2007-08-31,66.6964
2007-07-31,65.9041
2007-06-29,67.8108
2007-05-31,67.9131
2007-04-30,67.1016
2007-03-30,67.2148
2007-02-28,66.1071
2007-01-31,65.3786
2006-12-29,64.8260
2006-11-30,63.7969
2006-10-31,63.9586
2006-09-29,63.8001
2006-08-31,63.1200
2006-07-31,61.8889
2006-06-30,61.7108
2006-05-31,62.4192
2006-04-28,64.1018
2006-03-31,66.8151
2006-02-28,67.0065
2006-01-31,67.4169
2005-12-30,67.7353
2005-11-30,66.1901
2005-10-31,65.2396
2005-09-30,64.6887
2005-08-31,62.8422
2005-07-29,60.6085
2005-06-30,58.9057
2005-05-31,56.6281
2005-04-29,54.6644
2005-03-31,52.8817
2005-02-28,50.5685
2005-01-31,47.7443
2004-12-31,43.4384
2004-11-30,38.7066
2004-10-29,35.4737
2004-09-30,36.5716
2004-08-31,36.2064
2004-07-30,37.2997
2004-06-30,38.4653
2004-05-28,38.0406
2004-04-30,37.5455
2004-03-31,36.6360
2004-02-27,34.5551
