,TEMA_monthly_10
2022-04-04,77.0956
2022-03-31,75.2765
2022-02-28,73.1509
2022-01-31,69.3122
2021-12-31,65.6728
2021-11-30,69.1339
2021-10-29,79.9795
2021-09-30,83.0891
2021-08-31,88.3096
2021-07-30,92.6355
2021-06-30,97.9840
2021-05-28,97.5996
2021-04-30,95.3913
2021-03-31,95.7430
2021-02-26,94.8478
2021-01-29,91.2450
2020-12-31,88.4721
2020-11-30,82.6473
2020-10-30,82.5248
2020-09-30,84.3722
2020-08-31,83.0563
2020-07-31,78.8006
2020-06-30,72.5566
2020-05-29,67.3716
2020-04-30,61.9828
2020-03-31,59.2844
2020-02-28,58.2057
2020-01-31,57.3435
2019-12-31,55.6889
2019-11-29,52.5117
2019-10-31,50.8197
2019-09-30,47.5510
2019-08-30,44.9033
2019-07-31,42.7484
2019-06-28,41.1115
2019-05-31,40.1176
2019-04-30,41.6621
2019-03-29,41.2473
2019-02-28,42.9740
2019-01-31,48.5646
2018-12-31,53.9583
2018-11-30,62.7277
2018-10-31,73.6487
2018-09-28,77.0583
2018-08-31,72.5568
2018-07-31,72.9815
2018-06-29,72.5079
2018-05-31,69.6529
2018-04-30,68.7650
2018-03-29,70.2108
2018-02-28,71.3087
2018-01-31,69.0783
2017-12-29,64.7632
2017-11-30,65.1306
2017-10-31,65.9098
2017-09-29,64.6119
2017-08-31,62.8775
2017-07-31,59.1679
2017-06-30,55.7350
2017-05-31,53.0342
2017-04-28,48.0459
2017-03-31,44.5610
2017-02-28,40.7973
2017-01-31,38.4057
2016-12-30,38.0195
2016-11-30,40.0598
2016-10-31,42.6316
2016-09-30,41.9733
2016-08-31,40.0540
2016-07-29,38.9265
2016-06-30,37.8592
2016-05-31,36.4445
2016-04-29,34.4294
2016-03-31,34.4215
2016-02-29,34.6614
2016-01-29,36.3961
2015-12-31,36.6678
2015-11-30,34.2644
2015-10-30,31.1174
2015-09-30,28.1174
2015-08-31,26.0160
2015-07-31,24.2470
2015-06-30,23.3755
2015-05-29,23.0321
2015-04-30,21.7796
2015-03-31,21.4553
2015-02-27,20.9904
2015-01-30,20.0367
2014-12-31,20.1536
2014-11-28,20.7741
2014-10-31,20.6875
2014-09-30,21.5845
2014-08-29,22.2826
2014-07-31,21.4410
2014-06-30,20.8196
2014-05-30,19.8392
2014-04-30,19.2568
2014-03-31,18.7878
2014-02-28,17.7241
2014-01-31,16.8813
2013-12-31,16.9671
2013-11-29,16.5727
2013-10-31,16.3012
2013-09-30,16.1513
2013-08-30,15.8406
2013-07-31,15.5166
2013-06-28,13.9002
2013-05-31,13.7987
2013-04-30,13.4788
2013-03-28,12.6121
2013-02-28,11.5362
2013-01-31,10.2238
2012-12-31,10.1064
2012-11-30,10.4432
2012-10-31,10.4399
2012-09-28,10.8099
2012-08-31,11.1252
2012-07-31,11.2929
2012-06-29,11.3716
2012-05-31,11.5087
2012-04-30,11.8574
2012-03-30,11.6463
2012-02-29,11.3524
2012-01-31,11.5536
2011-12-30,11.5932
2011-11-30,11.6417
2011-10-31,11.6256
2011-09-30,10.9787
2011-08-31,10.9231
2011-07-29,10.8577
2011-06-30,10.7533
2011-05-31,10.6846
2011-04-29,10.3814
2011-03-31,10.3031
2011-02-28,10.4356
2011-01-31,10.6334
2010-12-31,10.8086
2010-11-30,10.3529
2010-10-29,10.0938
2010-09-30,9.8779
2010-08-31,9.9493
2010-07-30,10.1442
2010-06-30,9.7023
2010-05-28,9.8990
2010-04-30,10.0382
2010-03-31,10.0474
2010-02-26,9.4797
2010-01-29,9.5199
2009-12-31,9.9689
2009-11-30,10.0784
2009-10-30,10.0845
2009-09-30,10.4392
2009-08-31,10.0384
2009-07-31,9.9283
2009-06-30,9.8835
2009-05-29,9.1424
2009-04-30,8.4291
2009-03-31,8.2360
2009-02-27,8.2297
2009-01-30,8.5810
2008-12-31,9.9598
2008-11-28,12.1397
2008-10-31,13.5519
2008-09-30,15.1586
2008-08-29,15.6852
2008-07-31,15.7759
2008-06-30,14.8505
2008-05-30,13.9456
2008-04-30,12.6101
2008-03-31,12.5630
2008-02-29,12.3369
2008-01-31,11.9467
2007-12-31,11.6895
2007-11-30,10.0845
2007-10-31,9.9123
2007-09-28,9.1592
2007-08-31,8.6234
2007-07-31,8.4301
2007-06-29,8.8263
2007-05-31,8.9043
2007-04-30,8.6359
2007-03-30,8.1285
2007-02-28,7.6552
2007-01-31,7.5853
2006-12-29,7.3586
