,TEMA_monthly_10
2022-04-04,83.8119
2022-03-31,88.4731
2022-02-28,95.2145
2022-01-31,95.3328
2021-12-31,98.8067
2021-11-30,97.1097
2021-10-29,98.9304
2021-09-30,102.0614
2021-08-31,104.7882
2021-07-30,107.1534
2021-06-30,105.1326
2021-05-28,104.5119
2021-04-30,100.9903
2021-03-31,91.8923
2021-02-26,85.4711
2021-01-29,79.9590
2020-12-31,72.6899
2020-11-30,68.2471
2020-10-30,62.3953
2020-09-30,60.8578
2020-08-31,61.5206
2020-07-31,60.2980
2020-06-30,55.0885
2020-05-29,49.2204
2020-04-30,46.4657
2020-03-31,47.4117
2020-02-28,56.9185
2020-01-31,59.2192
2019-12-31,56.2730
2019-11-29,53.5973
2019-10-31,50.3078
2019-09-30,45.9121
2019-08-30,43.4535
2019-07-31,43.5503
2019-06-28,42.3865
2019-05-31,43.0160
2019-04-30,47.0313
2019-03-29,47.0511
2019-02-28,47.8415
2019-01-31,47.6724
2018-12-31,49.3180
2018-11-30,54.4044
2018-10-31,57.7965
2018-09-28,63.5770
2018-08-31,62.4039
2018-07-31,60.8668
2018-06-29,59.8926
2018-05-31,58.1818
2018-04-30,56.0817
2018-03-29,55.3543
2018-02-28,54.5091
2018-01-31,54.5713
2017-12-29,51.2043
2017-11-30,50.9826
2017-10-31,50.5863
2017-09-29,53.0835
2017-08-31,53.3926
2017-07-31,55.9539
2017-06-30,57.1072
2017-05-31,54.7852
2017-04-28,55.8316
2017-03-31,56.3214
2017-02-28,54.0091
2017-01-31,51.1719
2016-12-30,46.9222
2016-11-30,43.8643
2016-10-31,42.0871
2016-09-30,43.7043
2016-08-31,42.8418
2016-07-29,43.3232
2016-06-30,41.9170
2016-05-31,42.5522
2016-04-29,41.9778
2016-03-31,41.2078
2016-02-29,40.2123
2016-01-29,42.2245
2015-12-31,47.0287
2015-11-30,47.5797
2015-10-30,47.0480
2015-09-30,45.5899
2015-08-31,47.0313
2015-07-31,47.9901
2015-06-30,47.3289
2015-05-29,47.6123
2015-04-30,47.8010
2015-03-31,48.6131
2015-02-27,48.7662
2015-01-30,47.0811
2014-12-31,44.4448
2014-11-28,42.2303
2014-10-31,39.8111
2014-09-30,38.0039
2014-08-29,38.1355
2014-07-31,37.7896
2014-06-30,38.9407
2014-05-30,39.4958
2014-04-30,39.6415
2014-03-31,41.5506
2014-02-28,41.1220
2014-01-31,40.5882
2013-12-31,41.6382
2013-11-29,40.1573
2013-10-31,37.9167
2013-09-30,34.7712
2013-08-30,33.0638
2013-07-31,32.5039
2013-06-28,30.6815
2013-05-31,31.3171
2013-04-30,31.1103
2013-03-28,31.7489
2013-02-28,30.9212
2013-01-31,28.1281
2012-12-31,23.9796
2012-11-30,21.9810
2012-10-31,20.9595
2012-09-28,20.7490
2012-08-31,20.9763
2012-07-31,20.6337
2012-06-29,21.0966
2012-05-31,21.5772
2012-04-30,22.3874
2012-03-30,20.8434
2012-02-29,18.7936
2012-01-31,16.8197
2011-12-30,15.4438
2011-11-30,15.4115
2011-10-31,15.0780
2011-09-30,15.2505
2011-08-31,17.7136
2011-07-29,20.2379
2011-06-30,20.3461
2011-05-31,21.2501
2011-04-29,21.6764
2011-03-31,21.1218
2011-02-28,18.8942
2011-01-31,16.8884
2010-12-31,15.6706
2010-11-30,14.4901
2010-10-29,14.3428
2010-09-30,14.1683
2010-08-31,14.1872
2010-07-30,15.6159
2010-06-30,15.0924
2010-05-28,16.8371
2010-04-30,16.2166
2010-03-31,13.0556
2010-02-26,11.1648
2010-01-29,10.8896
2009-12-31,10.8504
2009-11-30,9.4979
2009-10-30,8.9892
2009-09-30,8.5085
2009-08-31,6.2474
2009-07-31,4.4812
2009-06-30,3.1584
2009-05-29,2.9802
2009-04-30,2.6495
2009-03-31,1.4987
2009-02-27,1.4875
2009-01-30,1.9077
2008-12-31,2.9548
2008-11-28,3.9057
2008-10-31,6.4479
2008-09-30,10.0143
2008-08-29,10.0559
2008-07-31,9.7078
2008-06-30,9.9072
2008-05-30,11.7476
2008-04-30,12.8789
2008-03-31,13.0292
2008-02-29,13.8789
2008-01-31,15.1722
2007-12-31,15.7836
2007-11-30,17.9885
2007-10-31,19.5115
2007-09-28,21.2155
2007-08-31,23.5670
2007-07-31,25.8526
2007-06-29,27.6967
2007-05-31,27.8054
2007-04-30,26.9543
2007-03-30,26.6499
2007-02-28,26.7409
2007-01-31,26.4652
2006-12-29,25.2960
2006-11-30,24.8994
2006-10-31,24.1732
2006-09-29,24.0592
2006-08-31,24.2438
2006-07-31,26.0805
2006-06-30,28.4831
2006-05-31,30.1312
2006-04-28,31.1808
2006-03-31,30.9937
2006-02-28,30.9960
2006-01-31,30.8869
2005-12-30,31.7271
2005-11-30,31.3732
2005-10-31,31.7102
2005-09-30,33.2642
2005-08-31,35.8432
2005-07-29,36.2635
2005-06-30,35.4871
2005-05-31,36.0917
2005-04-29,37.1128
2005-03-31,39.1194
2005-02-28,39.3295
2005-01-31,39.5932
2004-12-31,40.0706
2004-11-30,38.7165
2004-10-29,36.8593
2004-09-30,35.2553
2004-08-31,33.3211
2004-07-30,33.7476
2004-06-30,34.3308
2004-05-28,34.0074
2004-04-30,33.4273
2004-03-31,31.9657
2004-02-27,29.6854
2004-01-30,26.8642
2003-12-31,24.9175
2003-11-28,23.4991
2003-10-31,22.2210
2003-09-30,20.6871
2003-08-29,20.4324
2003-07-31,19.2894
2003-06-30,17.5574
2003-05-30,15.9964
2003-04-30,15.3287
2003-03-31,14.4553
2003-02-28,14.7299
2003-01-31,15.2678
2002-12-31,15.8358
2002-11-29,16.5336
2002-10-31,17.0054
2002-09-30,18.2257
2002-08-30,19.7977
2002-07-31,20.3314
2002-06-28,21.8601
2002-05-31,21.3783
2002-04-30,21.2672
2002-03-28,20.1608
