,TEMA_monthly_10
2022-04-04,125.4204
2022-03-31,122.2228
2022-02-28,117.4716
2022-01-31,111.8114
2021-12-31,108.6548
2021-11-30,106.2446
2021-10-29,105.6527
2021-09-30,105.8427
2021-08-31,107.9327
2021-07-30,104.5933
2021-06-30,106.0667
2021-05-28,106.1084
2021-04-30,104.9069
2021-03-31,98.2935
2021-02-26,96.4728
2021-01-29,94.3645
2020-12-31,94.2864
2020-11-30,86.9225
2020-10-30,79.5221
2020-09-30,73.8752
2020-08-31,71.2600
2020-07-31,67.2666
2020-06-30,64.8103
2020-05-29,65.4602
2020-04-30,66.2077
2020-03-31,67.9407
2020-02-28,74.5953
2020-01-31,75.8546
2019-12-31,74.9752
2019-11-29,74.2297
2019-10-31,70.4444
2019-09-30,66.4695
2019-08-30,64.7364
2019-07-31,61.9835
2019-06-28,58.8301
2019-05-31,55.8563
2019-04-30,55.0287
2019-03-29,51.8419
2019-02-28,49.3857
2019-01-31,45.9031
2018-12-31,42.9960
2018-11-30,45.0873
2018-10-31,41.8678
2018-09-28,43.2793
2018-08-31,41.7982
2018-07-31,43.3217
2018-06-29,44.2128
2018-05-31,46.1396
2018-04-30,50.1700
2018-03-29,51.9817
2018-02-28,54.1787
2018-01-31,58.0935
2017-12-29,58.4092
2017-11-30,60.0135
2017-10-31,59.9748
2017-09-29,59.5076
2017-08-31,58.9935
2017-07-31,58.5673
2017-06-30,57.5200
2017-05-31,55.7364
2017-04-28,54.2981
2017-03-31,53.2223
2017-02-28,53.6895
2017-01-31,53.9175
2016-12-30,53.8194
2016-11-30,54.6757
2016-10-31,54.6467
2016-09-30,54.5962
2016-08-31,52.5344
2016-07-29,51.3188
2016-06-30,50.3210
2016-05-31,50.3556
2016-04-29,49.3994
2016-03-31,47.4771
2016-02-29,46.9345
2016-01-29,48.0324
2015-12-31,50.3559
2015-11-30,50.6001
2015-10-30,50.1538
2015-09-30,48.7524
2015-08-31,51.5417
2015-07-31,53.0916
2015-06-30,54.0023
2015-05-29,54.2861
2015-04-30,52.9712
2015-03-31,51.5680
2015-02-27,49.5345
2015-01-30,47.1299
2014-12-31,49.3015
2014-11-28,48.0594
2014-10-31,47.0846
2014-09-30,46.6339
2014-08-29,48.1749
2014-07-31,47.8699
2014-06-30,48.4500
2014-05-30,47.0469
2014-04-30,45.4631
2014-03-31,44.1519
2014-02-28,43.7636
2014-01-31,42.9481
2013-12-31,44.2907
2013-11-29,43.8869
2013-10-31,43.4828
2013-09-30,43.1489
2013-08-30,43.4296
2013-07-31,42.9429
2013-06-28,41.8578
2013-05-31,41.9328
2013-04-30,41.1126
2013-03-28,39.5683
2013-02-28,37.9112
2013-01-31,37.2278
2012-12-31,36.8506
2012-11-30,36.9567
2012-10-31,36.7171
2012-09-28,35.7316
2012-08-31,35.2547
2012-07-31,34.8784
2012-06-29,34.5606
2012-05-31,35.0375
2012-04-30,36.0048
2012-03-30,35.4921
2012-02-29,34.8147
2012-01-31,33.7186
2011-12-30,32.7213
2011-11-30,32.9490
2011-10-31,34.1734
2011-09-30,35.0171
2011-08-31,38.3494
2011-07-29,39.9368
2011-06-30,40.1548
2011-05-31,39.9926
2011-04-29,38.3342
2011-03-31,37.7888
2011-02-28,35.9720
2011-01-31,33.1496
2010-12-31,32.2156
2010-11-30,30.6785
2010-10-29,29.8435
2010-09-30,27.7413
2010-08-31,26.9027
2010-07-30,26.1531
2010-06-30,25.0287
2010-05-28,25.2092
2010-04-30,26.4744
2010-03-31,26.6443
2010-02-26,26.1979
2010-01-29,25.2442
2009-12-31,26.1187
