,TEMA_monthly_10
2015-02-03,108.6670
2015-01-30,106.0581
2014-12-31,101.5608
2014-11-28,97.2775
2014-10-31,91.4878
2014-09-30,88.1717
2014-08-29,87.0079
2014-07-31,84.6201
2014-06-30,80.8607
2014-05-30,72.7070
2014-04-30,71.7324
2014-03-31,71.3084
2014-02-28,69.0752
2014-01-31,66.7084
2013-12-31,65.4997
2013-11-29,63.8767
2013-10-31,61.2640
2013-09-30,60.0681
2013-08-30,60.5564
2013-07-31,62.2216
2013-06-28,63.1104
2013-05-31,63.6461
2013-04-30,63.7424
2013-03-28,63.4959
2013-02-28,60.4529
2013-01-31,58.5180
2012-12-31,56.2854
2012-11-30,55.8288
2012-10-31,54.9461
2012-09-28,55.5425
2012-08-31,53.5562
2012-07-31,52.6508
2012-06-29,51.3026
2012-05-31,50.8803
2012-04-30,51.2509
2012-03-30,49.4753
2012-02-29,47.2591
2012-01-31,45.4938
2011-12-30,43.3740
2011-11-30,44.5549
2011-10-31,45.9933
2011-09-30,47.1708
2011-08-31,50.8590
2011-07-29,51.0638
2011-06-30,52.0512
2011-05-31,51.8641
2011-04-29,50.2137
2011-03-31,47.0969
2011-02-28,44.7794
2011-01-31,41.5218
2010-12-31,39.1313
2010-11-30,36.8481
2010-10-29,35.7709
2010-09-30,35.6477
2010-08-31,35.3825
2010-07-30,38.2440
2010-06-30,41.3046
2010-05-28,44.1512
2010-04-30,46.8809
2010-03-31,47.2605
2010-02-26,46.2822
2010-01-29,45.3089
2009-12-31,42.7516
2009-11-30,40.5266
2009-10-30,37.7508
