,TEMA_monthly_10
2022-04-04,217.1843
2022-03-31,223.2548
2022-02-28,237.2887
2022-01-31,259.5498
2021-12-31,277.3721
2021-11-30,288.4662
2021-10-29,282.9668
2021-09-30,263.7238
2021-08-31,253.4102
2021-07-30,241.4152
2021-06-30,238.7754
2021-05-28,232.7966
2021-04-30,227.6583
2021-03-31,224.9056
2021-02-26,232.7926
2021-01-29,240.6710
2020-12-31,245.2424
2020-11-30,252.7158
2020-10-30,246.5324
2020-09-30,244.7103
2020-08-31,227.4247
2020-07-31,186.0952
2020-06-30,176.4276
2020-05-29,166.7770
2020-04-30,160.7236
2020-03-31,160.3179
2020-02-28,171.6514
2020-01-31,170.3416
2019-12-31,160.0472
2019-11-29,157.8040
2019-10-31,154.1792
2019-09-30,153.0258
2019-08-30,156.6248
2019-07-31,156.6437
2019-06-28,157.4768
2019-05-31,160.2376
2019-04-30,164.0675
2019-03-29,159.7793
2019-02-28,157.5023
2019-01-31,149.9911
2018-12-31,146.1978
2018-11-30,150.1295
2018-10-31,151.3941
2018-09-28,156.1300
2018-08-31,147.5206
2018-07-31,138.1109
2018-06-29,133.7903
2018-05-31,127.1347
2018-04-30,121.3404
2018-03-29,117.7383
2018-02-28,114.9552
2018-01-31,110.2864
2017-12-29,104.4222
2017-11-30,103.1233
2017-10-31,99.3515
2017-09-29,94.6979
2017-08-31,93.4536
2017-07-31,89.9000
2017-06-30,87.5090
2017-05-31,86.5386
2017-04-28,82.8311
2017-03-31,79.5393
2017-02-28,77.0075
2017-01-31,73.9961
2016-12-30,71.0991
2016-11-30,74.0513
2016-10-31,76.0957
2016-09-30,76.9966
2016-08-31,80.8393
2016-07-29,80.9477
2016-06-30,79.3306
2016-05-31,78.3695
2016-04-29,73.9179
2016-03-31,72.5675
2016-02-29,71.8548
2016-01-29,74.8324
2015-12-31,78.8914
2015-11-30,77.7161
2015-10-30,74.8550
2015-09-30,71.7350
2015-08-31,72.4922
2015-07-31,73.4425
2015-06-30,71.9438
2015-05-29,71.9142
2015-04-30,69.4863
2015-03-31,65.5866
2015-02-27,63.6481
2015-01-30,58.9090
2014-12-31,60.4901
2014-11-28,60.8018
2014-10-31,60.7478
2014-09-30,57.7604
2014-08-29,57.5662
2014-07-31,56.1305
2014-06-30,57.1547
2014-05-30,55.9776
2014-04-30,57.7549
2014-03-31,60.8328
2014-02-28,61.4267
2014-01-31,58.4041
2013-12-31,54.8360
2013-11-29,52.8571
2013-10-31,51.7476
2013-09-30,49.0037
2013-08-30,45.7101
2013-07-31,42.5610
2013-06-28,41.4303
2013-05-31,43.4222
2013-04-30,43.4678
2013-03-28,44.2049
2013-02-28,42.7072
2013-01-31,41.9347
2012-12-31,40.1444
2012-11-30,38.0412
2012-10-31,36.5872
2012-09-28,36.3296
2012-08-31,34.7668
2012-07-31,33.6865
2012-06-29,35.5616
2012-05-31,35.9479
2012-04-30,36.3753
2012-03-30,34.0463
2012-02-29,30.7630
2012-01-31,27.8493
2011-12-30,28.0691
2011-11-30,31.0747
2011-10-31,32.7247
2011-09-30,32.6962
2011-08-31,35.7947
2011-07-29,37.8433
2011-06-30,38.0160
2011-05-31,37.3376
2011-04-29,35.5567
2011-03-31,34.9918
2011-02-28,34.7638
2011-01-31,34.3866
2010-12-31,34.0667
2010-11-30,32.8027
2010-10-29,29.4149
2010-09-30,28.0153
2010-08-31,26.4054
2010-07-30,24.1068
2010-06-30,22.3303
2010-05-28,21.7144
2010-04-30,20.4963
2010-03-31,18.6750
2010-02-26,17.6987
2010-01-29,17.2025
2009-12-31,17.0612
2009-11-30,14.9930
2009-10-30,13.6789
2009-09-30,12.6420
2009-08-31,11.0166
2009-07-31,9.4383
2009-06-30,8.5526
2009-05-29,8.1580
2009-04-30,7.6812
2009-03-31,6.2602
2009-02-27,5.9915
2009-01-30,6.5557
2008-12-31,7.7949
2008-11-28,8.8814
2008-10-31,11.1938
2008-09-30,14.3053
2008-08-29,15.9953
2008-07-31,17.1754
2008-06-30,17.5370
2008-05-30,17.2240
2008-04-30,15.9711
2008-03-31,14.9644
2008-02-29,14.8844
2008-01-31,14.3769
2007-12-31,14.8529
2007-11-30,13.6550
2007-10-31,12.8015
2007-09-28,11.5364
2007-08-31,10.4742
2007-07-31,10.7097
2007-06-29,11.2947
2007-05-31,11.4446
2007-04-30,10.8769
2007-03-30,10.8666
2007-02-28,10.6593
2007-01-31,10.2262
2006-12-29,9.4367
2006-11-30,9.4656
2006-10-31,9.0395
