,TEMA_monthly_10
2017-04-10,71.4197
2017-03-31,69.8179
2017-02-28,66.9419
2017-01-31,62.5999
2016-12-30,59.9995
2016-11-30,57.6067
2016-10-31,52.9801
2016-09-30,49.9628
2016-08-31,46.7561
2016-07-29,45.2816
2016-06-30,42.5236
2016-05-31,37.1643
2016-04-29,29.7120
2016-03-31,29.6251
2016-02-29,29.0831
2016-01-29,32.3472
2015-12-31,35.3550
2015-11-30,39.6771
2015-10-30,47.2174
2015-09-30,46.1867
2015-08-31,47.2397
2015-07-31,48.5926
2015-06-30,48.8473
2015-05-29,49.0419
2015-04-30,47.8995
2015-03-31,48.1559
2015-02-27,48.0288
2015-01-30,45.1041
2014-12-31,45.7138
2014-11-28,45.3890
2014-10-31,44.7836
2014-09-30,45.2559
2014-08-29,45.4858
2014-07-31,46.3527
2014-06-30,46.3134
2014-05-30,45.6635
2014-04-30,44.7508
2014-03-31,44.9676
2014-02-28,44.2452
2014-01-31,41.8647
2013-12-31,39.4532
2013-11-29,37.8667
2013-10-31,36.9979
2013-09-30,37.1390
2013-08-30,35.9569
2013-07-31,34.7697
2013-06-28,34.1018
2013-05-31,34.7621
2013-04-30,35.1852
2013-03-28,34.4600
2013-02-28,31.9617
2013-01-31,28.6694
2012-12-31,26.5465
2012-11-30,24.0799
2012-10-31,21.3668
2012-09-28,20.8962
2012-08-31,19.3584
2012-07-31,17.1185
2012-06-29,17.5413
2012-05-31,18.1756
2012-04-30,18.4653
2012-03-30,18.3476
2012-02-29,17.4383
2012-01-31,15.5315
2011-12-30,15.7009
2011-11-30,17.2183
2011-10-31,19.4910
2011-09-30,19.8958
2011-08-31,22.8635
2011-07-29,25.8210
2011-06-30,28.2517
2011-05-31,30.7299
2011-04-29,33.6508
2011-03-31,32.9358
2011-02-28,32.8731
2011-01-31,33.1196
2010-12-31,31.1426
2010-11-30,29.9033
2010-10-29,30.4454
2010-09-30,29.3272
2010-08-31,29.1295
2010-07-30,31.7668
2010-06-30,33.2416
2010-05-28,35.4486
2010-04-30,36.5935
2010-03-31,37.1033
2010-02-26,36.7784
2010-01-29,37.3386
2009-12-31,38.1879
2009-11-30,36.4386
2009-10-30,34.6226
2009-09-30,33.7899
2009-08-31,31.4869
2009-07-31,29.6585
2009-06-30,27.1612
2009-05-29,25.1549
2009-04-30,23.0317
2009-03-31,22.4256
2009-02-27,21.7060
2009-01-30,21.7352
2008-12-31,21.0305
2008-11-28,20.9723
2008-10-31,24.3693
2008-09-30,28.5507
2008-08-29,30.3667
2008-07-31,30.0681
2008-06-30,29.5471
2008-05-30,29.1090
2008-04-30,27.5614
2008-03-31,27.9240
2008-02-29,29.8920
2008-01-31,31.7735
2007-12-31,35.1684
2007-11-30,37.0409
2007-10-31,38.2995
2007-09-28,37.6295
2007-08-31,37.6968
2007-07-31,37.7175
2007-06-29,37.8027
2007-05-31,36.3156
2007-04-30,35.7417
2007-03-30,34.8025
2007-02-28,34.9200
2007-01-31,34.7256
2006-12-29,34.6369
2006-11-30,34.0935
2006-10-31,33.8146
2006-09-29,33.1272
2006-08-31,33.7971
2006-07-31,35.5690
2006-06-30,35.9241
2006-05-31,38.0876
2006-04-28,37.7438
2006-03-31,36.0841
2006-02-28,34.8628
2006-01-31,33.5182
2005-12-30,33.0967
2005-11-30,32.4563
2005-10-31,31.6610
2005-09-30,30.0230
2005-08-31,29.3848
2005-07-29,29.7195
2005-06-30,29.7166
2005-05-31,30.6861
2005-04-29,30.9877
2005-03-31,32.7055
2005-02-28,34.1577
2005-01-31,36.0499
2004-12-31,36.3486
2004-11-30,34.4644
2004-10-29,32.5474
2004-09-30,31.5761
2004-08-31,31.1893
2004-07-30,30.8572
2004-06-30,29.8725
2004-05-28,28.7037
2004-04-30,28.1821
2004-03-31,28.5514
2004-02-27,29.2866
2004-01-30,29.6277
2003-12-31,28.7464
2003-11-28,27.5276
2003-10-31,26.9022
2003-09-30,26.6963
2003-08-29,27.2270
2003-07-31,25.6990
2003-06-30,24.2717
2003-05-30,23.2297
